Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1,Husain Abdullah,29,KAN,FS,16,16,1,39,1,39,8,0,0,0,0,0,0.0,71,58,13,2.0,5.0,0,
2,Mike Adams,33,IND,SS,16,16,5,24,0,10,11,2,0,2,0,0,0.0,87,67,20,1.0,1.0,0,PB
3,Ezekiel Ansah,25,DET,LDE,16,16,0,0,0,0,0,3,0,0,0,0,7.5,49,37,12,13.0,26.0,0,
4,Geno Atkins,26,CIN,RDT,16,16,0,0,0,0,1,1,0,0,0,0,3.0,34,20,14,8.0,9.0,1,PB
5,Cliff Avril,28,SEA,RDE,16,16,0,0,0,0,2,1,0,1,0,0,5.0,22,15,7,6.0,19.0,0,
6,David Bakhtiari,23,GNB,LT,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
7,Connor Barwin,28,PHI,LOLB,16,16,0,0,0,0,5,2,0,0,0,0,14.5,64,47,17,15.0,21.0,0,"PB,AP-2"
8,Michael Bennett,29,SEA,LDE,16,16,0,0,0,0,0,1,0,0,0,0,7.0,38,26,12,14.0,19.0,0,
9,Antoine Bethea,30,SFO,SS,16,16,4,71,1,49,10,1,0,0,0,0,1.0,86,72,14,4.0,1.0,0,PB
10,Joel Bitonio,23,CLE,LG,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
11,Clint Boling,25,CIN,LG,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0.0,0.0,0,
12,Tom Brady,37,NWE,QB,16,16,0,0,0,0,0,0,6,1,-4,0,0.0,0,0,0,0.0,0.0,0,"PB,AP MVP-5"
13,Drew Brees,35,NOR,QB,16,16,0,0,0,0,0,0,7,4,-22,0,0.0,0,0,0,0.0,0.0,0,PB
14,Justin Britt,23,SEA,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
15,Michael Brockers,24,STL,RDT,16,16,0,0,0,0,1,0,0,1,0,0,2.0,32,24,8,5.0,4.0,0,
16,Antonio Brown,26,PIT,WR,16,16,0,0,0,0,0,0,2,0,0,0,0.0,1,1,0,0.0,0.0,0,"PB,AP-1,AP OPoY-3"
