Player ID,Player,Age,Team,Pos,G,GS,Pnt,Yds,Y/P,RetYds,NetYds,NY/P,Lng,TB,TB%,Pnt20,In20%,Blck
,Marquette King,26.0,OAK,P,16.0,0.0,109.0,4930.0,45.2,513.0,4357.0,40.0,62.0,3.0,2.8,31.0,28.4,0.0
238199.0,Bryan Anger,26.0,JAX,P,16.0,0.0,94.0,4464.0,47.5,464.0,3800.0,39.6,69.0,10.0,10.6,25.0,26.6,2.0
198106.0,Spencer Lanning,26.0,CLE,P,16.0,0.0,93.0,4119.0,44.3,295.0,3644.0,39.2,59.0,9.0,9.7,25.0,26.9,0.0
157876.0,Brett Kern,28.0,TEN,P,16.0,0.0,88.0,4118.0,46.8,350.0,3628.0,40.8,79.0,7.0,8.0,28.0,31.8,1.0
487051.0,Colton Schmidt,24.0,BUF,P,16.0,0.0,86.0,3692.0,42.9,246.0,3326.0,38.7,67.0,6.0,7.0,31.0,36.0,0.0
,Shane Lechler,38.0,HOU,P,16.0,0.0,83.0,3845.0,46.3,398.0,3249.0,38.7,71.0,10.0,12.0,27.0,32.5,1.0
379324.0,Johnny Hekker,24.0,STL,P,16.0,0.0,80.0,3721.0,46.5,192.0,3429.0,42.3,61.0,5.0,6.3,33.0,41.3,1.0
127759.0,Steve Weatherford,32.0,NYG,P,16.0,0.0,80.0,3640.0,45.5,391.0,3129.0,38.6,71.0,6.0,7.5,25.0,31.3,1.0
240428.0,Drew Butler,25.0,ARI,P,15.0,0.0,79.0,3328.0,42.1,246.0,2982.0,36.8,67.0,5.0,6.3,34.0,43.0,2.0
,Michael Koenen,32.0,TAM,P,16.0,0.0,78.0,3154.0,40.4,185.0,2929.0,37.1,56.0,2.0,2.6,17.0,21.8,1.0
378749.0,Ryan Quigley,24.0,NYJ,P,16.0,0.0,78.0,3580.0,45.9,250.0,3150.0,39.9,69.0,9.0,11.5,23.0,29.5,1.0
377859.0,Tress Way,24.0,WAS,P,16.0,0.0,77.0,3659.0,47.5,397.0,3122.0,40.0,77.0,7.0,9.1,22.0,28.6,1.0
,Donnie Jones,34.0,PHI,P,16.0,0.0,76.0,3331.0,43.8,238.0,2953.0,38.9,68.0,7.0,9.2,34.0,44.7,0.0
380723.0,Jeff Locke,25.0,MIN,P,16.0,0.0,75.0,3318.0,44.2,255.0,2943.0,38.7,62.0,6.0,8.0,21.0,28.0,1.0
169396.0,Kevin Huber,29.0,CIN,P,16.0,0.0,73.0,3419.0,46.8,226.0,3073.0,42.1,69.0,6.0,8.2,27.0,37.0,0.0
,Andy Lee,32.0,SFO,P,16.0,0.0,72.0,3369.0,46.8,336.0,2893.0,39.6,71.0,7.0,9.7,28.0,38.9,1.0
381296.0,Brad Nortman,25.0,CAR,P,16.0,0.0,72.0,3236.0,44.9,435.0,2701.0,36.5,72.0,5.0,6.9,26.0,36.1,2.0
107775.0,Dustin Colquitt,32.0,KAN,P,16.0,0.0,71.0,3164.0,44.6,190.0,2874.0,40.5,69.0,5.0,7.0,31.0,43.7,0.0
487725.0,Pat O'Donnell,23.0,CHI,P,16.0,0.0,71.0,3107.0,43.8,335.0,2712.0,37.7,61.0,3.0,4.2,20.0,28.2,1.0
146878.0,Britton Colquitt,29.0,DEN,P,16.0,0.0,69.0,3048.0,44.2,371.0,2597.0,37.6,65.0,4.0,5.8,25.0,36.2,0.0
174460.0,Pat McAfee,27.0,IND,P,16.0,0.0,69.0,3221.0,46.7,205.0,2956.0,42.8,61.0,3.0,4.3,30.0,43.5,0.0
,Sam Martin,24.0,DET,P,16.0,0.0,68.0,3138.0,46.1,311.0,2727.0,40.1,71.0,5.0,7.4,29.0,42.6,0.0
,Matthew Bosher,27.0,ATL,P,16.0,0.0,67.0,3063.0,45.7,250.0,2733.0,40.8,66.0,4.0,6.0,27.0,40.3,0.0
505038.0,Ryan Allen,24.0,NWE,P,16.0,0.0,66.0,3060.0,46.4,267.0,2673.0,39.9,67.0,6.0,9.1,25.0,37.9,1.0
,Jon Ryan,33.0,SEA,P,16.0,0.0,61.0,2688.0,44.1,195.0,2373.0,38.3,66.0,6.0,9.8,28.0,45.9,1.0
504174.0,Brad Wing,23.0,PIT,P,16.0,0.0,61.0,2667.0,43.7,221.0,2367.0,38.8,74.0,4.0,6.6,20.0,32.8,0.0
123206.0,Sam Koch,32.0,BAL,P,16.0,0.0,60.0,2841.0,47.4,166.0,2595.0,42.5,73.0,4.0,6.7,26.0,43.3,1.0
133782.0,Brandon Fields,30.0,MIA,P,16.0,0.0,58.0,2688.0,46.3,349.0,2279.0,38.6,60.0,3.0,5.2,21.0,36.2,1.0
170311.0,Thomas Morstead,28.0,NOR,P,16.0,0.0,58.0,2690.0,46.4,99.0,2491.0,42.9,63.0,5.0,8.6,19.0,32.8,0.0
,Chris Jones,25.0,DAL,P,16.0,0.0,57.0,2586.0,45.4,240.0,2306.0,39.8,64.0,2.0,3.5,21.0,36.8,1.0
,Mike Scifres,34.0,SDG,P,13.0,0.0,55.0,2516.0,45.7,216.0,2180.0,38.9,72.0,6.0,10.9,21.0,38.2,1.0
178754.0,Tim Masthay,27.0,GNB,P,16.0,0.0,49.0,2159.0,44.1,191.0,1888.0,37.0,63.0,4.0,8.2,14.0,28.6,2.0
,Mat McBriar,35.0,SDG,P,3.0,0.0,13.0,610.0,46.9,130.0,460.0,35.4,58.0,1.0,7.7,1.0,7.7,0.0
,Dave Zastudil,36.0,ARI,P,2.0,0.0,11.0,487.0,44.3,38.0,429.0,39.0,53.0,1.0,9.1,1.0,9.1,0.0
102394.0,Nick Novak,33.0,SDG,K,16.0,0.0,6.0,240.0,40.0,20.0,220.0,36.7,51.0,0.0,0.0,1.0,16.7,0.0
