Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Unnamed: 29_level_0
Rk,Player,Age,Team,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Awards
1.0,Nick Folk,30.0,NYJ,K,16.0,0.0,0.0,0.0,13.0,13.0,7.0,7.0,13.0,9.0,6.0,3.0,39.0,32.0,55.0,82.1,23.0,23.0,100.0,69.0,4340.0,21.0,30.4,63.0,
2.0,Dan Carpenter,29.0,BUF,K,16.0,0.0,0.0,0.0,10.0,10.0,12.0,11.0,8.0,7.0,8.0,6.0,38.0,34.0,58.0,89.5,32.0,31.0,96.9,0.0,0.0,0.0,,,
3.0,Stephen Gostkowski,30.0,NWE,K,16.0,0.0,1.0,1.0,11.0,11.0,11.0,10.0,13.0,12.0,1.0,1.0,37.0,35.0,53.0,94.6,51.0,51.0,100.0,99.0,6328.0,53.0,53.5,64.0,"PB,AP-2"
4.0,Stephen Hauschka,29.0,SEA,K,16.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,13.0,9.0,4.0,2.0,37.0,31.0,58.0,83.8,41.0,41.0,100.0,88.0,5728.0,46.0,52.3,65.0,
5.0,Caleb Sturgis,25.0,MIA,K,16.0,0.0,1.0,1.0,12.0,12.0,8.0,7.0,10.0,6.0,6.0,3.0,37.0,29.0,53.0,78.4,41.0,41.0,100.0,85.0,5448.0,37.0,43.5,64.0,
6.0,Cody Parkey,22.0,PHI,K,16.0,0.0,0.0,0.0,10.0,10.0,16.0,14.0,6.0,4.0,4.0,4.0,36.0,32.0,54.0,88.9,54.0,54.0,100.0,98.0,6401.0,46.0,46.9,65.0,PB
7.0,Randy Bullock,25.0,HOU,K,16.0,0.0,0.0,0.0,7.0,6.0,15.0,13.0,8.0,7.0,5.0,4.0,35.0,30.0,55.0,85.7,40.0,40.0,100.0,86.0,5613.0,40.0,46.5,65.0,
8.0,Graham Gano,27.0,CAR,K,16.0,0.0,0.0,0.0,7.0,7.0,14.0,13.0,11.0,8.0,3.0,1.0,35.0,29.0,53.0,82.9,34.0,34.0,100.0,79.0,5196.0,61.0,77.2,66.0,
9.0,Blair Walsh,24.0,MIN,K,16.0,0.0,2.0,2.0,5.0,4.0,10.0,8.0,9.0,7.0,9.0,5.0,35.0,26.0,55.0,74.3,29.0,29.0,100.0,76.0,4792.0,48.0,63.2,63.0,
10.0,Justin Tucker,25.0,BAL,K,16.0,0.0,0.0,0.0,10.0,10.0,11.0,11.0,4.0,4.0,9.0,4.0,34.0,29.0,55.0,85.3,42.0,42.0,100.0,88.0,5704.0,60.0,68.2,65.0,
11.0,Chandler Catanzaro,23.0,ARI,K,16.0,0.0,0.0,0.0,5.0,5.0,14.0,12.0,11.0,10.0,3.0,2.0,33.0,29.0,51.0,87.9,27.0,27.0,100.0,76.0,5054.0,38.0,50.0,67.0,
12.0,Mason Crosby,30.0,GNB,K,16.0,0.0,0.0,0.0,7.0,7.0,11.0,10.0,8.0,6.0,7.0,4.0,33.0,27.0,55.0,81.8,55.0,53.0,96.4,102.0,6288.0,41.0,40.2,62.0,
13.0,Mike Nugent,32.0,CIN,K,16.0,0.0,0.0,0.0,6.0,6.0,12.0,10.0,12.0,10.0,3.0,0.0,33.0,26.0,49.0,78.8,39.0,39.0,100.0,81.0,5316.0,37.0,45.7,66.0,
14.0,Matt Bryant,39.0,ATL,K,16.0,0.0,0.0,0.0,10.0,10.0,4.0,4.0,8.0,8.0,10.0,7.0,32.0,29.0,54.0,90.6,40.0,40.0,100.0,0.0,0.0,0.0,,,
15.0,Shaun Suisham,33.0,PIT,K,16.0,0.0,0.0,0.0,13.0,12.0,6.0,6.0,10.0,10.0,3.0,1.0,32.0,29.0,53.0,90.6,45.0,45.0,100.0,89.0,5552.0,32.0,36.0,62.0,
16.0,Phil Dawson,39.0,SFO,K,16.0,0.0,0.0,0.0,6.0,6.0,9.0,8.0,7.0,5.0,9.0,6.0,31.0,25.0,55.0,80.6,33.0,33.0,100.0,73.0,4721.0,32.0,43.8,65.0,
17.0,Adam Vinatieri,42.0,IND,K,16.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,8.0,7.0,3.0,3.0,31.0,30.0,53.0,96.8,50.0,50.0,100.0,0.0,0.0,0.0,,,"PB,AP-1"
18.0,Cairo Santos,23.0,KAN,K,16.0,0.0,1.0,1.0,10.0,10.0,6.0,5.0,11.0,8.0,2.0,1.0,30.0,25.0,53.0,83.3,38.0,38.0,100.0,80.0,5085.0,26.0,32.5,64.0,
19.0,Greg Zuerlein,27.0,STL,K,16.0,0.0,1.0,1.0,7.0,6.0,12.0,10.0,3.0,2.0,7.0,5.0,30.0,24.0,56.0,80.0,35.0,34.0,97.1,73.0,4862.0,38.0,52.1,67.0,
20.0,Dan Bailey,26.0,DAL,K,16.0,0.0,0.0,0.0,6.0,6.0,7.0,6.0,9.0,8.0,7.0,5.0,29.0,25.0,56.0,86.2,56.0,56.0,100.0,98.0,6175.0,52.0,53.1,63.0,
21.0,Billy Cundiff,34.0,CLE,K,13.0,0.0,0.0,0.0,6.0,6.0,13.0,10.0,7.0,5.0,3.0,1.0,29.0,22.0,52.0,75.9,28.0,28.0,100.0,63.0,4169.0,39.0,61.9,66.0,
22.0,Kai Forbath,27.0,WAS,K,16.0,0.0,0.0,0.0,11.0,11.0,7.0,6.0,8.0,7.0,1.0,0.0,27.0,24.0,49.0,88.9,32.0,31.0,96.9,54.0,3309.0,18.0,33.3,61.0,
23.0,Josh Brown,35.0,NYG,K,16.0,0.0,1.0,1.0,7.0,6.0,9.0,9.0,5.0,4.0,4.0,4.0,26.0,24.0,53.0,92.3,44.0,44.0,100.0,82.0,5021.0,46.0,56.1,61.0,
