Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Unnamed: 29_level_0
Rk,Player,Age,Team,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Awards
1.0,Rob Bironas,29.0,TEN,K,16.0,0.0,0.0,0.0,12.0,10.0,12.0,12.0,10.0,9.0,5.0,4.0,39.0,35.0,56.0,89.7,28.0,28.0,100.0,75.0,5014.0,16.0,21.3,67.0,"PB,AP-1"
2.0,Mason Crosby,23.0,GNB,K,16.0,0.0,1.0,1.0,8.0,8.0,11.0,10.0,14.0,9.0,5.0,3.0,39.0,31.0,53.0,79.5,48.0,48.0,100.0,93.0,5783.0,14.0,15.1,62.0,
3.0,Robbie Gould,25.0,CHI,K,16.0,0.0,0.0,0.0,7.0,7.0,13.0,12.0,14.0,12.0,2.0,0.0,36.0,31.0,49.0,86.1,33.0,33.0,100.0,79.0,4644.0,3.0,3.8,59.0,
4.0,Mike Nugent,25.0,NYJ,K,16.0,0.0,1.0,1.0,11.0,11.0,12.0,10.0,8.0,6.0,4.0,1.0,36.0,29.0,50.0,80.6,24.0,23.0,95.8,65.0,3952.0,9.0,13.8,61.0,
5.0,Jason Hanson,37.0,DET,K,16.0,0.0,1.0,1.0,5.0,4.0,12.0,10.0,13.0,11.0,4.0,3.0,35.0,29.0,53.0,82.9,36.0,35.0,97.2,82.0,5197.0,13.0,15.9,63.0,
6.0,Shaun Suisham,26.0,WAS,K,16.0,0.0,0.0,0.0,10.0,10.0,10.0,8.0,13.0,10.0,2.0,1.0,35.0,29.0,49.0,82.9,30.0,29.0,96.7,76.0,4377.0,6.0,7.9,58.0,
7.0,Josh Brown,28.0,SEA,K,16.0,0.0,0.0,0.0,12.0,12.0,5.0,5.0,12.0,8.0,5.0,3.0,34.0,28.0,54.0,82.4,43.0,43.0,100.0,87.0,5481.0,13.0,14.9,63.0,
8.0,Shayne Graham,30.0,CIN,K,16.0,0.0,1.0,1.0,12.0,11.0,13.0,13.0,7.0,6.0,1.0,0.0,34.0,31.0,48.0,91.2,37.0,37.0,100.0,86.0,5300.0,8.0,9.3,62.0,
9.0,Matt Bryant,32.0,TAM,K,16.0,0.0,0.0,0.0,12.0,11.0,11.0,11.0,7.0,6.0,3.0,0.0,33.0,28.0,49.0,84.8,34.0,34.0,100.0,78.0,4683.0,6.0,7.7,60.0,
