Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1,John Abraham,29,ATL,RDE,16,16,0,0,0,0,4.0,4,0,0,0,0,10.0,32.0,31.0,1.0,10.0,13.0,0,
2,Flozell Adams,32,DAL,LT,16,16,0,0,0,0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-2"
3,Gerald Alexander,23,DET,FS,16,16,2,70,0,36,6.0,0,0,2,0,0,2.0,81.0,59.0,22.0,2.0,2.0,0,
4,Will Allen,29,MIA,RCB,16,16,1,14,0,14,14.0,3,0,0,0,0,2.0,62.0,48.0,14.0,4.0,1.0,0,
5,Jamaal Anderson,21,ATL,LDE,16,16,0,0,0,0,3.0,1,0,0,0,0,0.0,30.0,26.0,4.0,0.0,4.0,0,
6,O.J. Atogwe,26,STL,FS,16,16,8,125,1,52,12.0,0,0,1,0,0,0.0,75.0,66.0,9.0,1.0,1.0,0,
7,Jeff Backus,30,DET,LT,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
8,Ronde Barber,32,TAM,LCB,16,16,2,32,1,29,14.0,1,1,2,33,1,1.0,58.0,48.0,10.0,1.0,1.0,0,AP DPoY-7
9,Nick Barnett,26,GNB,MLB,16,16,2,40,0,38,4.0,0,0,1,0,0,3.5,131.0,102.0,29.0,8.0,8.0,0,AP-2
10,Jon Beason,22,CAR,MLB/RLB,16,16,1,0,0,0,8.0,0,0,1,2,0,0.0,140.0,106.0,34.0,4.0,0.0,0,AP DRoY-2
11,Jacob Bell,26,TEN,LG,16,16,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,,0,
12,Atari Bigby,26,GNB,SS,16,16,5,50,0,22,9.0,3,0,0,0,0,0.0,86.0,66.0,20.0,2.0,0.0,0,
13,Matt Birk,31,MIN,C,16,16,0,0,0,0,0.0,0,1,0,-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0,PB
14,Dre' Bly,30,DEN,RCB,16,16,5,71,0,37,15.0,0,0,0,0,0,1.0,51.0,41.0,10.0,3.0,1.0,0,
15,Leigh Bodden,26,CLE,RCB,16,16,6,75,0,26,15.0,0,1,3,0,0,0.0,88.0,76.0,12.0,0.0,0.0,0,
16,Michael Boley,25,ATL,LLB,16,16,2,12,0,12,7.0,4,0,0,0,0,3.0,110.0,93.0,17.0,5.0,7.0,0,
17,Gary Brackett,27,IND,MLB,16,16,4,128,0,49,7.0,1,0,1,0,1,0.5,116.0,86.0,30.0,2.0,1.0,0,
18,Tom Brady,30,NWE,QB,16,16,0,0,0,0,0.0,0,6,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-1,AP MVP-1,AP OPoY-1"
19,Drew Brees,28,NOR,QB,16,16,0,0,0,0,0.0,0,9,0,-6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
20,Keith Brooking,32,ATL,MLB,16,16,0,0,0,0,4.0,0,0,1,2,0,2.0,110.0,84.0,26.0,4.0,4.0,0,
