Player ID,Player,Age,Team,Pos,G,GS,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
,Jay Feely,29.0,NYG,K,16.0,0.0,0.0,0.0,13.0,11.0,14.0,13.0,10.0,8.0,5.0,3.0,42.0,35.0,52.0,83.3,43.0,43.0,100.0,98.0,6170.0,12.0,12.2,63.0
,Neil Rackers,29.0,ARI,K,15.0,0.0,0.0,0.0,11.0,11.0,10.0,10.0,14.0,13.0,7.0,6.0,42.0,40.0,54.0,95.2,20.0,20.0,100.0,61.0,4069.0,22.0,36.1,67.0
,Rian Lindell,28.0,BUF,K,16.0,0.0,0.0,0.0,9.0,8.0,13.0,11.0,10.0,7.0,3.0,3.0,35.0,29.0,53.0,82.9,26.0,26.0,100.0,69.0,4156.0,2.0,2.9,60.0
,Kris Brown,29.0,HOU,K,16.0,0.0,0.0,0.0,9.0,9.0,17.0,12.0,6.0,4.0,2.0,1.0,34.0,26.0,53.0,76.5,24.0,24.0,100.0,68.0,4385.0,11.0,16.2,65.0
,Paul Edinger,27.0,MIN,K,16.0,0.0,0.0,0.0,11.0,11.0,8.0,3.0,10.0,8.0,5.0,3.0,34.0,25.0,56.0,73.5,31.0,31.0,100.0,72.0,4246.0,0.0,0.0,59.0
,John Kasay,36.0,CAR,K,16.0,0.0,1.0,1.0,8.0,8.0,8.0,8.0,9.0,6.0,8.0,3.0,34.0,26.0,52.0,76.5,44.0,43.0,97.7,81.0,5113.0,3.0,3.7,63.0
,Matt Stover,37.0,BAL,K,16.0,0.0,1.0,1.0,8.0,8.0,11.0,10.0,14.0,11.0,0.0,0.0,34.0,30.0,49.0,88.2,23.0,23.0,100.0,33.0,1891.0,1.0,3.0,57.0
,Lawrence Tynes,27.0,KAN,K,16.0,0.0,1.0,1.0,8.0,8.0,13.0,12.0,8.0,4.0,3.0,2.0,33.0,27.0,52.0,81.8,45.0,44.0,97.8,88.0,5364.0,2.0,2.3,61.0
,John Carney,41.0,NOR,K,16.0,0.0,1.0,1.0,13.0,12.0,6.0,4.0,12.0,8.0,0.0,0.0,32.0,25.0,49.0,78.1,22.0,22.0,100.0,14.0,886.0,1.0,7.1,63.0
,Jason Elam,35.0,DEN,K,16.0,0.0,0.0,0.0,10.0,9.0,5.0,5.0,13.0,9.0,4.0,1.0,32.0,24.0,51.0,75.0,44.0,43.0,97.7,1.0,54.0,0.0,0.0,54.0
,Shayne Graham,28.0,CIN,K,16.0,0.0,0.0,0.0,11.0,11.0,11.0,10.0,9.0,7.0,1.0,0.0,32.0,28.0,49.0,87.5,47.0,47.0,100.0,91.0,5470.0,2.0,2.2,60.0
,Jeff Wilkins,33.0,STL,K,16.0,0.0,0.0,0.0,7.0,6.0,8.0,8.0,11.0,9.0,5.0,4.0,31.0,27.0,53.0,87.1,36.0,36.0,100.0,80.0,5045.0,6.0,7.5,63.0
,Sebastian Janikowski,27.0,OAK,K,16.0,0.0,1.0,1.0,8.0,7.0,6.0,5.0,12.0,7.0,3.0,0.0,30.0,20.0,49.0,66.7,30.0,30.0,100.0,67.0,4107.0,11.0,16.4,61.0
,Olindo Mare,32.0,MIA,K,16.0,0.0,0.0,0.0,10.0,9.0,12.0,9.0,6.0,6.0,2.0,1.0,30.0,25.0,53.0,83.3,33.0,33.0,100.0,73.0,4837.0,16.0,21.9,66.0
,Josh Scobee,23.0,JAX,K,16.0,0.0,0.0,0.0,9.0,9.0,8.0,7.0,10.0,5.0,3.0,2.0,30.0,23.0,53.0,76.7,39.0,38.0,97.4,79.0,5094.0,20.0,25.3,65.0
,Rob Bironas,27.0,TEN,K,16.0,0.0,0.0,0.0,10.0,10.0,7.0,6.0,7.0,5.0,5.0,2.0,29.0,23.0,53.0,79.3,32.0,30.0,93.8,71.0,4483.0,11.0,15.5,63.0
,Phil Dawson,30.0,CLE,K,16.0,0.0,2.0,2.0,11.0,11.0,11.0,9.0,5.0,5.0,0.0,0.0,29.0,27.0,44.0,93.1,21.0,19.0,90.5,61.0,3651.0,3.0,4.9,60.0
,Jeff Reed,26.0,PIT,K,16.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,6.0,2.0,0.0,29.0,24.0,44.0,82.8,45.0,45.0,100.0,84.0,5105.0,5.0,6.0,61.0
,Joe Nedney,32.0,SFO,K,15.0,0.0,0.0,0.0,4.0,4.0,11.0,10.0,10.0,10.0,3.0,2.0,28.0,26.0,56.0,92.9,19.0,19.0,100.0,58.0,3447.0,6.0,10.3,59.0
122199.0,Mike Nugent,23.0,NYJ,K,16.0,0.0,0.0,0.0,9.0,8.0,7.0,7.0,10.0,7.0,2.0,0.0,28.0,22.0,49.0,78.6,24.0,24.0,100.0,63.0,3683.0,1.0,1.6,59.0
120324.0,Robbie Gould,23.0,CHI,K,13.0,0.0,0.0,0.0,9.0,9.0,10.0,9.0,8.0,3.0,0.0,0.0,27.0,21.0,45.0,77.8,20.0,19.0,95.0,54.0,3316.0,1.0,1.9,61.0
,Ryan Longwell,31.0,GNB,K,16.0,0.0,0.0,0.0,7.0,7.0,10.0,6.0,5.0,3.0,5.0,4.0,27.0,20.0,53.0,74.1,31.0,30.0,96.8,69.0,4202.0,3.0,4.3,61.0
,Josh Brown,26.0,SEA,K,16.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,7.0,4.0,8.0,5.0,25.0,18.0,55.0,72.0,57.0,56.0,98.2,89.0,5598.0,4.0,4.5,63.0
,Matt Bryant,30.0,TAM,K,15.0,0.0,0.0,0.0,4.0,2.0,8.0,8.0,11.0,10.0,2.0,1.0,25.0,21.0,50.0,84.0,31.0,31.0,100.0,14.0,905.0,1.0,7.1,65.0
,Todd Peterson,35.0,ATL,K,16.0,0.0,0.0,0.0,10.0,9.0,11.0,11.0,4.0,3.0,0.0,0.0,25.0,23.0,43.0,92.0,35.0,35.0,100.0,0.0,0.0,0.0,,
,Mike Vanderjagt,35.0,IND,K,16.0,0.0,1.0,1.0,9.0,9.0,7.0,6.0,8.0,7.0,0.0,0.0,25.0,23.0,48.0,92.0,52.0,52.0,100.0,1.0,36.0,0.0,0.0,36.0
,Adam Vinatieri,33.0,NWE,K,16.0,0.0,0.0,0.0,7.0,7.0,10.0,9.0,6.0,4.0,2.0,0.0,25.0,20.0,49.0,80.0,41.0,40.0,97.6,80.0,4892.0,10.0,12.5,61.0
,Jason Hanson,35.0,DET,K,15.0,0.0,1.0,1.0,9.0,9.0,3.0,3.0,7.0,4.0,4.0,2.0,24.0,19.0,52.0,79.2,27.0,27.0,100.0,57.0,3452.0,5.0,8.8,61.0
,Nate Kaeding,23.0,SDG,K,16.0,0.0,1.0,1.0,3.0,3.0,9.0,9.0,11.0,8.0,0.0,0.0,24.0,21.0,49.0,87.5,49.0,49.0,100.0,81.0,4981.0,3.0,3.7,62.0
,David Akers,31.0,PHI,K,12.0,0.0,0.0,0.0,3.0,3.0,8.0,7.0,9.0,5.0,2.0,1.0,22.0,16.0,50.0,72.7,23.0,23.0,100.0,34.0,2130.0,3.0,8.8,63.0
,John Hall,31.0,WAS,K,10.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,6.0,5.0,1.0,0.0,14.0,12.0,45.0,85.7,27.0,27.0,100.0,51.0,3059.0,1.0,2.0,60.0
,Billy Cundiff,25.0,DAL,K,6.0,0.0,1.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,1.0,1.0,8.0,5.0,56.0,62.5,14.0,14.0,100.0,26.0,1643.0,1.0,3.8,63.0
,Doug Brien,35.0,CHI,K,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,48.0,25.0,7.0,7.0,100.0,11.0,695.0,1.0,9.1,63.0
100363.0,Shaun Suisham,24.0,DAL,K,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,22.0,75.0,8.0,8.0,100.0,14.0,825.0,0.0,0.0,59.0
,Michael Koenen,23.0,ATL,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,58.0,50.0,0.0,0.0,,77.0,4841.0,14.0,18.2,63.0
,Aaron Elling,27.0,BAL,K,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,,5.0,265.0,0.0,0.0,53.0
118966.0,Dave Rayner,23.0,IND,K,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,,4.0,246.0,0.0,0.0,62.0
,Jason Baker,27.0,CAR,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,5.0,293.0,0.0,0.0,59.0
