Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1,Anthony Adams,25,SFO,NT,16,16,0,0,0,0,1.0,0,0,0,0,0,2.5,40.0,24.0,16.0,3.0,0,
2,Keith Adams,26,PHI,RLB,16,16,0,0,0,0,1.0,0,0,0,0,0,0.0,69.0,59.0,10.0,3.0,0,
3,Brent Alexander,34,NYG,FS,16,16,4,45,0,24,12.0,0,0,1,9,0,0.0,61.0,46.0,15.0,1.0,0,
4,Shaun Alexander,28,SEA,RB,16,16,0,0,0,0,0.0,0,5,0,0,0,0.0,,,,,0,"PB,AP-1,AP MVP-1,AP OPoY-1"
5,Larry Allen,34,DAL,LG,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,PB
6,Will Allen,27,NYG,LCB,16,16,0,17,0,17,11.0,1,0,1,0,0,0.0,73.0,65.0,8.0,1.0,0,
7,Nnamdi Asomugha,24,OAK,LCB,16,16,0,0,0,0,14.0,0,0,0,0,0,0.0,60.0,55.0,5.0,2.0,0,
8,Ronde Barber,30,TAM,RCB,16,16,5,105,0,42,20.0,0,0,1,4,0,2.0,99.0,83.0,16.0,2.0,0,"PB,AP-1"
9,Tiki Barber,30,NYG,RB,16,16,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-1,AP MVP-4,AP OPoY-3"
10,Nick Barnett,24,GNB,MLB,16,16,1,95,1,95,2.0,1,0,3,17,0,1.0,139.0,92.0,47.0,9.0,0,
11,Drew Bledsoe,33,DAL,QB,16,16,0,0,0,0,0.0,0,17,3,-12,0,0.0,0.0,0.0,0.0,0.0,0,
12,Colby Bockwoldt,24,NOR,RLB,16,16,0,0,0,0,3.0,0,0,1,0,0,0.0,89.0,60.0,29.0,6.0,0,
13,Michael Boulware,24,SEA,SS,16,16,4,107,0,40,9.0,1,0,0,0,0,2.0,73.0,58.0,15.0,3.0,0,
14,Gary Brackett,25,IND,MLB,16,16,3,50,0,31,6.0,0,0,0,0,0,1.0,127.0,92.0,35.0,0.0,0,
15,Tom Brady,28,NWE,QB,16,16,0,0,0,0,0.0,0,4,0,0,0,0.0,,,,,0,"PB,AP-2,AP MVP-3,AP OPoY-4"
16,Drew Brees,26,SDG,QB,16,16,0,0,0,0,0.0,0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
17,Lance Briggs,25,CHI,RLB,16,16,2,30,1,20,11.0,1,0,2,0,0,2.0,109.0,85.0,24.0,8.0,0,"PB,AP-1,AP DPoY-6"
18,Raheem Brock,27,IND,LDE,16,16,0,0,0,0,2.0,4,0,1,15,0,6.5,51.0,42.0,9.0,11.0,0,
19,Keith Brooking,30,ATL,MLB,16,16,4,50,0,22,10.0,0,0,1,0,0,3.5,115.0,89.0,26.0,5.0,0,PB
20,Derrick Brooks,32,TAM,RLB,16,16,1,0,0,0,11.0,1,0,0,0,0,3.0,125.0,93.0,32.0,10.0,0,"PB,AP-1"
21,Alex Brown,26,CHI,RDE,16,16,0,0,0,0,6.0,3,0,0,0,0,6.0,46.0,39.0,7.0,12.0,0,AP DPoY-6
22,Sheldon Brown,26,PHI,RCB,16,16,4,67,1,40,27.0,1,0,1,80,1,1.0,57.0,48.0,9.0,2.0,0,
23,Brentson Buckner,34,CAR,LDT,16,16,0,0,0,0,5.0,0,0,1,0,0,1.0,36.0,28.0,8.0,6.0,0,
24,Keith Bulluck,28,TEN,RLB,16,16,2,16,0,16,10.0,1,0,1,0,0,5.0,138.0,102.0,36.0,12.0,0,
25,Kelly Butler,23,DET,RT,16,16,0,0,0,0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
26,Cooper Carlisle,28,DEN,RG,16,16,0,0,0,0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
