Player ID,Player,Age,Team,Pos,G,GS,Ret,Yds,PRTD,Lng,Y/Ret,Ret.1,Yds.1,KRTD,Lng.1,Y/Ret.1,APYd
,Mark Jones,25.0,TAM,WR,16.0,0.0,51.0,492.0,0.0,31.0,9.6,5.0,95.0,0.0,24.0,19.0,587.0
113719.0,Alvin Pearman,23.0,JAX,RB,16.0,0.0,49.0,410.0,0.0,24.0,8.4,8.0,187.0,0.0,34.0,23.4,986.0
,Chad Morton,28.0,NYG,RB,16.0,0.0,47.0,453.0,1.0,58.0,9.6,24.0,559.0,0.0,41.0,23.3,1012.0
,Antonio Chatman,26.0,GNB,WR,16.0,3.0,45.0,381.0,1.0,85.0,8.5,5.0,91.0,0.0,33.0,18.2,1055.0
,Antwaan Randle El,26.0,PIT,WR,16.0,15.0,44.0,448.0,2.0,81.0,10.2,1.0,16.0,0.0,16.0,16.0,1095.0
,Wes Welker,24.0,MIA,WR,16.0,1.0,43.0,390.0,0.0,47.0,9.1,61.0,1379.0,0.0,46.0,22.6,2208.0
,Dante Hall,27.0,KAN,WR,16.0,2.0,42.0,276.0,0.0,52.0,6.6,65.0,1560.0,1.0,96.0,24.0,2283.0
,Reggie Swinton,30.0,ARI,WR,15.0,0.0,42.0,334.0,0.0,32.0,8.0,63.0,1456.0,0.0,90.0,23.1,1790.0
,Dennis Northcutt,28.0,CLE,WR,16.0,7.0,35.0,368.0,1.0,62.0,10.5,0.0,0.0,0.0,0.0,,842.0
120857.0,Chris Carr,22.0,OAK,DB,16.0,0.0,34.0,186.0,0.0,34.0,5.5,73.0,1752.0,0.0,62.0,24.0,1937.0
,Az-Zahir Hakim,28.0,NOR,WR,12.0,2.0,34.0,260.0,0.0,42.0,7.6,9.0,171.0,0.0,29.0,19.0,920.0
,B.J. Sams,25.0,BAL,RB,14.0,0.0,33.0,401.0,0.0,51.0,12.2,44.0,998.0,0.0,87.0,22.7,1399.0
,Bobby Wade,24.0,CHI,WR,12.0,0.0,33.0,317.0,1.0,73.0,9.6,0.0,0.0,0.0,0.0,,397.0
,Tim Dwight,30.0,NWE,WR,16.0,1.0,32.0,273.0,0.0,29.0,8.5,10.0,250.0,0.0,38.0,25.0,866.0
,Adam Jones,22.0,TEN,RCB,15.0,13.0,29.0,272.0,1.0,52.0,9.4,43.0,1127.0,0.0,85.0,26.2,1399.0
,Keiwan Ratliff,24.0,CIN,DB,16.0,3.0,28.0,157.0,0.0,13.0,5.6,0.0,0.0,0.0,0.0,,209.0
,Steve Smith Sr.,26.0,CAR,WR,16.0,16.0,27.0,286.0,0.0,44.0,10.6,3.0,61.0,0.0,33.0,20.3,1940.0
,Eddie Drummond,25.0,DET,WR,12.0,0.0,26.0,157.0,0.0,38.0,6.0,49.0,1077.0,0.0,48.0,22.0,1231.0
,Jimmy Williams,26.0,SEA,DB,14.0,1.0,24.0,139.0,0.0,24.0,5.8,0.0,0.0,0.0,0.0,,145.0
,Jerricho Cotchery,23.0,NYJ,WR,16.0,1.0,23.0,182.0,0.0,18.0,7.9,4.0,105.0,0.0,30.0,26.3,542.0
,Patrick Crayton,26.0,DAL,WR,11.0,0.0,23.0,166.0,0.0,25.0,7.2,0.0,0.0,0.0,0.0,,507.0
,Dexter Wynn,24.0,PHI,DB,10.0,0.0,22.0,110.0,0.0,27.0,5.0,16.0,284.0,0.0,27.0,17.8,394.0
,Reno Mahe,25.0,PHI,RB,15.0,0.0,21.0,269.0,0.0,44.0,12.8,1.0,19.0,0.0,19.0,19.0,443.0
,Mewelde Moore,23.0,MIN,RB,16.0,8.0,21.0,245.0,1.0,71.0,11.7,4.0,72.0,0.0,27.0,18.0,1318.0
,Troy Walters,29.0,IND,WR,16.0,1.0,21.0,172.0,0.0,29.0,8.2,1.0,13.0,0.0,13.0,13.0,337.0
,Eric Parker,26.0,SDG,WR,15.0,9.0,18.0,106.0,0.0,15.0,5.9,1.0,16.0,0.0,16.0,16.0,902.0
119948.0,Darren Sproles,22.0,SDG,RB,15.0,0.0,18.0,108.0,0.0,23.0,6.0,63.0,1528.0,0.0,58.0,24.3,1696.0
101204.0,Rasheed Marshall,24.0,SFO,WR,12.0,0.0,17.0,87.0,0.0,13.0,5.1,26.0,488.0,0.0,29.0,18.8,567.0
,Allen Rossum,30.0,ATL,DB,10.0,0.0,17.0,145.0,0.0,29.0,8.5,31.0,702.0,0.0,47.0,22.6,847.0
116060.0,Darrent Williams,23.0,DEN,RCB,12.0,9.0,17.0,148.0,0.0,52.0,8.7,18.0,431.0,0.0,36.0,23.9,687.0
,Charlie Adams,26.0,DEN,WR,16.0,2.0,16.0,133.0,0.0,32.0,8.3,10.0,218.0,0.0,32.0,21.8,568.0
,Chris Gamble,22.0,CAR,RCB,15.0,15.0,14.0,158.0,0.0,76.0,11.3,0.0,0.0,0.0,0.0,,315.0
120155.0,Roscoe Parrish,23.0,BUF,WR,10.0,1.0,14.0,186.0,0.0,43.0,13.3,10.0,261.0,0.0,45.0,26.1,593.0
,Antonio Brown,27.0,WAS,WR,7.0,0.0,13.0,63.0,0.0,16.0,4.8,19.0,439.0,1.0,91.0,23.1,509.0
,Phillip Buchanon,25.0,HOU,LCB,10.0,6.0,12.0,101.0,0.0,37.0,8.4,0.0,0.0,0.0,0.0,,101.0
,Keenan Howry,24.0,MIN,WR,4.0,0.0,12.0,78.0,0.0,19.0,6.5,0.0,0.0,0.0,0.0,,78.0
,Jerome Mathis,22.0,HOU,WR,12.0,0.0,12.0,68.0,0.0,19.0,5.7,54.0,1542.0,2.0,99.0,28.6,1675.0
,Peerless Price,29.0,DAL,WR,7.0,1.0,12.0,63.0,0.0,11.0,5.3,0.0,0.0,0.0,0.0,,168.0
,Otis Amey,24.0,SFO,WR,11.0,0.0,11.0,125.0,1.0,75.0,11.4,14.0,241.0,0.0,25.0,17.2,366.0
,R.W. McQuarters,29.0,DET,RCB/LCB,16.0,11.0,10.0,117.0,0.0,49.0,11.7,16.0,381.0,0.0,73.0,23.8,523.0
,Terence Newman,27.0,DAL,LCB,16.0,16.0,10.0,55.0,0.0,26.0,5.5,0.0,0.0,0.0,0.0,,75.0
,James Thrash,30.0,WAS,WR,12.0,2.0,10.0,77.0,0.0,18.0,7.7,7.0,170.0,0.0,31.0,24.3,449.0
,Bernard Berrian,25.0,CHI,WR,11.0,2.0,8.0,69.0,0.0,24.0,8.6,0.0,0.0,0.0,0.0,,346.0
,Nate Clements,26.0,BUF,RCB,16.0,16.0,8.0,52.0,0.0,13.0,6.5,0.0,0.0,0.0,0.0,,52.0
,DeAngelo Hall,22.0,ATL,LCB,15.0,15.0,8.0,82.0,0.0,27.0,10.3,2.0,45.0,0.0,23.0,22.5,390.0
,Dane Looker,29.0,STL,WR,16.0,0.0,8.0,69.0,0.0,17.0,8.6,0.0,0.0,0.0,0.0,,306.0
,Shaun McDonald,24.0,STL,WR,16.0,2.0,8.0,33.0,0.0,14.0,4.1,0.0,0.0,0.0,0.0,,563.0
,Brian Westbrook,26.0,PHI,RB,12.0,12.0,8.0,60.0,0.0,23.0,7.5,0.0,0.0,0.0,0.0,,1293.0
,David Allen,27.0,STL,RB,4.0,0.0,7.0,38.0,0.0,12.0,5.4,23.0,472.0,0.0,32.0,20.5,510.0
,Troy Brown,34.0,NWE,WR/DB,13.0,3.0,7.0,30.0,0.0,7.0,4.3,0.0,0.0,0.0,0.0,,496.0
,J.J. Moses,26.0,ARI,WR,2.0,0.0,7.0,40.0,0.0,12.0,5.7,7.0,177.0,0.0,35.0,25.3,217.0
,Santana Moss,26.0,WAS,WR,16.0,16.0,7.0,40.0,0.0,14.0,5.7,0.0,0.0,0.0,0.0,,1520.0
,Donte' Stallworth,25.0,NOR,WR,16.0,13.0,7.0,52.0,0.0,27.0,7.4,0.0,0.0,0.0,0.0,,999.0
102480.0,Mark Clayton,23.0,BAL,WR,14.0,10.0,6.0,30.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,,534.0
,Justin Miller,21.0,NYJ,RCB,16.0,8.0,6.0,9.0,0.0,12.0,1.5,60.0,1577.0,1.0,95.0,26.3,1586.0
,Jonathan Smith,24.0,BUF,WR,7.0,1.0,6.0,41.0,0.0,17.0,6.8,5.0,124.0,0.0,44.0,24.8,222.0
,Peter Warrick,28.0,SEA,WR,13.0,5.0,6.0,29.0,0.0,10.0,4.8,0.0,0.0,0.0,0.0,,214.0
,Nate Burleson,24.0,MIN,WR,12.0,9.0,5.0,21.0,0.0,10.0,4.2,0.0,0.0,0.0,0.0,,343.0
,Rashied Davis,26.0,CHI,DB,12.0,0.0,5.0,31.0,0.0,21.0,6.2,11.0,251.0,0.0,34.0,22.8,282.0
,Brandon Jones,23.0,TEN,WR,10.0,8.0,5.0,75.0,0.0,32.0,15.0,0.0,0.0,0.0,0.0,,375.0
,Justin McCareins,27.0,NYJ,WR,16.0,16.0,5.0,28.0,0.0,12.0,5.6,0.0,0.0,0.0,0.0,,749.0
,Mike Furrey,28.0,STL,FS,16.0,11.0,4.0,28.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,,171.0
,Michael Lewis,34.0,NOR,WR,2.0,0.0,4.0,8.0,0.0,5.0,2.0,8.0,137.0,0.0,20.0,17.1,145.0
,Terry Fair,29.0,STL,DB,5.0,0.0,3.0,7.0,0.0,8.0,2.3,10.0,182.0,0.0,35.0,18.2,189.0
,Michael Jenkins,23.0,ATL,WR,14.0,12.0,3.0,19.0,0.0,15.0,6.3,0.0,0.0,0.0,0.0,,527.0
,Keenan McCardell,35.0,SDG,WR,16.0,16.0,3.0,31.0,0.0,14.0,10.3,0.0,0.0,0.0,0.0,,954.0
,Donovan Morgan,23.0,HOU,WR,3.0,0.0,3.0,30.0,0.0,23.0,10.0,0.0,0.0,0.0,0.0,,72.0
,Chad Owens,23.0,JAX,WR,1.0,0.0,3.0,6.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,,6.0
,Domanick Williams,25.0,HOU,RB,11.0,11.0,3.0,24.0,0.0,21.0,8.0,1.0,29.0,0.0,29.0,29.0,1366.0
,Charles Woodson,29.0,OAK,RCB,6.0,6.0,3.0,20.0,0.0,15.0,6.7,0.0,0.0,0.0,0.0,,20.0
,Brian Finneran,29.0,ATL,WR,16.0,7.0,2.0,7.0,0.0,5.0,3.5,0.0,0.0,0.0,0.0,,618.0
