Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1,Jonathan Allen,25,WAS,RDT,16,16,0,0,0,0,0,0,0,1,0,0,2.0,63,36,27,3,14,1,
2,Josh Allen,24,BUF,QB,16,16,0,0,0,0,0,0,9,1,-2,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP MVP-2,AP OPoY-4"
3,Adrian Amos,27,GNB,SS,16,16,2,47,0,24,9,0,0,0,0,0,2.0,83,65,18,4,3,0,
4,Arik Armstead,27,SFO,LDE,16,16,0,0,0,0,3,0,0,0,0,0,3.5,49,29,20,6,13,0,
5,Jessie Bates III,23,CIN,FS,16,16,3,12,0,12,15,1,0,0,0,0,0.0,109,78,31,2,1,0,AP-2
6,Kelvin Beachum,31,ARI,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
7,Vonn Bell,26,CIN,SS,16,16,0,0,0,0,5,3,0,2,65,0,0.0,114,67,47,3,4,0,
8,Joel Bitonio,29,CLE,LG,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,"PB,AP-2"
9,Tre Boston,28,CAR,FS,16,16,1,0,0,0,4,1,0,2,0,0,1.0,95,61,34,3,2,0,
10,Bradley Bozeman,26,BAL,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
11,Garrett Bradbury,25,MIN,C,16,16,0,0,0,0,0,0,1,2,-12,0,0.0,0,0,0,0,0,0,
12,Tom Brady,43,TAM,QB,16,16,0,0,0,0,0,0,4,3,-6,0,0.0,0,0,0,0,0,0,
13,Malcolm Butler,30,TEN,RCB,16,16,4,111,0,68,14,0,0,0,0,0,0.0,100,86,14,1,0,0,
14,Kevin Byard,27,TEN,FS,16,16,1,0,0,0,7,1,0,0,0,0,0.0,111,79,32,1,1,0,
15,Josh Bynes,31,CIN,LLB,16,16,0,0,0,0,2,0,0,1,0,0,1.0,99,53,46,5,2,0,
16,De'Vondre Campbell,27,ARI,LILB,16,16,0,0,0,0,3,1,0,0,0,0,2.0,99,69,30,7,2,0,
17,Derek Carr,29,LVR,QB,16,16,0,0,0,0,0,0,11,0,-6,0,0.0,0,0,0,0,0,0,
18,Robbie Chosen,27,CAR,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
19,Chuck Clark,25,BAL,SS,16,16,1,0,0,0,4,2,1,3,66,1,1.5,96,57,39,3,4,0,
20,L.J. Collier,25,SEA,DE,16,16,0,0,0,0,2,0,0,0,0,0,3.0,22,16,6,4,7,0,
21,Austin Corbett,25,LAR,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
22,Kirk Cousins,32,MIN,QB,16,16,0,0,0,0,0,0,9,1,-1,0,0.0,0,0,0,0,0,0,
23,Maxx Crosby,23,LVR,RDE,16,16,0,0,0,0,1,0,0,1,0,0,7.0,39,20,19,14,13,0,
24,Zach Cunningham,26,HOU,LILB,16,16,0,0,0,0,2,1,0,0,0,0,3.0,164,106,58,7,4,0,
25,Lloyd Cushenberry III,23,DEN,C,16,16,0,0,0,0,0,0,2,1,-7,0,0.0,0,0,0,0,0,0,
26,Ronald Darby,26,WAS,RCB/LCB,16,16,0,0,0,0,16,0,0,1,0,0,0.0,55,43,12,1,0,0,
27,Lavonte David,30,TAM,RILB,16,16,1,-5,0,-5,6,3,0,2,0,0,1.5,117,82,35,12,3,0,AP-2
28,Demario Davis,31,NOR,MLB,16,16,0,0,0,0,5,0,0,0,0,0,4.0,119,73,46,10,12,0,AP-2
29,Dion Dawkins,26,BUF,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
30,Quandre Diggs,27,SEA,FS,16,16,5,57,0,32,10,0,0,0,0,0,0.0,64,42,22,0,0,0,PB
31,Aaron Donald,29,LAR,DT,16,16,0,0,0,0,1,4,0,1,0,0,13.5,45,27,18,14,28,0,"PB,AP-1,AP DPoY-1"
32,DeShon Elliott,23,BAL,FS,16,16,0,0,0,0,4,2,0,0,0,0,2.5,80,51,29,3,5,0,
33,Rashaan Evans,25,TEN,LILB,16,16,0,0,0,0,5,0,0,1,25,0,0.5,96,59,37,1,4,0,
34,Minkah Fitzpatrick,24,PIT,FS,16,16,4,77,1,37,11,1,0,1,-1,0,0.0,79,60,19,1,0,0,"PB,AP-1"
35,Leonard Floyd,28,LAR,ROLB,16,16,0,0,0,0,1,1,0,2,0,0,10.5,55,31,24,11,19,0,
36,Poona Ford,25,SEA,NT,16,16,0,0,0,0,0,1,0,0,0,0,2.0,40,25,15,8,9,0,
37,Kyle Fuller,28,CHI,LCB,16,16,1,5,0,5,8,1,0,0,0,0,0.0,65,52,13,0,0,0,
38,Tashaun Gipson,30,CHI,SS,16,16,2,10,0,9,7,0,0,1,0,0,0.0,66,48,18,0,0,0,
39,Brandon Graham,32,PHI,RDE,16,16,0,0,0,0,0,2,0,1,0,0,8.0,46,35,11,13,16,0,PB
40,Rob Gronkowski,31,TAM,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
41,Johnathan Hankins,28,LVR,LDT,16,16,0,0,0,0,0,0,0,1,0,0,1.0,48,27,21,1,4,0,
42,Vernon Hargreaves III,25,HOU,RCB,16,16,1,0,0,0,7,0,0,0,0,0,0.0,72,61,11,1,0,0,
43,Duron Harmon,29,DET,FS,16,16,2,22,0,21,5,0,0,0,0,0,0.0,73,54,19,0,1,0,
