Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1,Will Witherspoon,29,2TM,LLB,17,16,1.0,9.0,1.0,9.0,5,1,0,0,0,0,1.0,90,79,11,5.0,1.0,0.0,
1,Will Witherspoon,29,STL,RLB,6,6,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,32,28,4,2.0,0.0,0.0,
1,Will Witherspoon,29,PHI,LLB,11,10,1.0,9.0,1.0,9.0,5,1,0,0,0,0,1.0,58,51,7,3.0,1.0,0.0,
2,Jared Allen,27,MIN,RDE,16,16,1.0,-4.0,0.0,-4.0,4,5,0,3,54,1,14.5,51,43,8,19.0,23.0,1.0,"PB,AP-1,AP DPoY-5"
3,Nnamdi Asomugha,28,OAK,RCB,16,16,1.0,0.0,0.0,0.0,3,0,0,0,0,0,0.0,34,30,4,8.0,0.0,0.0,"PB,AP-2"
4,Donnie Avery,25,STL,WR,16,16,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0.0,0,0,0,,,0.0,
5,Jonathan Babineaux,28,ATL,LDT,16,16,0.0,0.0,0.0,0.0,2,2,0,2,0,0,6.0,47,37,10,13.0,10.0,0.0,
6,Jordan Babineaux,27,SEA,FS,16,16,2.0,18.0,0.0,18.0,6,1,0,0,0,0,1.5,104,75,29,3.0,3.0,0.0,
7,Champ Bailey,31,DEN,LCB,16,16,3.0,18.0,0.0,11.0,15,1,0,0,0,0,0.0,74,63,11,3.0,0.0,0.0,PB
8,Ronde Barber,34,TAM,RCB,16,16,0.0,0.0,0.0,0.0,6,2,0,1,0,0,2.0,77,69,8,9.0,4.0,0.0,
9,Nick Barnett,28,GNB,RILB,16,16,0.0,0.0,0.0,0.0,7,0,0,0,0,0,4.0,106,83,23,12.0,4.0,0.0,
10,Jon Beason,24,CAR,MLB,16,16,3.0,46.0,0.0,18.0,7,1,0,2,0,0,3.0,141,111,30,14.0,5.0,0.0,"PB,AP-2"
11,Antoine Bethea,25,IND,FS,16,16,4.0,19.0,0.0,19.0,5,2,0,1,0,0,0.0,95,70,25,2.0,1.0,0.0,PB
12,Tom Brady,32,NWE,QB,16,16,0.0,0.0,0.0,0.0,0,0,4,0,0,0,0.0,0,0,0,,,0.0,"PB,AP CPoY-1"
13,Tyvon Branch,23,OAK,SS,16,16,0.0,0.0,0.0,0.0,8,2,0,0,0,0,1.0,124,98,26,6.0,1.0,0.0,
14,Alex Brown,30,CHI,RDE,16,16,0.0,0.0,0.0,0.0,1,1,0,1,0,0,6.0,48,36,12,10.0,18.0,0.0,
15,Duane Brown,24,HOU,LT,16,16,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,1,1,0,0.0,0.0,0.0,
16,Mike Brown,31,KAN,SS,16,16,3.0,13.0,0.0,10.0,3,0,0,1,4,0,2.0,103,79,24,3.0,2.0,0.0,
17,Sheldon Brown,30,PHI,RCB,16,16,5.0,152.0,1.0,83.0,17,1,0,1,60,1,0.0,51,43,8,2.0,0.0,0.0,
18,Brodrick Bunkley,26,PHI,RDT,16,16,0.0,0.0,0.0,0.0,4,0,0,1,0,0,1.0,37,30,7,5.0,2.0,0.0,
19,Greg Camarillo,27,MIA,WR,16,16,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,1,1,0,0.0,0.0,0.0,
