Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Unnamed: 19_level_0
Rk,Player,Age,Team,Pos,G,GS,Pnt,Yds,Y/P,RetYds,NetYds,NY/P,Lng,TB,TB%,Pnt20,In20%,Blck,Awards
1.0,Andy Lee,27.0,SFO,P,16.0,0.0,99.0,4711.0,47.6,495.0,4056.0,41.0,64.0,8.0,8.1,30.0,30.3,0.0,"PB,AP-2"
2.0,Dustin Colquitt,27.0,KAN,P,16.0,0.0,96.0,4361.0,45.4,285.0,3956.0,40.8,70.0,6.0,6.3,41.0,42.7,1.0,
3.0,Shane Lechler,33.0,OAK,P,16.0,0.0,96.0,4909.0,51.1,459.0,4210.0,43.9,70.0,12.0,12.5,30.0,31.3,0.0,"PB,AP-1"
4.0,Donnie Jones,29.0,STL,P,16.0,0.0,90.0,4212.0,46.8,260.0,3752.0,41.7,63.0,10.0,11.1,34.0,37.8,0.0,AP-2
5.0,Brian Moorman,33.0,BUF,P,16.0,0.0,90.0,4192.0,46.6,377.0,3615.0,40.2,73.0,10.0,11.1,25.0,27.8,0.0,
6.0,Jon Ryan,28.0,SEA,P,16.0,0.0,88.0,4068.0,46.2,479.0,3409.0,38.7,70.0,9.0,10.2,28.0,31.8,0.0,
7.0,Ben Graham,36.0,ARI,P,16.0,0.0,86.0,4045.0,47.0,493.0,3492.0,40.6,64.0,3.0,3.5,42.0,48.8,0.0,
8.0,Kevin Huber,24.0,CIN,P,16.0,0.0,86.0,3713.0,43.2,393.0,3120.0,36.3,61.0,10.0,11.6,24.0,27.9,0.0,
9.0,Steve Weatherford,27.0,NYJ,P,16.0,0.0,80.0,3357.0,42.0,238.0,2939.0,36.7,66.0,9.0,11.3,25.0,31.3,0.0,
10.0,Brad Maynard,35.0,CHI,P,16.0,0.0,77.0,3191.0,41.4,272.0,2879.0,37.4,66.0,2.0,2.6,26.0,33.8,0.0,
11.0,Jason Baker,31.0,CAR,P,16.0,0.0,76.0,3352.0,44.1,452.0,2820.0,36.6,61.0,4.0,5.3,22.0,28.9,1.0,
12.0,Saverio Rocca,36.0,PHI,P,16.0,0.0,76.0,3222.0,42.4,229.0,2913.0,38.3,61.0,4.0,5.3,26.0,34.2,0.0,
