Player ID,Player,Age,Team,Pos,G,GS,Pnt,Yds,Y/P,RetYds,NetYds,NY/P,Lng,TB,TB%,Pnt20,In20%,Blck
,Andy Lee,27.0,SFO,P,16.0,0.0,99.0,4711.0,47.6,495.0,4056.0,41.0,64.0,8.0,8.1,30.0,30.3,0.0
107775.0,Dustin Colquitt,27.0,KAN,P,16.0,0.0,96.0,4361.0,45.4,285.0,3956.0,40.8,70.0,6.0,6.3,41.0,42.7,1.0
,Shane Lechler,33.0,OAK,P,16.0,0.0,96.0,4909.0,51.1,459.0,4210.0,43.9,70.0,12.0,12.5,30.0,31.3,0.0
,Donnie Jones,29.0,STL,P,16.0,0.0,90.0,4212.0,46.8,260.0,3752.0,41.7,63.0,10.0,11.1,34.0,37.8,0.0
,Brian Moorman,33.0,BUF,P,16.0,0.0,90.0,4192.0,46.6,377.0,3615.0,40.2,73.0,10.0,11.1,25.0,27.8,0.0
,Jon Ryan,28.0,SEA,P,16.0,0.0,88.0,4068.0,46.2,479.0,3409.0,38.7,70.0,9.0,10.2,28.0,31.8,0.0
,Ben Graham,36.0,ARI,P,16.0,0.0,86.0,4045.0,47.0,493.0,3492.0,40.6,64.0,3.0,3.5,42.0,48.8,0.0
169396.0,Kevin Huber,24.0,CIN,P,16.0,0.0,86.0,3713.0,43.2,393.0,3120.0,36.3,61.0,10.0,11.6,24.0,27.9,0.0
127759.0,Steve Weatherford,27.0,NYJ,P,16.0,0.0,80.0,3357.0,42.0,238.0,2939.0,36.7,66.0,9.0,11.3,25.0,31.3,0.0
,Brad Maynard,35.0,CHI,P,16.0,0.0,77.0,3191.0,41.4,272.0,2879.0,37.4,66.0,2.0,2.6,26.0,33.8,0.0
,Jason Baker,31.0,CAR,P,16.0,0.0,76.0,3352.0,44.1,452.0,2820.0,36.6,61.0,4.0,5.3,22.0,28.9,1.0
,Saverio Rocca,36.0,PHI,P,16.0,0.0,76.0,3222.0,42.4,229.0,2913.0,38.3,61.0,4.0,5.3,26.0,34.2,0.0
133782.0,Brandon Fields,25.0,MIA,P,16.0,0.0,75.0,3472.0,46.3,369.0,2983.0,39.8,66.0,6.0,8.0,25.0,33.3,0.0
,Nick Harris,31.0,DET,P,16.0,0.0,74.0,3175.0,42.9,354.0,2721.0,36.8,56.0,5.0,6.8,20.0,27.0,0.0
105279.0,Chris Kluwe,28.0,MIN,P,16.0,0.0,73.0,3202.0,43.9,260.0,2762.0,37.8,60.0,9.0,12.3,24.0,32.9,0.0
123206.0,Sam Koch,27.0,BAL,P,16.0,0.0,73.0,3188.0,43.7,287.0,2801.0,37.9,60.0,5.0,6.8,26.0,35.6,1.0
,Mat McBriar,30.0,DAL,P,16.0,0.0,72.0,3249.0,45.1,314.0,2875.0,39.9,63.0,3.0,4.2,38.0,52.8,0.0
136005.0,Adam Podlesh,26.0,JAX,P,16.0,0.0,72.0,3017.0,41.9,159.0,2758.0,38.3,64.0,5.0,6.9,23.0,31.9,0.0
134774.0,Daniel Sepulveda,25.0,PIT,P,16.0,0.0,72.0,3074.0,42.7,325.0,2669.0,37.1,60.0,4.0,5.6,29.0,40.3,0.0
,Matt Turk,41.0,HOU,P,16.0,0.0,67.0,2866.0,42.8,104.0,2642.0,39.4,62.0,6.0,9.0,24.0,35.8,0.0
146360.0,Jeremy Kapinos,25.0,GNB,P,16.0,0.0,66.0,2891.0,43.8,403.0,2288.0,34.1,58.0,10.0,15.2,15.0,22.7,1.0
,Jeff Feagles,43.0,NYG,P,16.0,0.0,64.0,2604.0,40.7,258.0,2306.0,36.0,59.0,2.0,3.1,23.0,35.9,0.0
174460.0,Pat McAfee,22.0,IND,P,16.0,0.0,64.0,2837.0,44.3,301.0,2416.0,37.8,60.0,6.0,9.4,21.0,32.8,0.0
,Dirk Johnson,34.0,TAM,P,11.0,0.0,62.0,2558.0,41.3,222.0,2276.0,36.7,63.0,3.0,4.8,16.0,25.8,0.0
,Michael Koenen,27.0,ATL,P,16.0,0.0,61.0,2598.0,42.6,289.0,2249.0,36.3,70.0,3.0,4.9,18.0,29.5,1.0
170311.0,Thomas Morstead,23.0,NOR,P,16.0,0.0,58.0,2528.0,43.6,358.0,2090.0,36.0,60.0,4.0,6.9,18.0,31.0,0.0
,Hunter Smith,32.0,WAS,P,13.0,0.0,57.0,2356.0,41.3,158.0,2098.0,36.8,59.0,5.0,8.8,23.0,40.4,0.0
,Chris Hanson,33.0,NWE,P,16.0,0.0,56.0,2221.0,39.7,180.0,1941.0,34.1,56.0,5.0,8.9,18.0,32.1,1.0
,Mike Scifres,29.0,SDG,P,16.0,0.0,52.0,2342.0,45.0,265.0,2037.0,39.2,65.0,2.0,3.8,23.0,44.2,0.0
,Mitch Berger,37.0,DEN,P,10.0,0.0,51.0,2142.0,42.0,169.0,1933.0,37.9,65.0,2.0,3.9,13.0,25.5,0.0
,Dave Zastudil,31.0,CLE,P,8.0,0.0,49.0,2188.0,44.7,170.0,1918.0,39.1,60.0,5.0,10.2,25.0,51.0,0.0
,Glenn Pakulak,29.0,WAS,P,2.0,0.0,13.0,498.0,38.3,46.0,432.0,33.2,57.0,1.0,7.7,4.0,30.8,0.0
,Craig Hentrich,38.0,TEN,P,2.0,0.0,9.0,422.0,46.9,25.0,397.0,44.1,60.0,0.0,0.0,3.0,33.3,0.0
100363.0,Shaun Suisham,28.0,WAS,K,12.0,0.0,3.0,80.0,26.7,4.0,76.0,25.3,32.0,0.0,0.0,1.0,33.3,0.0
162664.0,Connor Barth,23.0,TAM,K,9.0,0.0,1.0,46.0,46.0,18.0,28.0,28.0,46.0,0.0,0.0,0.0,0.0,0.0
