"Season","PlayerId","Player","Team","Conference","Category","StatType","Stat"
"2022","-126086"," Team","Post University","Independent DII","punting","In 20","0"
"2022","-126086"," Team","Post University","Independent DII","punting","LONG","0"
"2022","-126086"," Team","Post University","Independent DII","punting","NO","1"
"2022","-126086"," Team","Post University","Independent DII","punting","TB","0"
"2022","-126086"," Team","Post University","Independent DII","punting","YDS","0"
"2022","-126086"," Team","Post University","Independent DII","punting","YPP","0.0"
"2022","-112358"," Team","Long Island University","NEC","fumbles","FUM","1"
"2022","-112358"," Team","Long Island University","NEC","fumbles","LOST","0"
"2022","-112358"," Team","Long Island University","NEC","fumbles","REC","0"
"2022","-112358"," Team","Long Island University","NEC","punting","In 20","0"
"2022","-112358"," Team","Long Island University","NEC","punting","LONG","0"
"2022","-112358"," Team","Long Island University","NEC","punting","NO","1"
"2022","-112358"," Team","Long Island University","NEC","punting","TB","0"
"2022","-112358"," Team","Long Island University","NEC","punting","YDS","0"
"2022","-112358"," Team","Long Island University","NEC","punting","YPP","0.0"
"2022","-112358"," Team","Long Island University","NEC","rushing","CAR","3"
"2022","-112358"," Team","Long Island University","NEC","rushing","LONG","0"
"2022","-112358"," Team","Long Island University","NEC","rushing","TD","0"
"2022","-112358"," Team","Long Island University","NEC","rushing","YDS","-4"
"2022","-112358"," Team","Long Island University","NEC","rushing","YPC","-1.3"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","defensive","PD","0"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","defensive","QB HUR","0"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","defensive","SACKS","0"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","defensive","SOLO","1"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","defensive","TD","0"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","defensive","TFL","0"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","defensive","TOT","1"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","fumbles","FUM","1"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","fumbles","LOST","0"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","fumbles","REC","0"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","passing","ATT","1"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","passing","COMPLETIONS","0"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","passing","INT","0"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","passing","PCT","0.000"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","passing","TD","0"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","passing","YDS","0"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","passing","YPA","0.0"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","punting","In 20","0"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","punting","LONG","0"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","punting","NO","1"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","punting","TB","0"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","punting","YDS","0"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","punting","YPP","0.0"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","rushing","CAR","2"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","rushing","LONG","0"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","rushing","TD","0"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","rushing","YDS","-3"
"2022","-109170"," Team","Kennesaw State","Atlantic Sun","rushing","YPC","-1.5"
"2022","-107062"," Team","Houston Christian","Southland","fumbles","FUM","1"
