"Season","PlayerId","Player","Team","Conference","Category","StatType","Stat"
"2008","27200","Michael Johnson","UNLV","Mountain West","puntReturns","AVG","1.5"
"2008","27200","Michael Johnson","UNLV","Mountain West","puntReturns","LONG","16"
"2008","27200","Michael Johnson","UNLV","Mountain West","puntReturns","NO","6"
"2008","27200","Michael Johnson","UNLV","Mountain West","puntReturns","TD","0"
"2008","27200","Michael Johnson","UNLV","Mountain West","puntReturns","YDS","9"
"2008","27200","Michael Johnson","UNLV","Mountain West","rushing","CAR","3"
"2008","27200","Michael Johnson","UNLV","Mountain West","rushing","LONG","8"
"2008","27200","Michael Johnson","UNLV","Mountain West","rushing","TD","0"
"2008","27200","Michael Johnson","UNLV","Mountain West","rushing","YDS","12"
"2008","27200","Michael Johnson","UNLV","Mountain West","rushing","YPC","4.0"
"2008","100774","Andrew Johnson","Akron","Mid-American","receiving","LONG","20"
"2008","100774","Andrew Johnson","Akron","Mid-American","receiving","REC","11"
"2008","100774","Andrew Johnson","Akron","Mid-American","receiving","TD","0"
"2008","100774","Andrew Johnson","Akron","Mid-American","receiving","YDS","64"
"2008","100774","Andrew Johnson","Akron","Mid-American","receiving","YPR","5.8"
"2008","100774","Andrew Johnson","Akron","Mid-American","rushing","CAR","56"
"2008","100774","Andrew Johnson","Akron","Mid-American","rushing","LONG","33"
"2008","100774","Andrew Johnson","Akron","Mid-American","rushing","TD","2"
"2008","100774","Andrew Johnson","Akron","Mid-American","rushing","YDS","278"
"2008","100774","Andrew Johnson","Akron","Mid-American","rushing","YPC","5.0"
"2008","102126","Bradley George","Texas State","Southland","passing","ATT","2"
"2008","102126","Bradley George","Texas State","Southland","passing","COMPLETIONS","1"
"2008","102126","Bradley George","Texas State","Southland","passing","INT","0"
"2008","102126","Bradley George","Texas State","Southland","passing","PCT","0.500"
"2008","102126","Bradley George","Texas State","Southland","passing","TD","0"
"2008","102126","Bradley George","Texas State","Southland","passing","YDS","7"
"2008","102126","Bradley George","Texas State","Southland","passing","YPA","3.5"
"2008","102126","Bradley George","Texas State","Southland","rushing","CAR","3"
"2008","102126","Bradley George","Texas State","Southland","rushing","LONG","0"
"2008","102126","Bradley George","Texas State","Southland","rushing","TD","0"
"2008","102126","Bradley George","Texas State","Southland","rushing","YDS","-16"
"2008","102126","Bradley George","Texas State","Southland","rushing","YPC","-5.3"
"2008","103547","Eric Hunter","Idaho","Western Athletic","puntReturns","AVG","22.0"
"2008","103547","Eric Hunter","Idaho","Western Athletic","puntReturns","LONG","22"
"2008","103547","Eric Hunter","Idaho","Western Athletic","puntReturns","NO","1"
"2008","103547","Eric Hunter","Idaho","Western Athletic","puntReturns","TD","1"
"2008","103547","Eric Hunter","Idaho","Western Athletic","puntReturns","YDS","22"
"2008","123339","Ryan Donahue","Iowa","Big Ten","punting","In 20","0"
"2008","123339","Ryan Donahue","Iowa","Big Ten","punting","LONG","64"
"2008","123339","Ryan Donahue","Iowa","Big Ten","punting","NO","50"
"2008","123339","Ryan Donahue","Iowa","Big Ten","punting","TB","0"
"2008","123339","Ryan Donahue","Iowa","Big Ten","punting","YDS","2078"
"2008","123339","Ryan Donahue","Iowa","Big Ten","punting","YPP","41.6"
"2008","126603","Rashan Cylar","Alabama A&M","SWAC","punting","In 20","0"
"2008","126603","Rashan Cylar","Alabama A&M","SWAC","punting","LONG","46"
"2008","126603","Rashan Cylar","Alabama A&M","SWAC","punting","NO","5"
"2008","126603","Rashan Cylar","Alabama A&M","SWAC","punting","TB","0"
"2008","126603","Rashan Cylar","Alabama A&M","SWAC","punting","YDS","176"
"2008","126603","Rashan Cylar","Alabama A&M","SWAC","punting","YPP","35.2"
"2008","132870","Martevious Young","Southern Miss","Conference USA","passing","ATT","2"
"2008","132870","Martevious Young","Southern Miss","Conference USA","passing","COMPLETIONS","1"
"2008","132870","Martevious Young","Southern Miss","Conference USA","passing","INT","1"
"2008","132870","Martevious Young","Southern Miss","Conference USA","passing","PCT","0.500"
"2008","132870","Martevious Young","Southern Miss","Conference USA","passing","TD","0"
"2008","132870","Martevious Young","Southern Miss","Conference USA","passing","YDS","6"
"2008","132870","Martevious Young","Southern Miss","Conference USA","passing","YPA","3.0"
"2008","132870","Martevious Young","Southern Miss","Conference USA","rushing","CAR","5"
"2008","132870","Martevious Young","Southern Miss","Conference USA","rushing","LONG","29"
"2008","132870","Martevious Young","Southern Miss","Conference USA","rushing","TD","0"
"2008","132870","Martevious Young","Southern Miss","Conference USA","rushing","YDS","42"
"2008","132870","Martevious Young","Southern Miss","Conference USA","rushing","YPC","8.4"
"2008","133550","Brenden Gaskins","BYU","Mountain West","passing","ATT","12"
"2008","133550","Brenden Gaskins","BYU","Mountain West","passing","COMPLETIONS","7"
"2008","133550","Brenden Gaskins","BYU","Mountain West","passing","INT","0"
"2008","133550","Brenden Gaskins","BYU","Mountain West","passing","PCT","0.583"
"2008","133550","Brenden Gaskins","BYU","Mountain West","passing","TD","0"
"2008","133550","Brenden Gaskins","BYU","Mountain West","passing","YDS","73"
"2008","133550","Brenden Gaskins","BYU","Mountain West","passing","YPA","6.1"
"2008","133550","Brenden Gaskins","BYU","Mountain West","rushing","CAR","1"
"2008","133550","Brenden Gaskins","BYU","Mountain West","rushing","LONG","0"
"2008","133550","Brenden Gaskins","BYU","Mountain West","rushing","TD","0"
"2008","133550","Brenden Gaskins","BYU","Mountain West","rushing","YDS","-1"
"2008","133550","Brenden Gaskins","BYU","Mountain West","rushing","YPC","-1.0"
"2008","133986","James Adams","Wake Forest","ACC","receiving","LONG","30"
"2008","133986","James Adams","Wake Forest","ACC","receiving","REC","2"
"2008","133986","James Adams","Wake Forest","ACC","receiving","TD","0"
"2008","133986","James Adams","Wake Forest","ACC","receiving","YDS","34"
"2008","133986","James Adams","Wake Forest","ACC","receiving","YPR","17.0"
"2008","133986","James Adams","Wake Forest","ACC","rushing","CAR","2"
"2008","133986","James Adams","Wake Forest","ACC","rushing","LONG","9"
"2008","133986","James Adams","Wake Forest","ACC","rushing","TD","0"
"2008","133986","James Adams","Wake Forest","ACC","rushing","YDS","10"
"2008","133986","James Adams","Wake Forest","ACC","rushing","YPC","5.0"
"2008","134175","Blair Irvin","Kansas State","Big 12","interceptions","AVG","0.0"
"2008","134175","Blair Irvin","Kansas State","Big 12","interceptions","INT","1"
"2008","134175","Blair Irvin","Kansas State","Big 12","interceptions","TD","0"
"2008","134175","Blair Irvin","Kansas State","Big 12","interceptions","YDS","0"
"2008","135271","Fui Vakapuna","BYU","Mountain West","receiving","LONG","12"
"2008","135271","Fui Vakapuna","BYU","Mountain West","receiving","REC","10"
"2008","135271","Fui Vakapuna","BYU","Mountain West","receiving","TD","1"
"2008","135271","Fui Vakapuna","BYU","Mountain West","receiving","YDS","69"
"2008","135271","Fui Vakapuna","BYU","Mountain West","receiving","YPR","6.9"
"2008","135271","Fui Vakapuna","BYU","Mountain West","rushing","CAR","54"
"2008","135271","Fui Vakapuna","BYU","Mountain West","rushing","LONG","33"
"2008","135271","Fui Vakapuna","BYU","Mountain West","rushing","TD","3"
"2008","135271","Fui Vakapuna","BYU","Mountain West","rushing","YDS","263"
"2008","135271","Fui Vakapuna","BYU","Mountain West","rushing","YPC","4.9"
"2008","136470","Inoke Funaki","Hawai'i","Western Athletic","passing","ATT","173"
"2008","136470","Inoke Funaki","Hawai'i","Western Athletic","passing","COMPLETIONS","100"
"2008","136470","Inoke Funaki","Hawai'i","Western Athletic","passing","INT","12"
"2008","136470","Inoke Funaki","Hawai'i","Western Athletic","passing","PCT","0.578"
"2008","136470","Inoke Funaki","Hawai'i","Western Athletic","passing","TD","7"
"2008","136470","Inoke Funaki","Hawai'i","Western Athletic","passing","YDS","1184"
"2008","136470","Inoke Funaki","Hawai'i","Western Athletic","passing","YPA","6.8"
"2008","136470","Inoke Funaki","Hawai'i","Western Athletic","rushing","CAR","74"
"2008","136470","Inoke Funaki","Hawai'i","Western Athletic","rushing","LONG","33"
"2008","136470","Inoke Funaki","Hawai'i","Western Athletic","rushing","TD","1"
"2008","136470","Inoke Funaki","Hawai'i","Western Athletic","rushing","YDS","215"
"2008","136470","Inoke Funaki","Hawai'i","Western Athletic","rushing","YPC","2.9"
"2008","144349","Ryan Gardner","Colorado State","Mountain West","receiving","LONG","9"
"2008","144349","Ryan Gardner","Colorado State","Mountain West","receiving","REC","2"
"2008","144349","Ryan Gardner","Colorado State","Mountain West","receiving","TD","0"
"2008","144349","Ryan Gardner","Colorado State","Mountain West","receiving","YDS","15"
"2008","144349","Ryan Gardner","Colorado State","Mountain West","receiving","YPR","7.5"
"2008","145002","Sean Young","California","Pac-10","puntReturns","AVG","1.3"
"2008","145002","Sean Young","California","Pac-10","puntReturns","LONG","7"
"2008","145002","Sean Young","California","Pac-10","puntReturns","NO","3"
"2008","145002","Sean Young","California","Pac-10","puntReturns","TD","0"
"2008","145002","Sean Young","California","Pac-10","puntReturns","YDS","4"
"2008","145002","Sean Young","California","Pac-10","receiving","LONG","42"
"2008","145002","Sean Young","California","Pac-10","receiving","REC","17"
"2008","145002","Sean Young","California","Pac-10","receiving","TD","1"
"2008","145002","Sean Young","California","Pac-10","receiving","YDS","192"
"2008","145002","Sean Young","California","Pac-10","receiving","YPR","11.3"
"2008","145002","Sean Young","California","Pac-10","rushing","CAR","1"
"2008","145002","Sean Young","California","Pac-10","rushing","LONG","2"
"2008","145002","Sean Young","California","Pac-10","rushing","TD","0"
"2008","145002","Sean Young","California","Pac-10","rushing","YDS","2"
"2008","145002","Sean Young","California","Pac-10","rushing","YPC","2.0"
"2008","145028","Jeremiah Johnson","Oregon","Pac-10","receiving","LONG","25"
"2008","145028","Jeremiah Johnson","Oregon","Pac-10","receiving","REC","8"
"2008","145028","Jeremiah Johnson","Oregon","Pac-10","receiving","TD","0"
"2008","145028","Jeremiah Johnson","Oregon","Pac-10","receiving","YDS","75"
"2008","145028","Jeremiah Johnson","Oregon","Pac-10","receiving","YPR","9.4"
"2008","145028","Jeremiah Johnson","Oregon","Pac-10","rushing","CAR","168"
