"Season","PlayerId","Player","Team","Conference","Category","StatType","Stat"
"2016","-107062"," Team","Houston Christian","Southland","fumbles","FUM","1"
"2016","-107062"," Team","Houston Christian","Southland","fumbles","LOST","0"
"2016","-107062"," Team","Houston Christian","Southland","fumbles","REC","0"
"2016","-107062"," Team","Houston Christian","Southland","rushing","CAR","1"
"2016","-107062"," Team","Houston Christian","Southland","rushing","LONG","0"
"2016","-107062"," Team","Houston Christian","Southland","rushing","TD","0"
"2016","-107062"," Team","Houston Christian","Southland","rushing","YDS","-14"
"2016","-107062"," Team","Houston Christian","Southland","rushing","YPC","-14.0"
"2016","-107006"," Team","Charlotte","Conference USA","rushing","CAR","8"
"2016","-107006"," Team","Charlotte","Conference USA","rushing","LONG","0"
"2016","-107006"," Team","Charlotte","Conference USA","rushing","TD","0"
"2016","-107006"," Team","Charlotte","Conference USA","rushing","YDS","-29"
"2016","-107006"," Team","Charlotte","Conference USA","rushing","YPC","-3.6"
"2016","-103071"," Team","UTSA","Conference USA","fumbles","FUM","1"
"2016","-103071"," Team","UTSA","Conference USA","fumbles","LOST","0"
"2016","-103071"," Team","UTSA","Conference USA","fumbles","REC","0"
"2016","-103071"," Team","UTSA","Conference USA","rushing","CAR","5"
"2016","-103071"," Team","UTSA","Conference USA","rushing","LONG","0"
"2016","-103071"," Team","UTSA","Conference USA","rushing","TD","0"
"2016","-103071"," Team","UTSA","Conference USA","rushing","YDS","-12"
"2016","-103071"," Team","UTSA","Conference USA","rushing","YPC","-2.4"
"2016","-95576"," Team","Georgia State","Sun Belt","fumbles","FUM","3"
"2016","-95576"," Team","Georgia State","Sun Belt","fumbles","LOST","0"
"2016","-95576"," Team","Georgia State","Sun Belt","fumbles","REC","0"
"2016","-95576"," Team","Georgia State","Sun Belt","rushing","CAR","11"
"2016","-95576"," Team","Georgia State","Sun Belt","rushing","LONG","0"
"2016","-95576"," Team","Georgia State","Sun Belt","rushing","TD","0"
"2016","-95576"," Team","Georgia State","Sun Belt","rushing","YDS","-89"
"2016","-95576"," Team","Georgia State","Sun Belt","rushing","YPC","-8.1"
"2016","-90985"," Team","South Alabama","Sun Belt","defensive","PD","0"
"2016","-90985"," Team","South Alabama","Sun Belt","defensive","QB HUR","0"
"2016","-90985"," Team","South Alabama","Sun Belt","defensive","SACKS","0"
"2016","-90985"," Team","South Alabama","Sun Belt","defensive","SOLO","1"
"2016","-90985"," Team","South Alabama","Sun Belt","defensive","TD","0"
"2016","-90985"," Team","South Alabama","Sun Belt","defensive","TFL","0"
"2016","-90985"," Team","South Alabama","Sun Belt","defensive","TOT","1"
"2016","-90985"," Team","South Alabama","Sun Belt","fumbles","FUM","2"
"2016","-90985"," Team","South Alabama","Sun Belt","fumbles","LOST","0"
"2016","-90985"," Team","South Alabama","Sun Belt","fumbles","REC","0"
"2016","-90985"," Team","South Alabama","Sun Belt","passing","ATT","2"
"2016","-90985"," Team","South Alabama","Sun Belt","passing","COMPLETIONS","0"
"2016","-90985"," Team","South Alabama","Sun Belt","passing","INT","0"
"2016","-90985"," Team","South Alabama","Sun Belt","passing","PCT","0.000"
"2016","-90985"," Team","South Alabama","Sun Belt","passing","TD","0"
"2016","-90985"," Team","South Alabama","Sun Belt","passing","YDS","0"
"2016","-90985"," Team","South Alabama","Sun Belt","passing","YPA","0.0"
"2016","-90985"," Team","South Alabama","Sun Belt","rushing","CAR","9"
"2016","-90985"," Team","South Alabama","Sun Belt","rushing","LONG","0"
"2016","-90985"," Team","South Alabama","Sun Belt","rushing","TD","0"
"2016","-90985"," Team","South Alabama","Sun Belt","rushing","YDS","-20"
"2016","-90985"," Team","South Alabama","Sun Belt","rushing","YPC","-2.2"
"2016","-88752"," Team","Old Dominion","Conference USA","defensive","PD","0"
"2016","-88752"," Team","Old Dominion","Conference USA","defensive","QB HUR","0"
"2016","-88752"," Team","Old Dominion","Conference USA","defensive","SACKS","0"
"2016","-88752"," Team","Old Dominion","Conference USA","defensive","SOLO","2"
"2016","-88752"," Team","Old Dominion","Conference USA","defensive","TD","0"
"2016","-88752"," Team","Old Dominion","Conference USA","defensive","TFL","1"
"2016","-88752"," Team","Old Dominion","Conference USA","defensive","TOT","2"
"2016","-88752"," Team","Old Dominion","Conference USA","rushing","CAR","10"
"2016","-88752"," Team","Old Dominion","Conference USA","rushing","LONG","0"
"2016","-88752"," Team","Old Dominion","Conference USA","rushing","TD","0"
"2016","-88752"," Team","Old Dominion","Conference USA","rushing","YDS","-12"
"2016","-88752"," Team","Old Dominion","Conference USA","rushing","YPC","-1.2"
"2016","-88716"," Team","Incarnate Word","Southland","fumbles","FUM","1"
"2016","-88716"," Team","Incarnate Word","Southland","fumbles","LOST","0"
"2016","-88716"," Team","Incarnate Word","Southland","fumbles","REC","0"
"2016","-88716"," Team","Incarnate Word","Southland","punting","In 20","0"
"2016","-88716"," Team","Incarnate Word","Southland","punting","LONG","24"
"2016","-88716"," Team","Incarnate Word","Southland","punting","NO","1"
"2016","-88716"," Team","Incarnate Word","Southland","punting","TB","0"
"2016","-88716"," Team","Incarnate Word","Southland","punting","YDS","24"
"2016","-88716"," Team","Incarnate Word","Southland","punting","YPP","24.0"
"2016","-88716"," Team","Incarnate Word","Southland","rushing","CAR","3"
"2016","-88716"," Team","Incarnate Word","Southland","rushing","LONG","0"
"2016","-88716"," Team","Incarnate Word","Southland","rushing","TD","0"
"2016","-88716"," Team","Incarnate Word","Southland","rushing","YDS","-4"
"2016","-88716"," Team","Incarnate Word","Southland","rushing","YPC","-1.3"
"2016","-15611"," Team","SE Louisiana","Southland","rushing","CAR","1"
"2016","-15611"," Team","SE Louisiana","Southland","rushing","LONG","0"
"2016","-15611"," Team","SE Louisiana","Southland","rushing","TD","0"
"2016","-15611"," Team","SE Louisiana","Southland","rushing","YDS","-13"
"2016","-15611"," Team","SE Louisiana","Southland","rushing","YPC","-13.0"
"2016","-14550"," Team","Florida International","Conference USA","defensive","PD","0"
"2016","-14550"," Team","Florida International","Conference USA","defensive","QB HUR","0"
"2016","-14550"," Team","Florida International","Conference USA","defensive","SACKS","0"
"2016","-14550"," Team","Florida International","Conference USA","defensive","SOLO","1"
"2016","-14550"," Team","Florida International","Conference USA","defensive","TD","0"
"2016","-14550"," Team","Florida International","Conference USA","defensive","TFL","0"
"2016","-14550"," Team","Florida International","Conference USA","defensive","TOT","1"
"2016","-14550"," Team","Florida International","Conference USA","rushing","CAR","1"
"2016","-14550"," Team","Florida International","Conference USA","rushing","LONG","0"
"2016","-14550"," Team","Florida International","Conference USA","rushing","TD","0"
"2016","-14550"," Team","Florida International","Conference USA","rushing","YDS","-2"
"2016","-14550"," Team","Florida International","Conference USA","rushing","YPC","-2.0"
"2016","-8097"," Team","Youngstown State","MVFC","fumbles","FUM","1"
"2016","-8097"," Team","Youngstown State","MVFC","fumbles","LOST","0"
"2016","-8097"," Team","Youngstown State","MVFC","fumbles","REC","0"
"2016","-8097"," Team","Youngstown State","MVFC","rushing","CAR","1"
"2016","-8097"," Team","Youngstown State","MVFC","rushing","LONG","0"
"2016","-8097"," Team","Youngstown State","MVFC","rushing","TD","0"
"2016","-8097"," Team","Youngstown State","MVFC","rushing","YDS","-3"
"2016","-8097"," Team","Youngstown State","MVFC","rushing","YPC","-3.0"
"2016","-8086"," Team","Wyoming","Mountain West","fumbles","FUM","0"
"2016","-8086"," Team","Wyoming","Mountain West","fumbles","LOST","0"
"2016","-8086"," Team","Wyoming","Mountain West","fumbles","REC","1"
"2016","-8086"," Team","Wyoming","Mountain West","passing","ATT","4"
"2016","-8086"," Team","Wyoming","Mountain West","passing","COMPLETIONS","0"
"2016","-8086"," Team","Wyoming","Mountain West","passing","INT","0"
"2016","-8086"," Team","Wyoming","Mountain West","passing","PCT","0.000"
"2016","-8086"," Team","Wyoming","Mountain West","passing","TD","0"
"2016","-8086"," Team","Wyoming","Mountain West","passing","YDS","0"
"2016","-8086"," Team","Wyoming","Mountain West","passing","YPA","0.0"
"2016","-8086"," Team","Wyoming","Mountain West","rushing","CAR","11"
"2016","-8086"," Team","Wyoming","Mountain West","rushing","LONG","0"
"2016","-8086"," Team","Wyoming","Mountain West","rushing","TD","0"
"2016","-8086"," Team","Wyoming","Mountain West","rushing","YDS","-16"
"2016","-8086"," Team","Wyoming","Mountain West","rushing","YPC","-1.5"
"2016","-8054"," Team","William & Mary","CAA","defensive","PD","0"
"2016","-8054"," Team","William & Mary","CAA","defensive","QB HUR","0"
"2016","-8054"," Team","William & Mary","CAA","defensive","SACKS","0"
"2016","-8054"," Team","William & Mary","CAA","defensive","SOLO","1"
"2016","-8054"," Team","William & Mary","CAA","defensive","TD","0"
"2016","-8054"," Team","William & Mary","CAA","defensive","TFL","0"
"2016","-8054"," Team","William & Mary","CAA","defensive","TOT","1"
"2016","-8054"," Team","William & Mary","CAA","rushing","CAR","1"
"2016","-8054"," Team","William & Mary","CAA","rushing","LONG","0"
"2016","-8054"," Team","William & Mary","CAA","rushing","TD","0"
"2016","-8054"," Team","William & Mary","CAA","rushing","YDS","-2"
"2016","-8054"," Team","William & Mary","CAA","rushing","YPC","-2.0"
"2016","-8025"," Team","Wisconsin","Big Ten","fumbles","FUM","1"
"2016","-8025"," Team","Wisconsin","Big Ten","fumbles","LOST","0"
"2016","-8025"," Team","Wisconsin","Big Ten","fumbles","REC","0"
"2016","-8025"," Team","Wisconsin","Big Ten","rushing","CAR","15"
"2016","-8025"," Team","Wisconsin","Big Ten","rushing","LONG","0"
"2016","-8025"," Team","Wisconsin","Big Ten","rushing","TD","0"
"2016","-8025"," Team","Wisconsin","Big Ten","rushing","YDS","-69"
"2016","-8025"," Team","Wisconsin","Big Ten","rushing","YPC","-4.6"
"2016","-7951"," Team","West Virginia","Big 12","fumbles","FUM","2"
"2016","-7951"," Team","West Virginia","Big 12","fumbles","LOST","1"
"2016","-7951"," Team","West Virginia","Big 12","fumbles","REC","0"
"2016","-7951"," Team","West Virginia","Big 12","rushing","CAR","10"
"2016","-7951"," Team","West Virginia","Big 12","rushing","LONG","0"
"2016","-7951"," Team","West Virginia","Big 12","rushing","TD","0"
"2016","-7951"," Team","West Virginia","Big 12","rushing","YDS","-20"
"2016","-7951"," Team","West Virginia","Big 12","rushing","YPC","-2.0"
"2016","-7923"," Team","Western Michigan","Mid-American","defensive","PD","0"
"2016","-7923"," Team","Western Michigan","Mid-American","defensive","QB HUR","0"
"2016","-7923"," Team","Western Michigan","Mid-American","defensive","SACKS","1"
"2016","-7923"," Team","Western Michigan","Mid-American","defensive","SOLO","1"
"2016","-7923"," Team","Western Michigan","Mid-American","defensive","TD","0"
"2016","-7923"," Team","Western Michigan","Mid-American","defensive","TFL","1"
"2016","-7923"," Team","Western Michigan","Mid-American","defensive","TOT","1"
"2016","-7923"," Team","Western Michigan","Mid-American","rushing","CAR","15"
"2016","-7923"," Team","Western Michigan","Mid-American","rushing","LONG","0"
"2016","-7923"," Team","Western Michigan","Mid-American","rushing","TD","0"
"2016","-7923"," Team","Western Michigan","Mid-American","rushing","YDS","-27"
"2016","-7923"," Team","Western Michigan","Mid-American","rushing","YPC","-1.8"
"2016","-7905"," Team","Western Kentucky","Conference USA","defensive","PD","0"
"2016","-7905"," Team","Western Kentucky","Conference USA","defensive","QB HUR","0"
"2016","-7905"," Team","Western Kentucky","Conference USA","defensive","SACKS","1"
"2016","-7905"," Team","Western Kentucky","Conference USA","defensive","SOLO","2"
"2016","-7905"," Team","Western Kentucky","Conference USA","defensive","TD","0"
"2016","-7905"," Team","Western Kentucky","Conference USA","defensive","TFL","2"
"2016","-7905"," Team","Western Kentucky","Conference USA","defensive","TOT","2"
"2016","-7905"," Team","Western Kentucky","Conference USA","fumbles","FUM","2"
"2016","-7905"," Team","Western Kentucky","Conference USA","fumbles","LOST","0"
"2016","-7905"," Team","Western Kentucky","Conference USA","fumbles","REC","0"
"2016","-7905"," Team","Western Kentucky","Conference USA","rushing","CAR","13"
"2016","-7905"," Team","Western Kentucky","Conference USA","rushing","LONG","0"
"2016","-7905"," Team","Western Kentucky","Conference USA","rushing","TD","0"
"2016","-7905"," Team","Western Kentucky","Conference USA","rushing","YDS","-34"
"2016","-7905"," Team","Western Kentucky","Conference USA","rushing","YPC","-2.6"
"2016","-7902"," Team","Western Illinois","MVFC","rushing","CAR","1"
"2016","-7902"," Team","Western Illinois","MVFC","rushing","LONG","0"
"2016","-7902"," Team","Western Illinois","MVFC","rushing","TD","0"
"2016","-7902"," Team","Western Illinois","MVFC","rushing","YDS","-1"
"2016","-7902"," Team","Western Illinois","MVFC","rushing","YPC","-1.0"
"2016","-7893"," Team","Western Carolina","Southern","punting","In 20","0"
"2016","-7893"," Team","Western Carolina","Southern","punting","LONG","0"
"2016","-7893"," Team","Western Carolina","Southern","punting","NO","1"
"2016","-7893"," Team","Western Carolina","Southern","punting","TB","0"
"2016","-7893"," Team","Western Carolina","Southern","punting","YDS","0"
"2016","-7893"," Team","Western Carolina","Southern","punting","YPP","0.0"
"2016","-7862"," Team","Washington State","Pac-12","fumbles","FUM","1"
"2016","-7862"," Team","Washington State","Pac-12","fumbles","LOST","0"
"2016","-7862"," Team","Washington State","Pac-12","fumbles","REC","0"
"2016","-7862"," Team","Washington State","Pac-12","passing","ATT","1"
"2016","-7862"," Team","Washington State","Pac-12","passing","COMPLETIONS","0"
"2016","-7862"," Team","Washington State","Pac-12","passing","INT","0"
"2016","-7862"," Team","Washington State","Pac-12","passing","PCT","0.000"
"2016","-7862"," Team","Washington State","Pac-12","passing","TD","0"
"2016","-7862"," Team","Washington State","Pac-12","passing","YDS","0"
"2016","-7862"," Team","Washington State","Pac-12","passing","YPA","0.0"
"2016","-7862"," Team","Washington State","Pac-12","rushing","CAR","6"
"2016","-7862"," Team","Washington State","Pac-12","rushing","LONG","0"
"2016","-7862"," Team","Washington State","Pac-12","rushing","TD","0"
"2016","-7862"," Team","Washington State","Pac-12","rushing","YDS","-44"
"2016","-7862"," Team","Washington State","Pac-12","rushing","YPC","-7.3"
"2016","-7854"," Team","Washington","Pac-12","defensive","PD","0"
"2016","-7854"," Team","Washington","Pac-12","defensive","QB HUR","0"
