"Season","PlayerId","Player","Team","Conference","Category","StatType","Stat"
"2004","12047","Jamien McCullum","Stanford","Pac-10","passing","ATT","1"
"2004","12047","Jamien McCullum","Stanford","Pac-10","passing","COMPLETIONS","1"
"2004","12047","Jamien McCullum","Stanford","Pac-10","passing","INT","0"
"2004","12047","Jamien McCullum","Stanford","Pac-10","passing","PCT","1.000"
"2004","12047","Jamien McCullum","Stanford","Pac-10","passing","TD","0"
"2004","12047","Jamien McCullum","Stanford","Pac-10","passing","YDS","42"
"2004","12047","Jamien McCullum","Stanford","Pac-10","passing","YPA","42.0"
"2004","15825","Bo Scaife","Texas","Big 12","receiving","LONG","30"
"2004","15825","Bo Scaife","Texas","Big 12","receiving","REC","26"
"2004","15825","Bo Scaife","Texas","Big 12","receiving","TD","2"
"2004","15825","Bo Scaife","Texas","Big 12","receiving","YDS","348"
"2004","15825","Bo Scaife","Texas","Big 12","receiving","YPR","13.4"
"2004","15825","Bo Scaife","Texas","Big 12","rushing","CAR","0"
"2004","15825","Bo Scaife","Texas","Big 12","rushing","LONG","0"
"2004","15825","Bo Scaife","Texas","Big 12","rushing","TD","1"
"2004","15825","Bo Scaife","Texas","Big 12","rushing","YDS","0"
"2004","15825","Bo Scaife","Texas","Big 12","rushing","YPC","0"
"2004","16705","Bristol Olomua","Texas Tech","Big 12","receiving","LONG","38"
"2004","16705","Bristol Olomua","Texas Tech","Big 12","receiving","REC","27"
"2004","16705","Bristol Olomua","Texas Tech","Big 12","receiving","TD","5"
"2004","16705","Bristol Olomua","Texas Tech","Big 12","receiving","YDS","259"
"2004","16705","Bristol Olomua","Texas Tech","Big 12","receiving","YPR","9.6"
"2004","19707","Korey Kirkpatrick","Miami (OH)","Mid-American","receiving","LONG","23"
"2004","19707","Korey Kirkpatrick","Miami (OH)","Mid-American","receiving","REC","20"
"2004","19707","Korey Kirkpatrick","Miami (OH)","Mid-American","receiving","TD","1"
"2004","19707","Korey Kirkpatrick","Miami (OH)","Mid-American","receiving","YDS","217"
"2004","19707","Korey Kirkpatrick","Miami (OH)","Mid-American","receiving","YPR","10.9"
"2004","20847","Jason White","Oklahoma","Big 12","passing","ATT","390"
"2004","20847","Jason White","Oklahoma","Big 12","passing","COMPLETIONS","255"
"2004","20847","Jason White","Oklahoma","Big 12","passing","INT","9"
"2004","20847","Jason White","Oklahoma","Big 12","passing","PCT","0.654"
"2004","20847","Jason White","Oklahoma","Big 12","passing","TD","35"
"2004","20847","Jason White","Oklahoma","Big 12","passing","YDS","3205"
"2004","20847","Jason White","Oklahoma","Big 12","passing","YPA","8.2"
"2004","20847","Jason White","Oklahoma","Big 12","rushing","CAR","23"
"2004","20847","Jason White","Oklahoma","Big 12","rushing","LONG","14"
"2004","20847","Jason White","Oklahoma","Big 12","rushing","TD","0"
"2004","20847","Jason White","Oklahoma","Big 12","rushing","YDS","-56"
"2004","20847","Jason White","Oklahoma","Big 12","rushing","YPC","-2.4"
"2004","28326","Stephen Cucci","Houston","Conference USA","receiving","LONG","22"
"2004","28326","Stephen Cucci","Houston","Conference USA","receiving","REC","12"
"2004","28326","Stephen Cucci","Houston","Conference USA","receiving","TD","0"
"2004","28326","Stephen Cucci","Houston","Conference USA","receiving","YDS","155"
"2004","28326","Stephen Cucci","Houston","Conference USA","receiving","YPR","12.9"
"2004","29035","Chris Jackson","Ohio","Mid-American","receiving","LONG","51"
"2004","29035","Chris Jackson","Ohio","Mid-American","receiving","REC","37"
"2004","29035","Chris Jackson","Ohio","Mid-American","receiving","TD","0"
"2004","29035","Chris Jackson","Ohio","Mid-American","receiving","YDS","380"
"2004","29035","Chris Jackson","Ohio","Mid-American","receiving","YPR","10.3"
"2004","29035","Chris Jackson","Ohio","Mid-American","rushing","CAR","4"
"2004","29035","Chris Jackson","Ohio","Mid-American","rushing","LONG","2"
"2004","29035","Chris Jackson","Ohio","Mid-American","rushing","TD","0"
"2004","29035","Chris Jackson","Ohio","Mid-American","rushing","YDS","-1"
"2004","29035","Chris Jackson","Ohio","Mid-American","rushing","YPC","-0.3"
"2004","36262","Chris Hale","BYU","Mountain West","receiving","LONG","19"
"2004","36262","Chris Hale","BYU","Mountain West","receiving","REC","5"
"2004","36262","Chris Hale","BYU","Mountain West","receiving","TD","0"
"2004","36262","Chris Hale","BYU","Mountain West","receiving","YDS","31"
"2004","36262","Chris Hale","BYU","Mountain West","receiving","YPR","6.2"
"2004","100104","Andrew Walter","Arizona State","Pac-10","passing","ATT","426"
"2004","100104","Andrew Walter","Arizona State","Pac-10","passing","COMPLETIONS","244"
"2004","100104","Andrew Walter","Arizona State","Pac-10","passing","INT","9"
"2004","100104","Andrew Walter","Arizona State","Pac-10","passing","PCT","0.573"
"2004","100104","Andrew Walter","Arizona State","Pac-10","passing","TD","30"
"2004","100104","Andrew Walter","Arizona State","Pac-10","passing","YDS","3150"
"2004","100104","Andrew Walter","Arizona State","Pac-10","passing","YPA","7.4"
"2004","100104","Andrew Walter","Arizona State","Pac-10","receiving","LONG","0"
"2004","100104","Andrew Walter","Arizona State","Pac-10","receiving","REC","1"
"2004","100104","Andrew Walter","Arizona State","Pac-10","receiving","TD","0"
"2004","100104","Andrew Walter","Arizona State","Pac-10","receiving","YDS","-8"
"2004","100104","Andrew Walter","Arizona State","Pac-10","receiving","YPR","-8.0"
"2004","100104","Andrew Walter","Arizona State","Pac-10","rushing","CAR","58"
"2004","100104","Andrew Walter","Arizona State","Pac-10","rushing","LONG","17"
"2004","100104","Andrew Walter","Arizona State","Pac-10","rushing","TD","0"
"2004","100104","Andrew Walter","Arizona State","Pac-10","rushing","YDS","-112"
"2004","100104","Andrew Walter","Arizona State","Pac-10","rushing","YPC","-1.9"
"2004","100107","Emmanuel Franklin","Arizona State","Pac-10","interceptions","AVG","20.8"
"2004","100107","Emmanuel Franklin","Arizona State","Pac-10","interceptions","INT","4"
"2004","100107","Emmanuel Franklin","Arizona State","Pac-10","interceptions","TD","1"
"2004","100107","Emmanuel Franklin","Arizona State","Pac-10","interceptions","YDS","83"
"2004","100169","Luke Groth","Baylor","Big 12","receiving","LONG","2"
"2004","100169","Luke Groth","Baylor","Big 12","receiving","REC","1"
"2004","100169","Luke Groth","Baylor","Big 12","receiving","TD","0"
"2004","100169","Luke Groth","Baylor","Big 12","receiving","YDS","2"
"2004","100169","Luke Groth","Baylor","Big 12","receiving","YPR","2.0"
"2004","100172","Jonathan Evans","Baylor","Big 12","receiving","LONG","23"
"2004","100172","Jonathan Evans","Baylor","Big 12","receiving","REC","12"
"2004","100172","Jonathan Evans","Baylor","Big 12","receiving","TD","0"
"2004","100172","Jonathan Evans","Baylor","Big 12","receiving","YDS","102"
"2004","100172","Jonathan Evans","Baylor","Big 12","receiving","YPR","8.5"
"2004","100172","Jonathan Evans","Baylor","Big 12","rushing","CAR","6"
