"Season","PlayerId","Player","Team","Conference","Category","StatType","Stat"
"2024","-124179"," Team","Lincoln (CA)","Independent DII","punting","In 20","0"
"2024","-124179"," Team","Lincoln (CA)","Independent DII","punting","LONG","0"
"2024","-124179"," Team","Lincoln (CA)","Independent DII","punting","NO","1"
"2024","-124179"," Team","Lincoln (CA)","Independent DII","punting","TB","0"
"2024","-124179"," Team","Lincoln (CA)","Independent DII","punting","YDS","0"
"2024","-124179"," Team","Lincoln (CA)","Independent DII","punting","YPP","0.0"
"2024","-112358"," Team","Long Island University","NEC","fumbles","FUM","1"
"2024","-112358"," Team","Long Island University","NEC","fumbles","LOST","0"
"2024","-112358"," Team","Long Island University","NEC","fumbles","REC","0"
"2024","-112358"," Team","Long Island University","NEC","passing","ATT","1"
"2024","-112358"," Team","Long Island University","NEC","passing","COMPLETIONS","0"
"2024","-112358"," Team","Long Island University","NEC","passing","INT","0"
"2024","-112358"," Team","Long Island University","NEC","passing","PCT","0.000"
"2024","-112358"," Team","Long Island University","NEC","passing","TD","0"
"2024","-112358"," Team","Long Island University","NEC","passing","YDS","0"
"2024","-112358"," Team","Long Island University","NEC","passing","YPA","0.0"
"2024","-112358"," Team","Long Island University","NEC","rushing","CAR","2"
"2024","-112358"," Team","Long Island University","NEC","rushing","LONG","0"
"2024","-112358"," Team","Long Island University","NEC","rushing","TD","0"
"2024","-112358"," Team","Long Island University","NEC","rushing","YDS","-23"
"2024","-112358"," Team","Long Island University","NEC","rushing","YPC","-11.5"
"2024","-109170"," Team","Kennesaw State","Conference USA","fumbles","FUM","5"
"2024","-109170"," Team","Kennesaw State","Conference USA","fumbles","LOST","0"
"2024","-109170"," Team","Kennesaw State","Conference USA","fumbles","REC","0"
"2024","-109170"," Team","Kennesaw State","Conference USA","rushing","CAR","7"
"2024","-109170"," Team","Kennesaw State","Conference USA","rushing","LONG","4"
"2024","-109170"," Team","Kennesaw State","Conference USA","rushing","TD","0"
"2024","-109170"," Team","Kennesaw State","Conference USA","rushing","YDS","-34"
"2024","-109170"," Team","Kennesaw State","Conference USA","rushing","YPC","-4.9"
"2024","-107062"," Team","Houston Christian","Southland","fumbles","FUM","1"
"2024","-107062"," Team","Houston Christian","Southland","fumbles","LOST","0"
"2024","-107062"," Team","Houston Christian","Southland","fumbles","REC","0"
"2024","-107062"," Team","Houston Christian","Southland","punting","In 20","0"
"2024","-107062"," Team","Houston Christian","Southland","punting","LONG","21"
"2024","-107062"," Team","Houston Christian","Southland","punting","NO","3"
"2024","-107062"," Team","Houston Christian","Southland","punting","TB","0"
"2024","-107062"," Team","Houston Christian","Southland","punting","YDS","47"
"2024","-107062"," Team","Houston Christian","Southland","punting","YPP","15.7"
"2024","-107062"," Team","Houston Christian","Southland","rushing","CAR","5"
"2024","-107062"," Team","Houston Christian","Southland","rushing","LONG","0"
"2024","-107062"," Team","Houston Christian","Southland","rushing","TD","0"
"2024","-107062"," Team","Houston Christian","Southland","rushing","YDS","-22"
