Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Unnamed: 16_level_0,Unnamed: 17_level_0
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
1.0,Larry Johnson,27.0,KAN,RB,16.0,16.0,416.0,1789.0,17.0,91.0,44.7,47.0,4.3,111.8,26.0,2.0,"PB,AP-1"
2.0,LaDainian Tomlinson,27.0,SDG,RB,16.0,16.0,348.0,1815.0,28.0,83.0,47.7,85.0,5.2,113.4,21.8,2.0,"PB,AP-1,AP MVP-1,AP OPoY-1"
3.0,Steven Jackson,23.0,STL,RB,16.0,16.0,346.0,1528.0,13.0,73.0,46.5,59.0,4.4,95.5,21.6,4.0,"PB,AP-2,AP OPoY-4"
4.0,Rudi Johnson,27.0,CIN,RB,16.0,15.0,341.0,1309.0,12.0,70.0,42.5,22.0,3.8,81.8,21.3,6.0,
5.0,Edgerrin James,28.0,ARI,RB,16.0,16.0,337.0,1159.0,6.0,61.0,45.1,18.0,3.4,72.4,21.1,3.0,
6.0,Willie Parker,26.0,PIT,RB,16.0,16.0,337.0,1494.0,13.0,72.0,44.5,76.0,4.4,93.4,21.1,7.0,PB
7.0,Tiki Barber,31.0,NYG,RB,16.0,16.0,327.0,1662.0,5.0,79.0,47.1,55.0,5.1,103.9,20.4,3.0,PB
8.0,Jamal Lewis,27.0,BAL,RB,16.0,16.0,314.0,1132.0,9.0,48.0,39.8,52.0,3.6,70.8,19.6,4.0,
9.0,Frank Gore,23.0,SFO,RB,16.0,16.0,312.0,1695.0,8.0,67.0,46.5,72.0,5.4,105.9,19.5,6.0,"PB,AP-2"
10.0,Chester Taylor,27.0,MIN,RB,15.0,15.0,303.0,1216.0,6.0,54.0,43.6,95.0,4.0,81.1,20.2,5.0,
11.0,Thomas Jones,28.0,CHI,RB,16.0,16.0,296.0,1210.0,6.0,63.0,47.3,30.0,4.1,75.6,18.5,1.0,
12.0,Warrick Dunn,31.0,ATL,RB,16.0,16.0,286.0,1140.0,4.0,48.0,38.8,90.0,4.0,71.3,17.9,1.0,
13.0,Travis Henry,28.0,TEN,RB,14.0,13.0,270.0,1211.0,7.0,50.0,42.6,70.0,4.5,86.5,19.3,3.0,AP CPoY-6
14.0,Julius Jones,25.0,DAL,RB,16.0,16.0,267.0,1084.0,4.0,48.0,44.9,77.0,4.1,67.8,16.7,1.0,
15.0,Ahman Green,29.0,GNB,RB,14.0,14.0,266.0,1059.0,5.0,55.0,40.6,70.0,4.0,75.6,19.0,4.0,
16.0,Willis McGahee,25.0,BUF,RB,14.0,14.0,259.0,990.0,6.0,50.0,45.2,57.0,3.8,70.7,18.5,4.0,
17.0,Shaun Alexander,29.0,SEA,RB,10.0,10.0,252.0,896.0,7.0,54.0,40.9,33.0,3.6,89.6,25.2,6.0,
18.0,Ladell Betts,27.0,WAS,RB,16.0,9.0,245.0,1154.0,4.0,60.0,46.5,26.0,4.7,72.1,15.3,6.0,
19.0,Deuce McAllister,28.0,NOR,RB,15.0,13.0,244.0,1057.0,10.0,53.0,49.6,57.0,4.3,70.5,16.3,3.0,AP CPoY-6
20.0,Ronnie Brown,25.0,MIA,RB,13.0,12.0,241.0,1008.0,5.0,50.0,44.8,47.0,4.2,77.5,18.5,4.0,
21.0,Brian Westbrook,27.0,PHI,RB,15.0,14.0,240.0,1217.0,7.0,60.0,47.5,71.0,5.1,81.1,16.0,2.0,
22.0,Tatum Bell,25.0,DEN,RB,13.0,13.0,233.0,1025.0,2.0,47.0,39.5,51.0,4.4,78.8,17.9,5.0,
23.0,Fred Taylor,30.0,JAX,RB,15.0,15.0,231.0,1146.0,5.0,47.0,42.9,76.0,5.0,76.4,15.4,3.0,
24.0,DeShaun Foster,26.0,CAR,RB,14.0,14.0,227.0,897.0,3.0,49.0,45.4,43.0,4.0,64.1,16.2,4.0,
25.0,Joseph Addai,23.0,IND,RB,16.0,0.0,226.0,1081.0,7.0,67.0,60.2,41.0,4.8,67.6,14.1,2.0,
26.0,Cadillac Williams,24.0,TAM,RB,14.0,14.0,225.0,798.0,1.0,32.0,39.1,38.0,3.5,57.0,16.1,3.0,
27.0,Reuben Droughns,28.0,CLE,RB,14.0,12.0,220.0,758.0,4.0,38.0,40.9,22.0,3.4,54.1,15.7,5.0,
28.0,Corey Dillon,32.0,NWE,RB,16.0,13.0,199.0,812.0,13.0,49.0,49.2,50.0,4.1,50.8,12.4,2.0,
29.0,Dominic Rhodes,27.0,IND,RB,16.0,16.0,187.0,641.0,5.0,40.0,45.5,17.0,3.4,40.1,11.7,3.0,
30.0,Kevin Jones,24.0,DET,RB,12.0,12.0,181.0,689.0,6.0,31.0,39.2,52.0,3.8,57.4,15.1,5.0,
31.0,Justin Fargas,26.0,OAK,RB,16.0,6.0,178.0,659.0,1.0,29.0,39.3,48.0,3.7,41.2,11.1,1.0,
32.0,Laurence Maroney,21.0,NWE,RB,14.0,0.0,175.0,745.0,6.0,42.0,43.4,41.0,4.3,53.2,12.5,1.0,
