Player ID,Player,Age,Team,Pos,G,GS,Pnt,Yds,Y/P,RetYds,NetYds,NY/P,Lng,TB,TB%,Pnt20,In20%,Blck
,Jason Baker,28.0,CAR,P,16.0,0.0,98.0,4483.0,45.7,382.0,3861.0,39.0,70.0,12.0,12.2,31.0,31.6,1.0
,Josh Bidwell,30.0,TAM,P,16.0,0.0,93.0,4045.0,43.5,487.0,3418.0,36.8,59.0,7.0,7.5,20.0,21.5,0.0
105279.0,Chris Kluwe,25.0,MIN,P,16.0,0.0,93.0,3934.0,42.3,485.0,3309.0,35.6,68.0,7.0,7.5,28.0,30.1,0.0
,Brian Moorman,30.0,BUF,P,16.0,0.0,92.0,4012.0,43.6,265.0,3607.0,39.2,66.0,7.0,7.6,33.0,35.9,0.0
,Craig Hentrich,35.0,TEN,P,16.0,0.0,88.0,3760.0,42.7,278.0,3282.0,37.3,73.0,10.0,11.4,32.0,36.4,0.0
123206.0,Sam Koch,24.0,BAL,P,16.0,0.0,86.0,3695.0,43.0,404.0,3231.0,37.6,61.0,3.0,3.5,30.0,34.9,0.0
,Donnie Jones,26.0,MIA,P,16.0,0.0,85.0,3640.0,42.8,367.0,3073.0,35.7,64.0,10.0,11.8,28.0,32.9,1.0
134010.0,Ryan Plackemeier,22.0,SEA,P,16.0,0.0,84.0,3778.0,45.0,343.0,3135.0,37.3,72.0,15.0,17.9,25.0,29.8,0.0
,Jon Ryan,25.0,GNB,P,16.0,0.0,84.0,3739.0,44.5,503.0,2996.0,35.7,66.0,12.0,14.3,17.0,20.2,0.0
,Derrick Frost,26.0,WAS,P,16.0,0.0,81.0,3471.0,42.9,319.0,3012.0,36.7,60.0,7.0,8.6,27.0,33.3,1.0
,Andy Lee,24.0,SFO,P,16.0,0.0,81.0,3625.0,44.8,462.0,2983.0,36.8,66.0,9.0,11.1,22.0,27.2,0.0
,Dave Zastudil,28.0,CLE,P,16.0,0.0,81.0,3563.0,44.0,312.0,3111.0,38.4,61.0,7.0,8.6,28.0,34.6,0.0
,Paul Ernster,24.0,DEN,P,16.0,0.0,80.0,3338.0,41.7,268.0,2930.0,36.6,61.0,7.0,8.8,23.0,28.8,0.0
,Dirk Johnson,31.0,PHI,P,16.0,0.0,78.0,3326.0,42.6,380.0,2726.0,34.9,60.0,11.0,14.1,21.0,26.9,0.0
,Jeff Feagles,40.0,NYG,P,16.0,0.0,77.0,3098.0,40.2,191.0,2847.0,37.0,54.0,3.0,3.9,27.0,35.1,0.0
,Kyle Larson,26.0,CIN,P,16.0,0.0,77.0,3428.0,44.5,236.0,2972.0,38.6,67.0,11.0,14.3,26.0,33.8,0.0
,Shane Lechler,30.0,OAK,P,16.0,0.0,77.0,3660.0,47.5,437.0,2843.0,36.4,67.0,19.0,24.7,19.0,24.7,1.0
,Brad Maynard,32.0,CHI,P,16.0,0.0,77.0,3404.0,44.2,367.0,2897.0,37.6,65.0,7.0,9.1,24.0,31.2,0.0
127759.0,Steve Weatherford,24.0,NOR,P,16.0,0.0,77.0,3369.0,43.8,279.0,2890.0,37.5,59.0,10.0,13.0,19.0,24.7,0.0
,Michael Koenen,24.0,ATL,P,16.0,0.0,76.0,3199.0,42.1,279.0,2800.0,35.9,65.0,6.0,7.9,25.0,32.9,2.0
,Chad Stanley,30.0,HOU,P,16.0,0.0,76.0,3161.0,41.6,275.0,2786.0,36.7,62.0,5.0,6.6,15.0,19.7,0.0
,Ben Graham,33.0,NYJ,P,16.0,0.0,72.0,3182.0,44.2,205.0,2757.0,37.8,69.0,11.0,15.3,26.0,36.1,1.0
,Chris Hanson,30.0,JAX,P,16.0,0.0,72.0,2920.0,40.6,343.0,2437.0,33.4,58.0,7.0,9.7,20.0,27.8,1.0
,Matt Turk,38.0,STL,P,16.0,0.0,72.0,3132.0,43.5,239.0,2793.0,38.3,74.0,5.0,6.9,26.0,36.1,1.0
107775.0,Dustin Colquitt,24.0,KAN,P,16.0,0.0,71.0,3145.0,44.3,254.0,2791.0,39.3,72.0,5.0,7.0,23.0,32.4,0.0
,Mike Scifres,26.0,SDG,P,16.0,0.0,69.0,2893.0,41.9,216.0,2637.0,38.2,71.0,2.0,2.9,35.0,50.7,0.0
,Nick Harris,28.0,DET,P,16.0,0.0,66.0,2967.0,45.0,267.0,2520.0,38.2,67.0,9.0,13.6,18.0,27.3,0.0
,Scott Player,37.0,ARI,P,16.0,0.0,66.0,2965.0,44.9,562.0,2343.0,34.5,58.0,3.0,4.5,18.0,27.3,2.0
,Chris Gardocki,36.0,PIT,P,16.0,0.0,65.0,2687.0,41.3,219.0,2388.0,36.7,56.0,4.0,6.2,11.0,16.9,0.0
,Mat McBriar,27.0,DAL,P,16.0,0.0,56.0,2697.0,48.2,334.0,2163.0,38.6,75.0,10.0,17.9,22.0,39.3,0.0
,Hunter Smith,29.0,IND,P,16.0,0.0,47.0,2085.0,44.4,327.0,1658.0,34.5,61.0,5.0,10.6,14.0,29.8,1.0
,Josh Miller,36.0,NWE,P,10.0,0.0,43.0,1848.0,43.0,169.0,1539.0,35.8,62.0,7.0,16.3,12.0,27.9,0.0
,Ken Walter,34.0,NWE,P,4.0,0.0,16.0,591.0,36.9,52.0,539.0,33.7,47.0,0.0,0.0,5.0,31.3,0.0
,Todd Sauerbrun,33.0,NWE,P,2.0,0.0,10.0,408.0,40.8,101.0,307.0,30.7,58.0,0.0,0.0,2.0,20.0,0.0
,Jeff Wilkins,34.0,STL,K,16.0,0.0,3.0,91.0,30.3,8.0,83.0,27.7,33.0,0.0,0.0,3.0,100.0,0.0
,Josh Brown,27.0,SEA,K,16.0,0.0,2.0,49.0,24.5,0.0,49.0,24.5,28.0,0.0,0.0,1.0,50.0,0.0
,Phil Dawson,31.0,CLE,K,16.0,0.0,2.0,58.0,29.0,0.0,38.0,19.0,31.0,1.0,50.0,1.0,50.0,0.0
,John Kasay,37.0,CAR,K,16.0,0.0,1.0,25.0,25.0,8.0,17.0,17.0,25.0,0.0,0.0,0.0,0.0,0.0
,Ryan Longwell,32.0,MIN,K,16.0,0.0,1.0,27.0,27.0,0.0,27.0,27.0,27.0,0.0,0.0,1.0,100.0,0.0
,Chad Pennington,30.0,NYJ,QB,16.0,16.0,1.0,29.0,29.0,0.0,29.0,29.0,29.0,0.0,0.0,1.0,100.0,0.0
,Lawrence Tynes,28.0,KAN,K,16.0,0.0,1.0,33.0,33.0,0.0,33.0,33.0,33.0,0.0,0.0,1.0,100.0,0.0
