Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Unnamed: 19_level_0
Rk,Player,Age,Team,Pos,G,GS,Pnt,Yds,Y/P,RetYds,NetYds,NY/P,Lng,TB,TB%,Pnt20,In20%,Blck,Awards
1.0,Cameron Johnston,29.0,HOU,P,17.0,0.0,88.0,4108.0,46.7,357.0,3671.0,41.7,69.0,4.0,4.5,37.0,42.0,0.0,
2.0,Michael Dickson,25.0,SEA,P,17.0,0.0,83.0,3895.0,46.9,262.0,3433.0,41.4,68.0,10.0,12.0,40.0,48.2,0.0,
3.0,Blake Gillikin,23.0,NOR,P,17.0,0.0,83.0,3956.0,47.7,381.0,3485.0,42.0,63.0,4.0,4.8,29.0,34.9,0.0,
4.0,Jordan Berry,30.0,MIN,P,17.0,0.0,78.0,3624.0,46.5,343.0,3221.0,41.3,64.0,3.0,3.8,26.0,33.3,0.0,
5.0,Michael Palardy,29.0,MIA,P,17.0,0.0,78.0,3489.0,44.7,262.0,3147.0,40.3,65.0,5.0,6.4,31.0,39.7,0.0,
6.0,Riley Dixon,28.0,NYG,P,17.0,0.0,74.0,3283.0,44.4,255.0,2908.0,39.3,63.0,6.0,8.1,24.0,32.4,0.0,
7.0,Sam Koch,39.0,BAL,P,17.0,0.0,71.0,3149.0,44.4,234.0,2835.0,39.9,61.0,4.0,5.6,26.0,36.6,0.0,
8.0,Pressley Harvin III,23.0,PIT,P,15.0,0.0,70.0,2982.0,42.6,270.0,2652.0,37.9,64.0,3.0,4.3,25.0,35.7,0.0,
9.0,Sam Martin,31.0,DEN,P,17.0,0.0,67.0,3083.0,46.0,149.0,2869.0,42.8,68.0,3.0,4.5,28.0,41.8,0.0,
10.0,Kevin Huber,36.0,CIN,P,17.0,0.0,66.0,3064.0,46.4,235.0,2709.0,41.0,61.0,6.0,9.1,22.0,33.3,0.0,
