Player ID,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb
4242335.0,Jonathan Taylor,22.0,IND,RB,17.0,17.0,332.0,1811.0,18.0,107.0,55.4,83.0,5.5,106.5,19.5,4.0
538573.0,Najee Harris,23.0,PIT,RB,17.0,17.0,307.0,1200.0,7.0,62.0,47.6,37.0,3.9,70.6,18.1,0.0
3116385.0,Joe Mixon,25.0,CIN,RB,16.0,16.0,292.0,1205.0,13.0,60.0,49.7,32.0,4.1,75.3,18.3,2.0
4360294.0,Antonio Gibson,23.0,WAS,RB,16.0,14.0,258.0,1037.0,7.0,65.0,51.2,27.0,4.0,64.8,16.1,6.0
3116593.0,Dalvin Cook,26.0,MIN,RB,13.0,13.0,249.0,1159.0,6.0,57.0,46.2,66.0,4.7,89.2,19.2,3.0
551298.0,Alvin Kamara,26.0,NOR,RB,13.0,10.0,240.0,898.0,4.0,42.0,41.3,30.0,3.7,69.1,18.5,0.0
549811.0,Ezekiel Elliott,26.0,DAL,RB,17.0,17.0,237.0,1002.0,10.0,55.0,51.5,47.0,4.2,58.9,13.9,1.0
3128720.0,Nick Chubb,26.0,CLE,RB,14.0,14.0,228.0,1259.0,8.0,61.0,49.1,70.0,5.5,89.9,16.3,2.0
186421.0,David Montgomery,24.0,CHI,RB,13.0,13.0,225.0,849.0,7.0,55.0,46.7,41.0,3.8,65.3,17.3,1.0
232295.0,Derrick Henry,27.0,TEN,RB,8.0,8.0,219.0,937.0,10.0,49.0,44.7,76.0,4.3,117.1,27.4,1.0
4047365.0,Josh Jacobs,23.0,LVR,RB,15.0,14.0,217.0,872.0,9.0,45.0,53.0,28.0,4.0,58.1,14.5,2.0
3128721.0,Sony Michel,26.0,LAR,RB,17.0,7.0,208.0,845.0,4.0,49.0,51.4,39.0,4.1,49.7,12.2,1.0
550563.0,Elijah Mitchell,23.0,SFO,RB,11.0,10.0,207.0,963.0,5.0,47.0,49.8,39.0,4.7,87.5,18.8,0.0
,Austin Ekeler,26.0,LAC,RB,16.0,16.0,206.0,911.0,12.0,53.0,55.8,28.0,4.4,56.9,12.9,4.0
514218.0,Melvin Gordon,28.0,DEN,RB,16.0,16.0,203.0,918.0,8.0,48.0,55.2,70.0,4.5,57.4,12.7,3.0
4361579.0,Javonte Williams,21.0,DEN,RB,17.0,1.0,203.0,903.0,4.0,52.0,46.3,49.0,4.4,53.1,11.9,2.0
546653.0,James Conner,26.0,ARI,RB,15.0,6.0,202.0,752.0,15.0,53.0,50.0,35.0,3.7,50.1,13.5,2.0
3925347.0,Damien Harris,24.0,NWE,RB,15.0,15.0,202.0,929.0,15.0,55.0,54.0,64.0,4.6,61.9,13.5,2.0
4040761.0,Devin Singletary,24.0,BUF,RB,17.0,16.0,188.0,870.0,7.0,44.0,47.3,46.0,4.6,51.2,11.1,5.0
4239934.0,AJ Dillon,23.0,GNB,RB,17.0,2.0,187.0,803.0,5.0,50.0,61.0,36.0,4.3,47.2,11.0,2.0
559752.0,Leonard Fournette,26.0,TAM,RB,14.0,13.0,180.0,812.0,8.0,45.0,56.1,47.0,4.5,58.0,12.9,1.0
3886818.0,Myles Gaskin,24.0,MIA,RB,17.0,10.0,173.0,612.0,3.0,25.0,41.6,30.0,3.5,36.0,10.2,2.0
4241416.0,Chuba Hubbard,22.0,CAR,RB,17.0,10.0,172.0,612.0,5.0,36.0,43.0,26.0,3.6,36.0,10.1,1.0
139082.0,Aaron Jones,27.0,GNB,RB,15.0,15.0,171.0,799.0,4.0,37.0,49.7,57.0,4.7,53.3,11.4,2.0
