Player ID,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
4035866.0,Jordan Kunaszyk,26,CLE,LB,15,2,0,0,0,0,1,1,0,0,0,0,0.0,22,14,8,0,0,0
514950.0,James Lynch,23,MIN,DT,15,2,0,0,0,0,0,0,0,0,0,0,0.0,20,11,9,1,0,0
549838.0,Boston Scott,27,PHI,RB,15,2,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0
3929956.0,Tim Settle,25,BUF,DT,15,2,0,0,0,0,1,1,0,1,0,0,1.0,19,11,8,4,2,0
4241410.0,Jelani Woods,24,IND,TE,15,2,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0,0,0
4360259.0,Nik Bonitto,23,DEN,OLB,15,1,0,0,0,0,0,1,0,0,0,0,1.5,14,6,8,1,3,0
531131.0,Adam Gotsis,30,JAX,DE,15,1,0,0,0,0,2,0,0,1,0,0,1.5,19,10,9,3,9,0
4372071.0,Hassan Haskins,23,TEN,RB,15,1,0,0,0,0,0,0,0,0,0,0,0.0,13,9,4,0,0,0
3122160.0,Tre Herndon,26,JAX,CB,15,1,0,0,0,0,5,1,0,1,14,0,0.0,36,27,9,2,1,0
3914397.0,Scott Miller,25,TAM,WR,15,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0
4373642.0,Dax Milne,23,WAS,WR,15,1,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0
,Zeke Turner,26,ARI,DB,15,1,0,0,0,0,0,1,0,0,0,0,0.0,22,12,10,3,0,0
4248822.0,Montrell Washington,23,DEN,WR,15,1,0,0,0,0,0,0,5,3,0,0,0.0,0,0,0,0,0,0
4240071.0,Russ Yeast,23,LAR,S,15,1,0,0,0,0,0,0,0,0,0,0,0.0,20,16,4,1,0,0
4240719.0,Cal Adomitis,24,CIN,LS,15,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0
553708.0,Jamal Agnew,27,JAX,WR,15,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0
,Marcus Allen,26,PIT,DB,15,0,0,0,0,0,0,0,0,0,0,0,0.0,12,8,4,0,0,0
