Player ID,Player,Age,Team,Pos,G,GS,Ret,Yds,PRTD,Lng,Y/Ret,Ret.1,Yds.1,KRTD,Lng.1,Y/Ret.1,APYd
4035004.0,Mecole Hardman,24.0,KAN,WR,8.0,5.0,6.0,55.0,0.0,22.0,9.2,1.0,4.0,0.0,4.0,4.0,387.0
4374187.0,Deven Thompkins,23.0,TAM,WR,5.0,1.0,6.0,61.0,0.0,14.0,10.2,12.0,263.0,0.0,54.0,21.9,382.0
4035693.0,Velus Jones Jr.,25.0,CHI,WR,12.0,2.0,5.0,35.0,0.0,19.0,7.0,22.0,607.0,0.0,63.0,27.6,852.0
4367175.0,Kyle Philips,23.0,TEN,WR,4.0,0.0,5.0,62.0,0.0,46.0,12.4,0.0,0.0,0.0,0.0,,140.0
3117892.0,Justin Watson,26.0,KAN,WR,17.0,5.0,5.0,39.0,0.0,17.0,7.8,0.0,0.0,0.0,0.0,,354.0
382886.0,Randall Cobb,32.0,GNB,WR,13.0,3.0,4.0,37.0,0.0,15.0,9.3,0.0,0.0,0.0,0.0,,454.0
534809.0,Alex Erickson,30.0,WAS,WR,2.0,0.0,4.0,25.0,0.0,13.0,6.3,0.0,0.0,0.0,0.0,,25.0
4373809.0,Jevon Holland,22.0,MIA,FS,17.0,17.0,4.0,18.0,0.0,8.0,4.5,0.0,0.0,0.0,0.0,,82.0
3895856.0,Christian Kirk,26.0,JAX,WR,17.0,17.0,4.0,25.0,0.0,10.0,6.3,0.0,0.0,0.0,0.0,,1144.0
3916204.0,James Proche,26.0,BAL,WR,15.0,0.0,4.0,24.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,,86.0
186392.0,Andre Roberts,34.0,CAR,WR,3.0,0.0,4.0,18.0,0.0,10.0,4.5,2.0,35.0,0.0,18.0,17.5,53.0
537458.0,Chester Rogers,28.0,CLE,WR,3.0,0.0,4.0,18.0,0.0,7.0,4.5,8.0,170.0,0.0,28.0,21.3,188.0
3134448.0,Tremon Smith,26.0,HOU,DB,17.0,2.0,4.0,53.0,0.0,26.0,13.3,19.0,417.0,0.0,32.0,21.9,503.0
,Dallis Flowers,25.0,IND,CB,13.0,1.0,3.0,13.0,0.0,9.0,4.3,23.0,715.0,0.0,89.0,31.1,728.0
,Deonte Harty,25.0,NOR,WR,4.0,0.0,3.0,8.0,0.0,12.0,2.7,6.0,137.0,0.0,33.0,22.8,158.0
3700815.0,Kendall Hinton,25.0,DEN,WR,12.0,5.0,3.0,37.0,0.0,17.0,12.3,0.0,0.0,0.0,0.0,,361.0
3120347.0,Adoree' Jackson,27.0,NYG,LCB,10.0,10.0,3.0,5.0,0.0,3.0,1.7,0.0,0.0,0.0,0.0,,6.0
4373678.0,Khalil Shakir,22.0,BUF,WR,14.0,2.0,3.0,23.0,0.0,17.0,7.7,1.0,34.0,0.0,34.0,34.0,218.0
4035170.0,Marquez Callaway,24.0,NOR,WR,14.0,3.0,2.0,25.0,0.0,21.0,12.5,0.0,0.0,0.0,0.0,,183.0
3116406.0,Tyreek Hill,28.0,MIA,WR,17.0,17.0,2.0,-4.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,,1795.0
3126246.0,Dontrell Hilliard,27.0,TEN,RB,12.0,1.0,2.0,4.0,0.0,4.0,2.0,1.0,23.0,0.0,23.0,23.0,349.0
,Mason Kinsey,24.0,TEN,WR,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0
517229.0,Jarvis Landry,30.0,NOR,WR,9.0,3.0,2.0,17.0,0.0,14.0,8.5,0.0,0.0,0.0,0.0,,295.0
4044540.0,Isaiah Rodgers,24.0,IND,DB,15.0,9.0,2.0,13.0,0.0,13.0,6.5,18.0,452.0,0.0,45.0,25.1,484.0
,DeVonta Smith,24.0,PHI,WR,17.0,17.0,2.0,15.0,0.0,12.0,7.5,0.0,0.0,0.0,0.0,,1211.0
,DJ Turner,25.0,LVR,WR,9.0,0.0,2.0,3.0,0.0,3.0,1.5,4.0,78.0,0.0,22.0,19.5,107.0
3860287.0,Xavier Crawford,27.0,SEA,DB,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
4426403.0,Nick Cross,21.0,IND,S,16.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
4032238.0,Dee Delaney,27.0,TAM,DB,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
3144988.0,Jake Gervase,27.0,LAR,LB,14.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,13.0
4242973.0,Darnay Holmes,24.0,NYG,CB,15.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
4036134.0,Amani Hooker,24.0,TEN,FS,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,Brandon Johnson,24.0,DEN,WR,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,42.0
3894912.0,Tyron Johnson,26.0,LVR,WR,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
233336.0,Taiwan Jones,34.0,BUF,RB,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0
3128630.0,Chris Lammons,26.0,KAN,CB,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
515181.0,Tyler Lockett,30.0,SEA,WR,16.0,16.0,1.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,,1040.0
4240706.0,Jason Pinnock,23.0,NYG,FS,14.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
4034950.0,Freddie Swain,24.0,DEN,WR,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,74.0
4243332.0,Keith Taylor,24.0,CAR,CB,17.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,Josh Thompson,24.0,TEN,DB,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
514508.0,Ameer Abdullah,29.0,LVR,RB,17.0,0.0,0.0,0.0,0.0,0.0,,26.0,543.0,0.0,33.0,20.9,774.0
514579.0,Maurice Alexander,25.0,DET,WR,4.0,0.0,0.0,0.0,0.0,0.0,,6.0,146.0,0.0,47.0,24.3,153.0
4046522.0,Devin Asiasi,25.0,CIN,TE,12.0,0.0,0.0,0.0,0.0,0.0,,1.0,14.0,0.0,14.0,14.0,19.0
,Corey Ballentine,26.0,GNB,DB,8.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0
4570409.0,David Bell,22.0,CLE,WR,16.0,3.0,0.0,0.0,0.0,0.0,,1.0,12.0,0.0,12.0,12.0,226.0
4242873.0,Eno Benjamin,23.0,ARI,RB,10.0,3.0,0.0,0.0,0.0,0.0,,8.0,180.0,0.0,44.0,22.5,663.0
500890.0,Giovani Bernard,31.0,TAM,RB,8.0,0.0,0.0,0.0,0.0,0.0,,1.0,14.0,0.0,14.0,14.0,41.0
382707.0,Brandon Bolden,32.0,LVR,RB,16.0,0.0,0.0,0.0,0.0,0.0,,1.0,32.0,0.0,32.0,32.0,155.0
511854.0,Nick Boyle,29.0,BAL,TE,12.0,0.0,0.0,0.0,0.0,0.0,,1.0,14.0,0.0,14.0,14.0,14.0
4245645.0,Gary Brightwell,23.0,NYG,RB,17.0,0.0,0.0,0.0,0.0,0.0,,26.0,555.0,0.0,47.0,21.3,735.0
