Player ID,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb
4426502.0,Drake London,21.0,ATL,WR,17.0,15.0,117.0,72.0,866.0,12.0,4.0,48.0,56.4,40.0,4.2,50.9,61.5,7.4,3.0
4361370.0,Chris Olave,22.0,NOR,WR,15.0,9.0,119.0,72.0,1042.0,14.5,4.0,48.0,53.8,53.0,4.8,69.5,60.5,8.8,2.0
4242433.0,Josh Palmer,23.0,LAC,WR,16.0,11.0,107.0,72.0,769.0,10.7,3.0,39.0,55.1,50.0,4.5,48.1,67.3,7.2,1.0
,Adam Thielen,32.0,MIN,WR,17.0,17.0,107.0,70.0,716.0,10.2,6.0,45.0,49.5,36.0,4.1,42.1,65.4,6.7,0.0
4569173.0,Rhamondre Stevenson,24.0,NWE,RB,17.0,7.0,88.0,69.0,421.0,6.1,1.0,13.0,39.8,40.0,4.1,24.8,78.4,4.8,4.0
4241372.0,Marquise Brown,25.0,ARI,WR,12.0,10.0,107.0,67.0,709.0,10.6,3.0,33.0,44.9,47.0,5.6,59.1,62.6,6.6,1.0
4241463.0,Jerry Jeudy,23.0,DEN,WR,15.0,14.0,100.0,67.0,972.0,14.5,6.0,41.0,52.0,67.0,4.5,64.8,67.0,9.7,0.0
3916433.0,Jakobi Meyers,26.0,NWE,WR,14.0,13.0,96.0,67.0,804.0,12.0,6.0,38.0,56.3,48.0,4.8,57.4,69.8,8.4,2.0
501550.0,Keenan Allen,30.0,LAC,WR,10.0,10.0,89.0,66.0,752.0,11.4,4.0,39.0,56.2,46.0,6.6,75.2,74.2,8.4,1.0
501689.0,DeAndre Hopkins,30.0,ARI,WR,9.0,9.0,96.0,64.0,717.0,11.2,3.0,35.0,54.2,33.0,7.1,79.7,66.7,7.5,2.0
3121427.0,Curtis Samuel,26.0,WAS,WR,17.0,12.0,92.0,64.0,656.0,10.3,4.0,36.0,46.7,49.0,3.8,38.6,69.6,7.1,1.0
3128429.0,Courtland Sutton,27.0,DEN,WR,15.0,15.0,109.0,64.0,829.0,13.0,2.0,38.0,46.8,51.0,4.3,55.3,58.7,7.6,0.0
3121410.0,Parris Campbell,25.0,IND,WR,17.0,16.0,91.0,63.0,623.0,9.9,3.0,32.0,54.9,49.0,3.7,36.6,69.2,6.8,1.0
4361411.0,Pat Freiermuth,24.0,PIT,TE,16.0,8.0,98.0,63.0,732.0,11.6,2.0,37.0,53.1,57.0,3.9,45.8,64.3,7.5,0.0
,D.J. Moore,25.0,CAR,WR,17.0,17.0,118.0,63.0,888.0,14.1,7.0,44.0,43.2,62.0,3.7,52.2,53.4,7.5,0.0
,Mike Williams,28.0,LAC,WR,13.0,13.0,93.0,63.0,895.0,14.2,4.0,39.0,59.1,55.0,4.8,68.8,67.7,9.6,0.0
4258195.0,Donovan Peoples-Jones,23.0,CLE,WR,17.0,14.0,96.0,61.0,839.0,13.8,3.0,33.0,50.0,42.0,3.6,49.4,63.5,8.7,1.0
545428.0,George Kittle,29.0,SFO,TE,15.0,15.0,86.0,60.0,765.0,12.8,11.0,36.0,58.1,54.0,4.0,51.0,69.8,8.9,1.0
