Player ID,Player,Age,Team,Pos,G,GS,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
,Adam Vinatieri,36.0,IND,K,16.0,0.0,0.0,0.0,3.0,3.0,13.0,11.0,7.0,4.0,2.0,2.0,25.0,20.0,52.0,80.0,43.0,43.0,100.0,80.0,5176.0,8.0,10.0,65.0
,Shayne Graham,31.0,CIN,K,14.0,0.0,1.0,1.0,5.0,5.0,7.0,6.0,11.0,9.0,0.0,0.0,24.0,21.0,45.0,87.5,15.0,15.0,100.0,52.0,3253.0,8.0,15.4,63.0
479837.0,Nick Folk,24.0,DAL,K,16.0,0.0,0.0,0.0,1.0,1.0,8.0,7.0,11.0,10.0,2.0,2.0,22.0,20.0,52.0,90.9,42.0,42.0,100.0,75.0,4509.0,0.0,0.0,60.0
,Jason Hanson,38.0,DET,K,16.0,0.0,0.0,0.0,3.0,3.0,5.0,4.0,6.0,6.0,8.0,8.0,22.0,21.0,56.0,95.5,26.0,25.0,96.2,66.0,4270.0,7.0,10.6,65.0
161713.0,Garrett Hartley,22.0,NOR,K,8.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,4.0,4.0,0.0,0.0,13.0,13.0,47.0,100.0,28.0,28.0,100.0,49.0,3190.0,9.0,18.4,65.0
162664.0,Connor Barth,22.0,KAN,K,10.0,0.0,0.0,0.0,6.0,6.0,4.0,3.0,1.0,1.0,1.0,0.0,12.0,10.0,45.0,83.3,24.0,24.0,100.0,46.0,2714.0,4.0,8.7,59.0
,Martin Gramatica,33.0,NOR,K,5.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,2.0,2.0,1.0,10.0,6.0,53.0,60.0,16.0,16.0,100.0,15.0,998.0,4.0,26.7,67.0
102394.0,Nick Novak,27.0,KAN,K,6.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,0.0,10.0,6.0,43.0,60.0,7.0,7.0,100.0,17.0,1079.0,0.0,0.0,64.0
160479.0,Taylor Mehlhaff,23.0,NOR,K,3.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,44.0,75.0,10.0,9.0,90.0,17.0,1071.0,1.0,5.9,63.0
240963.0,Stephen Hauschka,23.0,BAL,K,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,54.0,50.0,0.0,0.0,,14.0,905.0,1.0,7.1,65.0
122199.0,Mike Nugent,26.0,NYJ,K,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,2.0,2.0,100.0,3.0,158.0,0.0,0.0,53.0
118966.0,Dave Rayner,26.0,CIN,K,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,26.0,100.0,3.0,3.0,100.0,6.0,401.0,1.0,16.7,67.0
,Lawrence Tynes,30.0,NYG,K,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,100.0,3.0,3.0,100.0,6.0,356.0,1.0,16.7,59.0
,Mitch Berger,36.0,PIT,P,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,3.0,161.0,0.0,0.0,54.0
133782.0,Brandon Fields,24.0,MIA,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,77.0,0.0,0.0,39.0
,Derrick Frost,28.0,GNB,P,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,3.0,157.0,0.0,0.0,52.0
,Nick Harris,30.0,DET,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,68.0,0.0,0.0,68.0
157876.0,Brett Kern,22.0,DEN,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,30.0,0.0,0.0,30.0
105279.0,Chris Kluwe,27.0,MIN,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,68.0,0.0,0.0,68.0
,Michael Koenen,26.0,ATL,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,87.0,5813.0,16.0,18.4,67.0
,Shane Lechler,32.0,OAK,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,65.0,0.0,0.0,65.0
,Andy Lee,26.0,SFO,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,123.0,0.0,0.0,62.0
152661.0,Rhys Lloyd,26.0,CAR,K,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,88.0,5897.0,30.0,34.1,67.0
,Brian Moorman,32.0,BUF,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,48.0,0.0,0.0,48.0
156152.0,Sam Paulescu,24.0,DAL,P,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,58.0,0.0,0.0,58.0
136005.0,Adam Podlesh,25.0,JAX,P,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,8.0,0.0,0.0,8.0
,Saverio Rocca,35.0,PHI,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,3.0,178.0,0.0,0.0,59.0
,Mike Scifres,28.0,SDG,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,4.0,207.0,0.0,0.0,52.0
,Hunter Smith,31.0,IND,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,59.0,0.0,0.0,59.0
,Matt Turk,40.0,HOU,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,62.0,0.0,0.0,62.0
136680.0,Pat Watkins,26.0,DAL,DB,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,1.0,61.0,0.0,0.0,61.0
