Player ID,Player,Age,Team,Pos,G,GS,Pnt,Yds,Y/P,RetYds,NetYds,NY/P,Lng,TB,TB%,Pnt20,In20%,Blck
553836.0,Lac Edwards,27.0,NYJ,P,16.0,0.0,87.0,3991.0,45.9,309.0,3622.0,41.6,63.0,3.0,3.4,28.0,32.2,0.0
,Jake Bailey,22.0,NWE,P,16.0,0.0,81.0,3638.0,44.9,175.0,3343.0,41.3,65.0,6.0,7.4,36.0,44.4,0.0
487725.0,Pat O'Donnell,28.0,CHI,P,16.0,0.0,80.0,3586.0,44.8,247.0,3299.0,40.7,75.0,2.0,2.5,26.0,32.5,1.0
4039396.0,Corey Bojorquez,23.0,BUF,P,16.0,0.0,79.0,3313.0,41.9,157.0,3016.0,37.7,67.0,7.0,8.9,34.0,43.0,1.0
377859.0,Tress Way,29.0,WAS,P,16.0,0.0,79.0,3919.0,49.6,354.0,3485.0,44.1,79.0,4.0,5.1,30.0,38.0,0.0
157876.0,Brett Kern,33.0,TEN,P,16.0,0.0,78.0,3672.0,47.1,269.0,3363.0,43.1,70.0,2.0,2.6,37.0,47.4,0.0
548730.0,Colby Wadman,24.0,DEN,P,16.0,0.0,78.0,3464.0,44.4,314.0,3070.0,39.4,64.0,4.0,5.1,29.0,37.2,0.0
3126368.0,JK Scott,24.0,GNB,P,16.0,0.0,77.0,3386.0,44.0,233.0,3073.0,39.9,66.0,4.0,5.2,29.0,37.7,0.0
,Sam Martin,29.0,DET,P,16.0,0.0,76.0,3445.0,45.3,130.0,3175.0,41.8,62.0,7.0,9.2,31.0,40.8,0.0
559659.0,Logan Cooke,24.0,JAX,P,16.0,0.0,75.0,3507.0,46.8,127.0,3340.0,44.5,66.0,2.0,2.7,25.0,33.3,0.0
169396.0,Kevin Huber,34.0,CIN,P,16.0,0.0,75.0,3394.0,45.3,136.0,3158.0,42.1,63.0,5.0,6.7,30.0,40.0,0.0
504326.0,Michael Palardy,27.0,CAR,P,16.0,0.0,75.0,3452.0,46.0,487.0,2905.0,38.7,62.0,3.0,4.0,25.0,33.3,0.0
485530.0,Jordan Berry,28.0,PIT,P,16.0,0.0,74.0,3368.0,45.5,265.0,3023.0,40.9,69.0,4.0,5.4,24.0,32.4,0.0
3929851.0,Michael Dickson,23.0,SEA,P,16.0,0.0,74.0,3341.0,45.1,213.0,3028.0,40.9,63.0,5.0,6.8,34.0,45.9,0.0
549816.0,Cameron Johnston,27.0,PHI,P,16.0,0.0,71.0,3292.0,46.4,207.0,3005.0,42.3,61.0,4.0,5.6,28.0,39.4,0.0
514471.0,Riley Dixon,26.0,NYG,P,16.0,0.0,69.0,3178.0,46.1,136.0,3002.0,42.3,62.0,2.0,2.9,29.0,42.0,2.0
546439.0,Matt Haack,25.0,MIA,P,16.0,0.0,69.0,3105.0,45.0,229.0,2836.0,41.1,62.0,2.0,2.9,23.0,33.3,0.0
,AJ Cole III,24.0,OAK,P,16.0,0.0,67.0,3081.0,46.0,318.0,2643.0,39.4,74.0,6.0,9.0,33.0,49.3,0.0
379324.0,Johnny Hekker,29.0,LAR,P,16.0,0.0,66.0,3128.0,47.4,190.0,2838.0,42.4,71.0,5.0,7.6,22.0,33.3,1.0
3936185.0,Jamie Gillan,22.0,CLE,P,16.0,0.0,63.0,2913.0,46.2,151.0,2662.0,41.6,71.0,5.0,7.9,28.0,44.4,1.0
146878.0,Britton Colquitt,34.0,MIN,P,16.0,0.0,62.0,2802.0,45.2,158.0,2644.0,42.6,59.0,0.0,0.0,24.0,38.7,0.0
,Andy Lee,37.0,ARI,P,15.0,0.0,61.0,2913.0,47.8,278.0,2555.0,41.2,64.0,4.0,6.6,21.0,34.4,1.0
170311.0,Thomas Morstead,33.0,NOR,P,16.0,0.0,60.0,2770.0,46.2,166.0,2584.0,43.1,64.0,1.0,1.7,29.0,48.3,0.0
3914922.0,Rigoberto Sanchez,25.0,IND,P,16.0,0.0,59.0,2619.0,44.4,166.0,2433.0,41.2,60.0,1.0,1.7,22.0,37.3,0.0
534595.0,Bradley Pinion,25.0,TAM,P,16.0,0.0,57.0,2464.0,43.2,222.0,2182.0,38.3,63.0,3.0,5.3,19.0,33.3,0.0
4035685.0,Mitch Wishnowsky,27.0,SFO,P,16.0,0.0,52.0,2333.0,44.9,131.0,2162.0,41.6,65.0,2.0,3.8,23.0,44.2,0.0
,Chris Jones,30.0,DAL,P,16.0,0.0,50.0,2079.0,41.6,154.0,1885.0,37.0,58.0,2.0,4.0,18.0,36.0,1.0
