Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Unnamed: 29_level_0
Rk,Player,Age,Team,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Awards
1.0,Ka'imi Fairbairn,24.0,HOU,K,16.0,0.0,1.0,1.0,9.0,9.0,11.0,11.0,15.0,12.0,6.0,4.0,42.0,37.0,54.0,88.1,41.0,39.0,95.1,92.0,5885.0,58.0,63.0,64.0,
2.0,Justin Tucker,29.0,BAL,K,16.0,0.0,0.0,0.0,12.0,12.0,9.0,9.0,11.0,9.0,7.0,5.0,39.0,35.0,56.0,89.7,37.0,36.0,97.3,92.0,5765.0,58.0,63.0,63.0,AP-1
3.0,Mason Crosby,34.0,GNB,K,16.0,0.0,0.0,0.0,4.0,4.0,11.0,10.0,15.0,11.0,7.0,5.0,37.0,30.0,53.0,81.1,36.0,34.0,94.4,83.0,5168.0,41.0,49.4,62.0,
4.0,Brett Maher,29.0,DAL,K,16.0,0.0,0.0,0.0,10.0,10.0,8.0,6.0,11.0,7.0,7.0,6.0,36.0,29.0,62.0,80.6,33.0,32.0,97.0,77.0,4984.0,52.0,67.5,65.0,
5.0,Jason Myers,27.0,NYJ,K,16.0,0.0,0.0,0.0,4.0,4.0,14.0,13.0,11.0,10.0,7.0,6.0,36.0,33.0,56.0,91.7,33.0,30.0,90.9,82.0,5255.0,60.0,73.2,64.0,PB
6.0,Robbie Gould,36.0,SFO,K,16.0,0.0,0.0,0.0,9.0,9.0,13.0,13.0,10.0,9.0,2.0,2.0,34.0,33.0,53.0,97.1,29.0,27.0,93.1,4.0,102.0,0.0,0.0,26.0,
7.0,Aldrick Rosas,24.0,NYG,K,16.0,0.0,0.0,0.0,9.0,9.0,13.0,13.0,6.0,6.0,5.0,4.0,33.0,32.0,57.0,97.0,32.0,31.0,96.9,85.0,5186.0,51.0,60.0,61.0,"PB,AP-2"
8.0,Stephen Gostkowski,34.0,NWE,K,16.0,0.0,0.0,0.0,11.0,11.0,10.0,10.0,6.0,4.0,5.0,2.0,32.0,27.0,52.0,84.4,50.0,49.0,98.0,93.0,5784.0,50.0,53.8,62.0,
9.0,Matt Prater,34.0,DET,K,16.0,0.0,0.0,0.0,8.0,8.0,12.0,12.0,7.0,5.0,5.0,3.0,32.0,28.0,54.0,87.5,30.0,30.0,100.0,6.0,343.0,3.0,50.0,57.0,
10.0,Jake Elliott,23.0,PHI,K,16.0,0.0,0.0,0.0,7.0,7.0,11.0,10.0,8.0,7.0,5.0,2.0,31.0,26.0,56.0,83.9,35.0,33.0,94.3,82.0,5210.0,57.0,69.5,64.0,
11.0,Greg Zuerlein,31.0,LAR,K,11.0,0.0,0.0,0.0,9.0,9.0,10.0,10.0,6.0,4.0,6.0,4.0,31.0,27.0,56.0,87.1,36.0,35.0,97.2,75.0,4843.0,57.0,76.0,65.0,
12.0,Wil Lutz,24.0,NOR,K,16.0,0.0,1.0,1.0,5.0,5.0,9.0,9.0,12.0,11.0,3.0,2.0,30.0,28.0,54.0,93.3,53.0,52.0,98.1,101.0,6503.0,64.0,63.4,64.0,
13.0,Cody Parkey,26.0,CHI,K,16.0,0.0,0.0,0.0,6.0,6.0,10.0,7.0,12.0,9.0,2.0,1.0,30.0,23.0,50.0,76.7,45.0,42.0,93.3,89.0,5627.0,65.0,73.0,63.0,
14.0,Ryan Succop,32.0,TEN,K,16.0,0.0,0.0,0.0,6.0,5.0,13.0,13.0,7.0,5.0,4.0,3.0,30.0,26.0,54.0,86.7,31.0,28.0,90.3,70.0,4480.0,45.0,64.3,64.0,
15.0,Dustin Hopkins,28.0,WAS,K,16.0,0.0,0.0,0.0,5.0,5.0,7.0,7.0,12.0,10.0,5.0,4.0,29.0,26.0,56.0,89.7,26.0,25.0,96.2,70.0,4443.0,56.0,80.0,64.0,
16.0,Dan Bailey,30.0,MIN,K,14.0,0.0,0.0,0.0,6.0,5.0,11.0,11.0,9.0,4.0,2.0,1.0,28.0,21.0,52.0,75.0,31.0,30.0,96.8,69.0,4164.0,35.0,50.7,60.0,
17.0,Stephen Hauschka,33.0,BUF,K,16.0,0.0,0.0,0.0,3.0,3.0,8.0,8.0,10.0,7.0,7.0,4.0,28.0,22.0,54.0,78.6,26.0,25.0,96.2,66.0,3958.0,30.0,45.5,60.0,
18.0,Harrison Butker,23.0,KAN,K,16.0,0.0,0.0,0.0,9.0,9.0,7.0,7.0,7.0,6.0,4.0,2.0,27.0,24.0,54.0,88.9,69.0,65.0,94.2,110.0,7000.0,72.0,65.5,64.0,
19.0,Sebastian Janikowski,40.0,SEA,K,16.0,0.0,0.0,0.0,2.0,2.0,11.0,9.0,9.0,8.0,5.0,3.0,27.0,22.0,56.0,81.5,51.0,48.0,94.1,74.0,4648.0,42.0,56.8,63.0,
20.0,Adam Vinatieri,46.0,IND,K,16.0,0.0,0.0,0.0,8.0,8.0,7.0,6.0,6.0,5.0,6.0,4.0,27.0,23.0,54.0,85.2,47.0,44.0,93.6,0.0,0.0,0.0,,,
21.0,Brandon McManus,27.0,DEN,K,16.0,0.0,0.0,0.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,2.0,25.0,20.0,53.0,80.0,35.0,35.0,100.0,73.0,4473.0,42.0,57.5,61.0,
22.0,Randy Bullock,29.0,CIN,K,16.0,0.0,0.0,0.0,4.0,4.0,8.0,7.0,6.0,6.0,5.0,2.0,23.0,19.0,51.0,82.6,41.0,39.0,95.1,79.0,4969.0,45.0,57.0,63.0,
23.0,Matt Bryant,43.0,ATL,K,13.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,7.0,7.0,5.0,4.0,21.0,20.0,57.0,95.2,35.0,33.0,94.3,0.0,0.0,0.0,,,
24.0,Josh Lambo,28.0,JAX,K,13.0,0.0,0.0,0.0,4.0,4.0,8.0,8.0,4.0,3.0,5.0,4.0,21.0,19.0,57.0,90.5,20.0,19.0,95.0,54.0,3283.0,36.0,66.7,61.0,
25.0,Chris Boswell,27.0,PIT,K,15.0,0.0,0.0,0.0,3.0,3.0,6.0,4.0,10.0,5.0,1.0,1.0,20.0,13.0,50.0,65.0,48.0,43.0,89.6,81.0,5097.0,50.0,61.7,63.0,
26.0,Greg Joseph,24.0,CLE,K,14.0,0.0,0.0,0.0,4.0,4.0,7.0,7.0,7.0,5.0,2.0,1.0,20.0,17.0,51.0,85.0,29.0,25.0,86.2,69.0,4340.0,47.0,68.1,63.0,
27.0,Jason Sanders,23.0,MIA,K,16.0,0.0,0.0,0.0,7.0,7.0,3.0,3.0,9.0,7.0,1.0,1.0,20.0,18.0,50.0,90.0,36.0,35.0,97.2,70.0,4395.0,55.0,78.6,63.0,
28.0,Daniel Carlson,23.0,2TM,K,12.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,12.0,9.0,3.0,3.0,21.0,17.0,50.0,81.0,24.0,24.0,100.0,54.0,3334.0,29.0,53.7,62.0,
28.0,Daniel Carlson,23.0,MIN,K,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,4.0,1.0,48.0,25.0,6.0,6.0,100.0,10.0,627.0,9.0,90.0,63.0,
28.0,Daniel Carlson,23.0,OAK,K,10.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,9.0,8.0,3.0,3.0,17.0,16.0,50.0,94.1,18.0,18.0,100.0,44.0,2707.0,20.0,45.5,62.0,
29.0,Michael Badgley,23.0,LAC,K,10.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,1.0,16.0,15.0,59.0,93.8,28.0,27.0,96.4,0.0,0.0,0.0,,,
30.0,Graham Gano,31.0,CAR,K,12.0,0.0,0.0,0.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,16.0,14.0,63.0,87.5,33.0,30.0,90.9,62.0,3940.0,47.0,75.8,64.0,
31.0,Chandler Catanzaro,27.0,2TM,K,13.0,0.0,0.0,0.0,4.0,4.0,10.0,9.0,3.0,0.0,3.0,3.0,20.0,16.0,59.0,80.0,35.0,30.0,85.7,65.0,4118.0,52.0,80.0,63.0,
