Player ID,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb
,Curtis Martin,31.0,NYJ,RB,16.0,16.0,371.0,1697.0,12.0,93.0,52.6,25.0,4.6,106.1,23.2,2.0
,Rudi Johnson,25.0,CIN,RB,16.0,16.0,361.0,1454.0,12.0,74.0,46.0,52.0,4.0,90.9,22.6,4.0
,Shaun Alexander,27.0,SEA,RB,16.0,16.0,353.0,1696.0,16.0,78.0,44.8,44.0,4.8,106.0,22.1,5.0
,Corey Dillon,30.0,NWE,RB,15.0,14.0,345.0,1635.0,12.0,84.0,53.0,44.0,4.7,109.0,23.0,5.0
,Clinton Portis,23.0,WAS,RB,15.0,15.0,343.0,1315.0,5.0,67.0,44.3,64.0,3.8,87.7,22.9,5.0
,LaDainian Tomlinson,25.0,SDG,RB,15.0,15.0,339.0,1335.0,17.0,74.0,43.4,42.0,3.9,89.0,22.6,6.0
,Edgerrin James,26.0,IND,RB,16.0,16.0,334.0,1548.0,9.0,78.0,56.0,40.0,4.6,96.8,20.9,6.0
,Tiki Barber,29.0,NYG,RB,16.0,14.0,322.0,1518.0,13.0,82.0,47.2,72.0,4.7,94.9,20.1,5.0
,Domanick Williams,24.0,HOU,RB,15.0,15.0,302.0,1188.0,13.0,57.0,42.7,44.0,3.9,79.2,20.1,4.0
,Willis McGahee,23.0,BUF,RB,16.0,11.0,284.0,1128.0,13.0,65.0,45.1,41.0,4.0,70.5,17.8,4.0
,Reuben Droughns,26.0,DEN,RB,16.0,15.0,275.0,1240.0,6.0,72.0,49.1,51.0,4.5,77.5,17.2,5.0
,Deuce McAllister,26.0,NOR,RB,14.0,14.0,269.0,1074.0,9.0,54.0,40.9,71.0,4.0,76.7,19.2,5.0
,Emmitt Smith,35.0,ARI,RB,15.0,15.0,267.0,937.0,9.0,43.0,38.2,29.0,3.5,62.5,17.8,4.0
,Warrick Dunn,29.0,ATL,RB,16.0,16.0,265.0,1106.0,9.0,47.0,41.1,60.0,4.2,69.1,16.6,3.0
,Fred Taylor,28.0,JAX,RB,14.0,14.0,260.0,1224.0,2.0,49.0,42.7,46.0,4.7,87.4,18.6,3.0
,Ahman Green,27.0,GNB,RB,15.0,15.0,259.0,1163.0,7.0,58.0,49.8,90.0,4.5,77.5,17.3,7.0
,Jerome Bettis,32.0,PIT,RB,15.0,6.0,250.0,941.0,13.0,50.0,48.0,29.0,3.8,62.7,16.7,1.0
,Kevan Barlow,25.0,SFO,RB,15.0,14.0,244.0,822.0,7.0,45.0,38.9,60.0,3.4,54.8,16.3,2.0
,Kevin Jones,22.0,DET,RB,15.0,14.0,241.0,1133.0,5.0,59.0,46.9,74.0,4.7,75.5,16.1,2.0
,Thomas Jones,26.0,CHI,RB,14.0,14.0,240.0,948.0,7.0,49.0,45.8,54.0,4.0,67.7,17.1,2.0
,Jamal Lewis,25.0,BAL,RB,12.0,12.0,235.0,1006.0,7.0,51.0,45.1,75.0,4.3,83.8,19.6,2.0
,Chris Brown,23.0,TEN,RB,11.0,11.0,220.0,1067.0,6.0,40.0,43.2,52.0,4.9,97.0,20.0,6.0
,Michael Pittman,29.0,TAM,RB,13.0,13.0,219.0,926.0,7.0,41.0,41.1,78.0,4.2,71.2,16.8,6.0
,Nick Goings,26.0,CAR,RB,16.0,8.0,217.0,821.0,6.0,42.0,41.9,57.0,3.8,51.3,13.6,1.0
,Lee Suggs,24.0,CLE,RB,10.0,3.0,199.0,744.0,2.0,39.0,43.7,39.0,3.7,74.4,19.9,6.0
,Julius Jones,23.0,DAL,RB,8.0,7.0,197.0,819.0,7.0,44.0,43.7,53.0,4.2,102.4,24.6,3.0
,Priest Holmes,31.0,KAN,RB,8.0,8.0,196.0,892.0,14.0,59.0,53.1,33.0,4.6,111.5,24.5,4.0
,Marshall Faulk,31.0,STL,RB,14.0,14.0,195.0,774.0,3.0,46.0,46.2,40.0,4.0,55.3,13.9,2.0
,Duce Staley,29.0,PIT,RB,10.0,10.0,192.0,830.0,1.0,38.0,49.0,38.0,4.3,83.0,19.2,3.0
,Brian Westbrook,25.0,PHI,RB,13.0,12.0,177.0,812.0,3.0,41.0,41.8,50.0,4.6,62.5,13.6,1.0
,William Green,25.0,CLE,RB,15.0,13.0,163.0,585.0,2.0,29.0,35.6,46.0,3.6,39.0,10.9,3.0
,Chester Taylor,25.0,BAL,RB,16.0,4.0,160.0,714.0,2.0,34.0,41.3,47.0,4.5,44.6,10.0,1.0
,Antowain Smith,32.0,TEN,RB,13.0,4.0,137.0,509.0,4.0,23.0,38.7,43.0,3.7,39.2,10.5,2.0
,Steven Jackson,21.0,STL,RB,14.0,3.0,134.0,673.0,4.0,37.0,56.0,48.0,5.0,48.1,9.6,1.0
,Eddie George,31.0,DAL,RB,13.0,8.0,132.0,432.0,4.0,28.0,42.4,24.0,3.3,33.2,10.2,3.0
,Sammy Morris,27.0,MIA,RB,13.0,8.0,132.0,523.0,6.0,33.0,45.5,35.0,4.0,40.2,10.2,1.0
,Onterrio Smith,24.0,MIN,RB,11.0,6.0,124.0,544.0,2.0,18.0,46.0,38.0,4.4,49.5,11.3,2.0
,Anthony Thomas,27.0,CHI,RB,12.0,2.0,122.0,404.0,2.0,16.0,38.5,41.0,3.3,33.7,10.2,1.0
,Larry Johnson,25.0,KAN,RB,10.0,3.0,120.0,581.0,9.0,36.0,53.3,46.0,4.8,58.1,12.0,0.0
,Michael Vick,24.0,ATL,QB,15.0,15.0,120.0,902.0,3.0,52.0,58.3,58.0,7.5,60.1,8.0,16.0
,Derrick Blaylock,25.0,KAN,RB,12.0,5.0,118.0,539.0,8.0,34.0,55.9,24.0,4.6,44.9,9.8,0.0
,Amos Zereoue,28.0,OAK,RB,15.0,6.0,112.0,425.0,3.0,20.0,41.1,55.0,3.8,28.3,7.5,1.0
,Travis Minor,25.0,MIA,RB,11.0,4.0,109.0,388.0,3.0,22.0,35.8,34.0,3.6,35.3,9.9,0.0
,T.J. Duckett,23.0,ATL,RB,13.0,0.0,104.0,509.0,8.0,30.0,54.8,35.0,4.9,39.2,8.0,2.0
,Maurice Hicks,26.0,SFO,RB,9.0,2.0,96.0,362.0,2.0,20.0,37.5,35.0,3.8,40.2,10.7,3.0
,Travis Henry,26.0,BUF,RB,10.0,5.0,94.0,326.0,0.0,18.0,40.4,19.0,3.5,32.6,9.4,0.0
,Dorsey Levens,34.0,PHI,RB,15.0,5.0,94.0,410.0,4.0,25.0,53.2,45.0,4.4,27.3,6.3,0.0
,LaMont Jordan,26.0,NYJ,RB,16.0,0.0,93.0,479.0,2.0,27.0,53.8,33.0,5.2,29.9,5.8,1.0
,Ladell Betts,25.0,WAS,RB,16.0,1.0,90.0,371.0,1.0,20.0,48.9,27.0,4.1,23.2,5.6,0.0
,Daunte Culpepper,27.0,MIN,QB,16.0,16.0,88.0,406.0,2.0,31.0,55.7,16.0,4.6,25.4,5.5,9.0
,Quentin Griffin,23.0,DEN,RB,6.0,4.0,85.0,311.0,2.0,14.0,32.9,47.0,3.7,51.8,14.2,3.0
,Tyrone Wheatley,32.0,OAK,RB,8.0,7.0,85.0,327.0,4.0,25.0,50.6,60.0,3.8,40.9,10.6,0.0
,Jonathan Wells,25.0,HOU,RB,16.0,1.0,82.0,299.0,3.0,17.0,45.1,14.0,3.6,18.7,5.1,1.0
,Tatum Bell,23.0,DEN,RB,14.0,0.0,75.0,396.0,3.0,20.0,57.3,29.0,5.3,28.3,5.4,1.0
,David Carr,25.0,HOU,QB,16.0,16.0,73.0,299.0,0.0,25.0,46.6,24.0,4.1,18.7,4.6,10.0
,Najeh Davenport,25.0,GNB,RB,11.0,1.0,71.0,359.0,2.0,16.0,46.5,40.0,5.1,32.6,6.5,1.0
,Michael Bennett,26.0,MIN,RB,11.0,7.0,70.0,276.0,1.0,14.0,40.0,25.0,3.9,25.1,6.4,1.0
,Brad Hoover,28.0,CAR,FB,14.0,9.0,68.0,246.0,0.0,14.0,38.2,16.0,3.6,17.6,4.9,0.0
,Mike Alstott,31.0,TAM,FB,14.0,11.0,67.0,230.0,2.0,20.0,56.7,32.0,3.4,16.4,4.8,2.0
,Jesse Chatman,25.0,SDG,RB,15.0,0.0,65.0,392.0,3.0,19.0,49.2,52.0,6.0,26.1,4.3,1.0
,Tony Fisher,25.0,GNB,RB,16.0,0.0,65.0,224.0,0.0,16.0,43.1,24.0,3.4,14.0,4.1,1.0
,Mewelde Moore,22.0,MIN,RB,10.0,3.0,65.0,379.0,0.0,17.0,56.9,33.0,5.8,37.9,6.5,0.0
,Troy Hambrick,28.0,ARI,RB,10.0,0.0,63.0,283.0,1.0,12.0,34.9,62.0,4.5,28.3,6.3,0.0
,Greg Jones,23.0,JAX,RB,16.0,3.0,62.0,162.0,3.0,14.0,45.2,12.0,2.6,10.1,3.9,1.0
,Jake Plummer,30.0,DEN,QB,16.0,16.0,62.0,202.0,1.0,16.0,38.7,22.0,3.3,12.6,3.9,6.0
,DeShaun Foster,24.0,CAR,RB,4.0,3.0,59.0,255.0,2.0,13.0,42.4,71.0,4.3,63.8,14.8,0.0
,Aaron Brooks,28.0,NOR,QB,16.0,16.0,58.0,173.0,4.0,15.0,44.8,15.0,3.0,10.8,3.6,13.0
,Aaron Stecker,29.0,NOR,RB,16.0,3.0,58.0,244.0,2.0,11.0,36.2,42.0,4.2,15.3,3.6,1.0
,Richie Anderson,33.0,DAL,FB,12.0,4.0,57.0,246.0,1.0,12.0,40.4,27.0,4.3,20.5,4.8,1.0
,Artose Pinner,26.0,DET,RB,9.0,2.0,57.0,174.0,2.0,11.0,50.9,14.0,3.1,19.3,6.3,0.0
,Ben Roethlisberger,22.0,PIT,QB,14.0,13.0,56.0,144.0,1.0,12.0,26.8,20.0,2.6,10.3,4.0,2.0
,Verron Haynes,25.0,PIT,RB,13.0,0.0,55.0,272.0,0.0,17.0,47.3,18.0,4.9,20.9,4.2,0.0
,Kevin Faulk,28.0,NWE,RB,11.0,1.0,54.0,255.0,2.0,14.0,51.9,20.0,4.7,23.2,4.9,2.0
,Kyle Boller,23.0,BAL,QB,16.0,16.0,53.0,189.0,1.0,12.0,41.5,19.0,3.6,11.8,3.3,11.0
,Drew Brees,25.0,SDG,QB,15.0,15.0,53.0,85.0,2.0,18.0,39.6,22.0,1.6,5.7,3.5,7.0
,Dominic Rhodes,25.0,IND,RB,16.0,0.0,53.0,254.0,1.0,16.0,45.3,55.0,4.8,15.9,3.3,2.0
,Ron Dayne,26.0,NYG,RB,14.0,2.0,52.0,179.0,1.0,10.0,46.2,15.0,3.4,12.8,3.7,0.0
,LaBrandon Toefield,24.0,JAX,RB,14.0,0.0,51.0,169.0,0.0,7.0,49.0,16.0,3.3,12.1,3.6,1.0
,Shawn Bryson,28.0,DET,RB,16.0,1.0,50.0,264.0,0.0,15.0,46.0,28.0,5.3,16.5,3.1,1.0
,Zack Crockett,32.0,OAK,FB,16.0,9.0,48.0,232.0,2.0,12.0,62.5,47.0,4.8,14.5,3.0,0.0
,Joey Harrington,26.0,DET,QB,16.0,16.0,48.0,175.0,0.0,13.0,31.3,17.0,3.6,10.9,3.0,6.0
,Leonard Henry,26.0,MIA,RB,6.0,2.0,46.0,141.0,0.0,5.0,30.4,53.0,3.1,23.5,7.7,1.0
,Tom Brady,27.0,NWE,QB,16.0,16.0,43.0,28.0,0.0,12.0,27.9,10.0,0.7,1.8,2.7,7.0
