Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Unnamed: 29_level_0
Rk,Player,Age,Team,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Awards
24.0,Jay Feely,28.0,ATL,K,16.0,0.0,1.0,1.0,7.0,7.0,9.0,7.0,6.0,3.0,0.0,0.0,23.0,18.0,47.0,78.3,40.0,40.0,100.0,73.0,4580.0,13.0,17.8,63.0,
25.0,Lawrence Tynes,26.0,KAN,K,16.0,0.0,0.0,0.0,5.0,5.0,8.0,7.0,6.0,3.0,4.0,2.0,23.0,17.0,50.0,73.9,60.0,58.0,96.7,94.0,5674.0,7.0,7.4,60.0,
26.0,Morten Andersen,44.0,MIN,K,16.0,0.0,1.0,1.0,8.0,8.0,7.0,5.0,6.0,4.0,0.0,0.0,22.0,18.0,48.0,81.8,45.0,45.0,100.0,8.0,433.0,0.0,0.0,54.0,
27.0,Gary Anderson,45.0,TEN,K,15.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,12.0,9.0,1.0,0.0,22.0,17.0,45.0,77.3,37.0,37.0,100.0,0.0,0.0,0.0,,,
28.0,John Kasay,35.0,CAR,K,14.0,0.0,0.0,0.0,11.0,11.0,4.0,4.0,2.0,1.0,5.0,3.0,22.0,19.0,54.0,86.4,28.0,27.0,96.4,55.0,3291.0,2.0,3.6,60.0,
29.0,Todd Peterson,34.0,SFO,K,16.0,0.0,1.0,1.0,3.0,3.0,8.0,7.0,6.0,5.0,4.0,2.0,22.0,18.0,51.0,81.8,23.0,23.0,100.0,61.0,3406.0,1.0,1.6,56.0,
30.0,Martin Gramatica,29.0,2TM,K,15.0,0.0,0.0,0.0,7.0,6.0,6.0,3.0,5.0,1.0,1.0,1.0,19.0,11.0,53.0,57.9,22.0,21.0,95.5,46.0,2854.0,6.0,13.0,62.0,
30.0,Martin Gramatica,29.0,TAM,K,11.0,0.0,0.0,0.0,7.0,6.0,6.0,3.0,5.0,1.0,1.0,1.0,19.0,11.0,53.0,57.9,22.0,21.0,95.5,46.0,2854.0,6.0,13.0,62.0,
31.0,Olindo Mare,31.0,MIA,K,11.0,0.0,0.0,0.0,2.0,1.0,7.0,6.0,4.0,3.0,3.0,2.0,16.0,12.0,51.0,75.0,18.0,18.0,100.0,44.0,2834.0,11.0,25.0,64.0,
32.0,John Hall,30.0,WAS,K,8.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,11.0,8.0,46.0,72.7,13.0,13.0,100.0,30.0,1823.0,1.0,3.3,61.0,
