Player ID,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty
,Todd Weiner,29,ATL,RT,16,16,0,0,0,0,,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Casey Wiegmann,31,KAN,C,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Dan Wilkinson,31,DET,LDT,16,16,0,0,0,0,2.0,2,0,0,0,0,1.5,23.0,18.0,5.0,4.0,0
,Brian Williams,25,MIN,RCB,16,16,2,14,0,14,11.0,2,0,0,0,0,0.0,76.0,63.0,13.0,5.0,0
,Kevin Williams,24,MIN,RDT,16,16,1,7,0,7,8.0,2,0,3,77,1,11.5,70.0,52.0,18.0,13.0,0
,Maurice Williams,25,JAX,RT,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Adrian Wilson,25,ARI,SS,16,16,3,62,0,27,11.0,2,0,2,35,1,1.0,102.0,80.0,22.0,9.0,0
,Al Wilson,27,DEN,MLB,16,16,2,17,1,10,5.0,2,0,0,0,0,2.5,105.0,72.0,33.0,9.0,0
,Jerry Wilson,31,SDG,FS,16,16,3,12,0,12,4.0,1,0,0,0,0,0.0,75.0,52.0,23.0,1.0,0
,Will Witherspoon,24,CAR,RLB,16,16,4,48,0,25,14.0,1,0,1,0,0,3.0,103.0,84.0,19.0,5.0,0
,Kailee Wong,28,HOU,ROLB,16,16,3,0,0,0,14.0,1,0,1,0,0,5.5,71.0,51.0,20.0,8.0,0
,Cedric Woodard,27,SEA,LDT,16,16,0,0,0,0,0.0,1,0,1,0,0,1.0,49.0,28.0,21.0,3.0,0
,Renaldo Wynn,30,WAS,LDE,16,16,0,0,0,0,0.0,0,0,0,0,0,3.0,38.0,30.0,8.0,4.0,0
,Bryant Young,32,SFO,RDT,16,16,0,0,0,0,1.0,1,0,1,4,0,3.0,48.0,37.0,11.0,11.0,0
,Eric Barton,27,NYJ,RLB,16,15,1,7,0,7,2.0,1,0,4,2,0,2.5,108.0,78.0,30.0,8.0,0
,David Bowens,27,MIA,LDE,16,15,0,0,0,0,6.0,3,0,0,0,0,7.0,43.0,28.0,15.0,7.0,0
,Colin Branch,24,CAR,FS,16,15,3,79,0,76,8.0,0,0,0,0,0,0.0,55.0,41.0,14.0,2.0,0
,Nate Burleson,23,MIN,WR,16,15,0,0,0,0,0.0,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,0
,James Davis,25,DET,LLB,16,15,0,0,0,0,3.0,0,0,1,0,0,3.5,83.0,58.0,25.0,7.0,0
,Darnell Dockett,23,ARI,RDT,16,15,1,20,0,20,3.0,1,0,1,-4,0,3.5,42.0,36.0,6.0,10.0,0
,Marques Douglas,27,BAL,RDE,16,15,0,0,0,0,2.0,1,0,0,0,0,5.5,72.0,49.0,23.0,11.0,0
,Reuben Droughns,26,DEN,RB,16,15,0,0,0,0,0.0,0,5,0,0,0,0.0,5.0,2.0,3.0,0.0,0
,John Engelberger,28,SFO,LDE,16,15,0,0,0,0,5.0,4,0,1,0,0,6.0,45.0,25.0,20.0,6.0,0
,Robert Gallery,24,OAK,RT,16,15,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Roberto Garza,25,ATL,LG,16,15,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Kabeer Gbaja-Biamila,27,GNB,RDE,16,15,0,0,0,0,2.0,2,0,0,0,0,13.5,47.0,33.0,14.0,13.0,0
,Morlon Greenwood,26,MIA,RLB,16,15,0,0,0,0,3.0,0,0,0,0,0,0.0,108.0,65.0,43.0,8.0,0
,Brock Gutierrez,31,SFO,C,16,15,0,0,0,0,0.0,0,1,1,-7,0,0.0,0.0,0.0,0.0,0.0,0
,Bobby Hamilton,33,OAK,RDE,16,15,0,0,0,0,3.0,0,0,0,0,0,1.0,57.0,34.0,23.0,4.0,0
,Ed Hartwell,26,BAL,LILB,16,15,0,0,0,0,0.0,1,0,1,-1,0,0.0,97.0,56.0,41.0,3.0,0
,Reggie Hayward,25,DEN,RDE,16,15,1,76,0,76,3.0,1,0,1,0,0,10.5,43.0,31.0,12.0,13.0,0
,Ike Hilliard,28,NYG,WR,16,15,0,0,0,0,0.0,0,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Al Johnson,25,DAL,C,16,15,0,0,0,0,,0,1,0,-8,0,0.0,,,,,0
,Ted Johnson,32,NWE,LILB,16,15,0,0,0,0,1.0,1,0,0,0,0,1.0,78.0,56.0,22.0,2.0,0
,Dhani Jones,26,PHI,RLB,16,15,1,0,0,0,5.0,0,0,1,0,0,0.5,72.0,49.0,23.0,7.0,0
,Freddie Jones,30,ARI,TE,16,15,0,0,0,0,0.0,0,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0
,Patrick Kerney,28,ATL,LDE,16,15,1,0,0,0,9.0,1,0,1,0,0,13.0,66.0,55.0,11.0,17.0,0
,Kenard Lang,29,CLE,RDE,16,15,0,0,0,0,4.0,2,0,0,0,0,7.0,62.0,49.0,13.0,14.0,0
,Will Peterson,25,NYG,RCB,16,15,2,9,0,9,0.0,1,0,0,0,0,0.0,,,,,0
,Monsanto Pope,26,DEN,RDT,16,15,0,0,0,0,2.0,0,0,0,0,0,1.0,24.0,19.0,5.0,2.0,0
,Jeff Posey,29,BUF,LLB,16,15,1,3,0,3,2.0,0,0,1,0,0,1.0,66.0,39.0,27.0,5.0,0
,Victor Riley,30,NOR,RT,16,15,0,0,0,0,,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Mark Roman,27,GNB,SS,16,15,0,0,0,0,2.0,0,0,0,0,0,3.5,72.0,53.0,19.0,3.0,0
,Aaron Smith,28,PIT,LDE,16,15,0,0,0,0,1.0,3,0,2,54,0,8.0,44.0,31.0,13.0,10.0,0
,Matt Stewart,25,ATL,RLB,16,15,0,0,0,0,4.0,0,0,0,0,0,1.5,71.0,59.0,12.0,6.0,0
,Vinny Testaverde,41,DAL,QB,16,15,0,0,0,0,0.0,0,8,4,-3,0,0.0,0.0,0.0,0.0,0.0,0
,David Thornton,26,IND,LLB,16,15,1,5,0,5,1.0,2,0,0,0,0,0.0,94.0,71.0,23.0,4.0,0
,Kenechi Udeze,21,MIN,RDE,16,15,0,0,0,0,2.0,1,0,1,-2,0,5.0,36.0,25.0,11.0,6.0,0
,Kimo von Oelhoffen,33,PIT,RDE,16,15,0,0,0,0,1.0,0,0,2,21,0,1.0,24.0,16.0,8.0,3.0,0
,Mike Vrabel,29,NWE,ROLB,16,15,0,0,0,0,3.0,0,0,0,0,0,5.5,71.0,54.0,17.0,10.0,0
,Anthony Weaver,24,BAL,LDE,16,15,1,1,0,1,4.0,0,0,1,0,0,4.0,39.0,35.0,4.0,6.0,0
,Marcellus Wiley,30,DAL,RDE,16,15,0,0,0,0,0.0,1,0,0,0,0,3.0,38.0,31.0,7.0,6.0,0
,Josh Williams,28,IND,RDT,16,15,0,0,0,0,1.0,1,0,2,0,0,0.0,36.0,29.0,7.0,1.0,0
,Pat Williams,32,BUF,RDT,16,15,1,20,1,20,1.0,0,0,1,0,0,2.5,53.0,37.0,16.0,9.0,1
,Reggie Williams,21,JAX,WR,16,15,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0
,Jason Witten,22,DAL,TE,16,15,0,0,0,0,0.0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0
,Adam Archuleta,27,STL,SS,16,14,0,0,0,0,3.0,1,0,1,93,1,2.0,89.0,76.0,13.0,4.0,0
,Tiki Barber,29,NYG,RB,16,14,0,0,0,0,0.0,0,5,2,0,0,0.0,0.0,0.0,0.0,0.0,0
,Jason Ferguson,30,NYJ,RDT,16,14,0,0,0,0,0.0,2,0,0,0,0,3.5,59.0,37.0,22.0,4.0,0
,Bryce Fisher,27,STL,RDE,16,14,0,0,0,0,1.0,2,0,0,0,0,8.5,48.0,37.0,11.0,7.0,0
,Kevin Hardy,31,CIN,LLB,16,14,0,0,0,0,4.0,0,0,0,0,0,4.0,69.0,42.0,27.0,6.0,0
,Ronnie Heard,28,SFO,FS,16,14,1,14,0,14,6.0,0,0,1,0,0,0.0,71.0,59.0,12.0,2.0,0
,Warrick Holdman,29,CLE,RLB,16,14,0,0,0,0,2.0,0,0,0,0,0,0.5,78.0,49.0,29.0,1.0,0
,Earl Holmes,31,DET,MLB,16,14,0,0,0,0,2.0,0,0,0,0,0,0.0,111.0,78.0,33.0,6.0,0
,Orlando Huff,26,SEA,MLB,16,14,0,0,0,0,3.0,0,0,2,0,0,1.0,52.0,42.0,10.0,3.0,0
,Cletidus Hunt,28,GNB,RDT/LDT,16,14,0,0,0,0,2.0,1,0,0,0,0,2.0,32.0,18.0,14.0,5.0,0
,Lemar Marshall,28,WAS,RLB,16,14,0,0,0,0,1.0,0,0,0,0,0,1.5,69.0,48.0,21.0,3.0,0
,R.W. McQuarters,28,CHI,LCB/RCB,16,14,2,85,1,45,9.0,0,5,2,3,0,0.0,67.0,55.0,12.0,1.0,0
,Qasim Mitchell,25,CHI,LT,16,14,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Donnie Spragan,28,DEN,LLB,16,14,0,0,0,0,6.0,1,0,1,0,0,1.0,68.0,46.0,22.0,4.0,0
,Jeff Ulbrich,27,SFO,LLB/RLB,16,14,1,19,0,19,3.0,1,0,0,0,0,1.0,93.0,74.0,19.0,9.0,0
,Jonathan Vilma,22,NYJ,MLB,16,14,3,58,1,38,5.0,0,0,1,0,0,2.0,108.0,77.0,31.0,8.0,0
,Bobby Wade,23,CHI,WR,16,14,0,0,0,0,0.0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0
,D.J. Williams,22,DEN,RLB,16,14,1,10,0,10,7.0,1,0,0,0,0,2.0,114.0,81.0,33.0,10.0,0
,Peppi Zellner,29,ARI,LDE,16,14,0,0,0,0,3.0,0,0,1,0,0,2.0,31.0,24.0,7.0,2.0,0
,Jeff Zgonina,34,MIA,RDT,16,14,0,0,0,0,3.0,0,0,0,0,0,5.0,63.0,32.0,31.0,8.0,0
,Michael Clayton,22,TAM,WR,16,13,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Lional Dalton,29,KAN,RDT,16,13,0,0,0,0,0.0,0,0,1,0,0,4.0,21.0,19.0,2.0,8.0,0
,Ian Gold,26,TAM,LLB,16,13,1,31,0,31,3.0,0,0,0,0,0,0.5,71.0,54.0,17.0,4.0,0
,Isaiah Kacyvenski,27,SEA,LLB/RLB,16,13,0,0,0,0,0.0,1,0,0,0,0,1.0,89.0,68.0,21.0,4.0,0
,Terrence McGee,24,BUF,LCB,16,13,3,21,0,21,15.0,0,2,1,38,0,2.0,92.0,75.0,17.0,4.0,0
,Ifeanyi Ohalete,25,ARI,FS,16,13,0,0,0,0,9.0,1,0,2,0,0,0.0,71.0,58.0,13.0,0.0,0
,Bryan Robinson,30,MIA,LDT,16,13,0,0,0,0,4.0,0,0,0,0,0,0.0,41.0,24.0,17.0,3.0,0
,Mack Strong,33,SEA,FB,16,13,0,0,0,0,0.0,0,2,0,0,0,0.0,1.0,0.0,1.0,0.0,0
,Chaun Thompson,24,CLE,LLB,16,13,0,0,0,0,3.0,0,0,1,0,0,2.5,65.0,43.0,22.0,2.0,0
,Lamont Thompson,26,TEN,FS,16,13,4,77,1,37,6.0,1,0,0,0,0,0.0,65.0,55.0,10.0,0.0,0
,Madieu Williams,23,CIN,FS,16,13,3,51,1,51,11.0,0,0,2,-3,0,2.0,103.0,86.0,17.0,6.0,0
,Brad Badger,29,OAK,LG,16,12,0,0,0,0,0.0,0,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0
,Jacques Cesaire,24,SDG,LDE,16,12,0,0,0,0,3.0,0,0,0,0,0,0.5,24.0,18.0,6.0,1.0,0
,Jabar Gaffney,24,HOU,WR,16,12,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0
,Rashad Moore,25,SEA,RDT,16,12,0,0,0,0,2.0,0,0,3,0,0,2.0,46.0,32.0,14.0,2.0,0
,Seth Payne,29,HOU,NT,16,12,0,0,0,0,0.0,0,0,0,0,0,2.0,51.0,36.0,15.0,5.0,0
,Shawntae Spencer,22,SFO,RCB,16,12,0,0,0,0,7.0,0,0,0,0,0,0.0,70.0,61.0,9.0,2.0,0
,Ross Tucker,25,BUF,LG,16,12,0,0,0,0,0.0,0,1,0,-5,0,0.0,0.0,0.0,0.0,0.0,0
,Javon Walker,26,GNB,WR,16,12,0,0,0,0,0.0,0,2,1,11,0,0.0,0.0,0.0,0.0,0.0,0
,Ernie Conwell,32,NOR,TE,16,11,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Jason David,22,IND,RCB,16,11,4,36,1,34,15.0,1,0,0,0,0,0.0,52.0,48.0,4.0,2.0,0
,Donald Driver,29,GNB,WR,16,11,0,0,0,0,0.0,0,2,1,0,0,0.0,1.0,1.0,0.0,0.0,0
,Ebenezer Ekuban,28,CLE,LDE,16,11,0,0,0,0,2.0,1,0,2,4,0,8.0,39.0,29.0,10.0,9.0,0
,Lee Evans,23,BUF,WR,16,11,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Joaquin Gonzalez,25,CLE,RT,16,11,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Hunter Hillenmeyer,24,CHI,LLB,16,11,0,0,0,0,2.0,1,0,1,13,0,2.5,86.0,65.0,21.0,9.0,0
,Bryant Johnson,23,ARI,WR,16,11,0,0,0,0,0.0,0,1,0,0,0,0.0,3.0,3.0,0.0,0.0,0
,Landon Johnson,23,CIN,MLB,16,11,0,0,0,0,2.0,2,0,1,0,0,2.0,89.0,62.0,27.0,5.0,0
,Earl Little,31,CLE,FS,16,11,1,28,0,28,5.0,1,0,1,14,0,0.0,53.0,41.0,12.0,0.0,0
,Willis McGahee,23,BUF,RB,16,11,0,0,0,0,0.0,0,4,0,0,0,0.0,,,,,0
,Dennis Northcutt,27,CLE,WR,16,11,0,0,0,0,0.0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Taylor Whitley,24,MIA,RG,16,11,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,James Allen,25,NOR,LLB,16,10,0,0,0,0,1.0,2,0,2,1,0,0.0,51.0,35.0,16.0,0.0,0
,Darian Barnes,24,DAL,FB,16,10,0,0,0,0,0.0,0,1,1,0,0,0.0,2.0,1.0,1.0,0.0,0
,Fakhir Brown,27,NOR,RCB,16,10,2,0,0,0,11.0,2,0,3,2,0,0.0,56.0,55.0,1.0,1.0,0
,Christian Fauria,33,NWE,TE,16,10,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Todd Johnson,26,CHI,FS,16,10,0,0,0,0,2.0,0,0,1,0,0,0.0,75.0,63.0,12.0,1.0,0
,Chris Kelsay,25,BUF,LDE,16,10,1,3,0,3,2.0,1,0,2,0,0,4.5,38.0,23.0,15.0,8.0,0
,Donald Lee,24,MIA,TE,16,10,0,0,0,0,0.0,0,2,1,8,0,0.0,0.0,0.0,0.0,0.0,0
,Damione Lewis,26,STL,RDT,16,10,0,0,0,0,2.0,1,0,0,0,0,5.0,43.0,31.0,12.0,6.0,0
,Dustin Lyman,28,CHI,TE,16,10,0,0,0,0,0.0,0,0,0,0,0,0.0,4.0,2.0,2.0,0.0,0
,Ronald McKinnon,31,ARI,MLB,16,10,0,0,0,0,0.0,0,0,0,0,0,0.0,74.0,49.0,25.0,6.0,0
,Lorenzo Neal,34,SDG,FB,16,10,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0
,Donte' Stallworth,24,NOR,WR,16,10,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Keith Traylor,35,NWE,NT,16,10,0,0,0,0,0.0,0,0,0,0,0,0.0,28.0,23.0,5.0,4.0,0
,Willie Williams,34,PIT,LCB,16,10,1,0,0,0,6.0,0,0,0,0,0,1.0,56.0,41.0,15.0,2.0,0
,Chris Cooley,22,WAS,TE,16,9,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0
,Jim Finn,28,NYG,FB,16,9,0,0,0,0,0.0,0,0,0,0,0,0.0,5.0,1.0,4.0,0.0,0
,Arturo Freeman,28,MIA,FS,16,9,4,59,0,47,6.0,0,1,0,0,0,0.0,33.0,23.0,10.0,0.0,0
,Dan Kreider,27,PIT,FB,16,9,0,0,0,0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0
,Lynn Scott,27,DAL,SS,16,9,1,2,0,2,3.0,0,0,1,26,0,1.0,48.0,39.0,9.0,1.0,0
,Tony Stewart,25,CIN,TE,16,9,0,0,0,0,0.0,0,0,0,0,0,0.0,8.0,4.0,4.0,0.0,0
,Jeremiah Trotter,27,PHI,MLB,16,9,0,0,0,0,1.0,0,0,0,0,0,1.0,69.0,59.0,10.0,12.0,0
,Matt Willig,35,CAR,RT,16,9,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Nick Goings,26,CAR,RB,16,8,0,0,0,0,0.0,0,1,1,0,0,0.0,6.0,4.0,2.0,0.0,0
,William Henderson,33,GNB,FB,16,8,0,0,0,0,0.0,0,0,0,0,0,0.0,11.0,9.0,2.0,0.0,0
,Robert Holcombe,29,TEN,FB,16,8,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0
,Sean Mahan,24,TAM,C,16,8,0,0,0,0,,0,1,0,0,0,0.0,,,,,0
,Billy Miller,27,HOU,TE,16,8,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0
,Antwan Odom,23,TEN,LDE,16,8,0,0,0,0,3.0,1,0,0,0,0,2.0,21.0,14.0,7.0,2.0,0
,L.J. Smith,24,PHI,TE,16,8,0,0,0,0,0.0,0,0,0,0,0,0.0,6.0,5.0,1.0,0.0,0
,Todd Yoder,26,JAX,TE,16,8,0,0,0,0,0.0,0,0,0,0,0,0.0,13.0,12.0,1.0,0.0,0
,Nnamdi Asomugha,23,OAK,RCB,16,7,0,0,0,0,3.0,0,0,0,0,0,1.0,45.0,37.0,8.0,1.0,0
,Colby Bockwoldt,23,NOR,RLB,16,7,0,0,0,0,1.0,0,0,1,6,1,1.0,46.0,40.0,6.0,1.0,0
,John Browning,31,KAN,LDT,16,7,0,0,0,0,1.0,1,0,0,0,0,4.5,39.0,32.0,7.0,5.0,0
,Anthony Clement,28,ARI,RT,16,7,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Antonio Cochran,28,SEA,RDE,16,7,1,0,0,0,3.0,3,0,1,0,0,6.5,36.0,27.0,9.0,6.0,0
,Tony Dixon,25,DAL,SS,16,7,0,0,0,0,4.0,2,0,0,0,0,3.0,51.0,46.0,5.0,3.0,0
,Bobby McCray,23,JAX,LDE,16,7,0,0,0,0,1.0,2,0,0,0,0,3.5,24.0,19.0,5.0,7.0,0
,Michael Myers,28,CLE,LDE,16,7,0,0,0,0,0.0,1,0,1,0,0,1.0,34.0,22.0,12.0,4.0,0
,Brandon Noble,30,WAS,LDT,16,7,0,0,0,0,3.0,0,0,0,0,0,1.0,14.0,9.0,5.0,1.0,0
,Kassim Osgood,24,SDG,WR,16,7,0,0,0,0,0.0,0,0,0,0,0,0.0,13.0,13.0,0.0,0.0,0
,Antwaan Randle El,25,PIT,WR,16,7,0,0,0,0,0.0,0,5,2,0,0,0.0,0.0,0.0,0.0,0.0,0
,Marcus Robinson,29,MIN,WR,16,7,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0
,Visanthe Shiancoe,24,NYG,TE,16,7,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Osi Umenyiora,23,NYG,RDE,16,7,0,0,0,0,3.0,3,0,4,88,1,7.0,66.0,49.0,17.0,12.0,0
,Nathan Vasher,23,CHI,CB,16,7,5,177,1,71,9.0,0,0,1,12,0,0.0,37.0,34.0,3.0,1.0,0
,Boo Williams,25,NOR,TE,16,7,0,0,0,0,0.0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Dante Hall,26,KAN,WR,16,6,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0
,Shaunard Harts,26,KAN,FS,16,6,0,0,0,0,1.0,1,0,0,0,0,0.0,53.0,45.0,8.0,1.0,0
,John Howell,26,TAM,FS,16,6,0,0,0,0,1.0,0,0,0,0,0,0.0,34.0,30.0,4.0,0.0,0
,Cullen Jenkins,23,GNB,RDT,16,6,0,0,0,0,1.0,1,0,1,0,0,4.5,18.0,12.0,6.0,6.0,0
,Jeremi Johnson,24,CIN,FB,16,6,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0
,Chad Lavalais,25,ATL,RDT,16,6,0,0,0,0,1.0,0,0,2,0,0,0.0,39.0,31.0,8.0,3.0,0
,Mike Seidman,23,CAR,TE,16,6,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
,Vince Wilfork,23,NWE,NT,16,6,0,0,0,0,3.0,0,0,2,0,0,2.0,42.0,27.0,15.0,1.0,0
,Obafemi Ayanbadejo,29,ARI,FB,16,5,0,0,0,0,0.0,0,1,0,0,0,0.0,10.0,9.0,1.0,0.0,0
,Brandon Chillar,22,STL,LLB,16,5,0,0,0,0,0.0,0,0,0,0,0,0.0,39.0,33.0,6.0,6.0,0
,Rich Coady,28,STL,FS,16,5,0,0,0,0,4.0,1,0,1,0,0,0.0,45.0,38.0,7.0,1.0,0
,Terry Cousin,29,NYG,FS,16,5,1,6,0,6,3.0,0,0,0,0,0,0.0,55.0,41.0,14.0,4.0,0
,Ryan Denney,27,BUF,LDE,16,5,0,0,0,0,2.0,1,0,0,0,0,3.0,35.0,15.0,20.0,2.0,0
,Justin Ena,27,TEN,LLB,16,5,0,0,0,0,1.0,0,0,0,0,0,0.0,32.0,25.0,7.0,4.0,0
,Doug Gabriel,24,OAK,WR,16,5,0,0,0,0,0.0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0
,Joey Goodspeed,26,STL,FB,16,5,0,0,0,0,0.0,0,1,0,0,0,0.0,2.0,2.0,0.0,0.0,0
,Michael Hawthorne,27,GNB,LCB,16,5,0,0,0,0,7.0,2,0,2,34,1,0.0,51.0,38.0,13.0,0.0,0
,Kevin Johnson,28,BAL,WR,16,5,0,0,0,0,0.0,0,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0
,Ryan Neufeld,29,BUF,TE,16,5,0,0,0,0,0.0,0,0,0,0,0,0.0,6.0,5.0,1.0,0.0,0
,Joe Odom,25,CHI,LLB,16,5,0,0,0,0,0.0,0,0,0,0,0,0.0,29.0,23.0,6.0,2.0,0
,Willie Pile,24,KAN,SS,16,5,0,0,0,0,2.0,0,0,0,0,0,0.0,36.0,28.0,8.0,1.0,0
,Keiwan Ratliff,23,CIN,LCB,16,5,0,0,0,0,5.0,1,2,3,0,0,0.0,39.0,29.0,10.0,0.0,0
,Lewis Sanders,26,CLE,RCB,16,5,2,36,0,24,6.0,0,0,0,0,0,0.0,32.0,25.0,7.0,0.0,0
,Todd Steussie,34,TAM,RT,16,5,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Dontarrious Thomas,24,MIN,RLB,16,5,0,0,0,0,0.0,1,0,1,2,0,0.5,60.0,43.0,17.0,1.0,0
,Denard Walker,31,OAK,DB,16,5,1,45,0,45,5.0,0,0,1,28,0,0.0,45.0,43.0,2.0,1.0,0
,Daniel Wilcox,27,BAL,TE,16,5,0,0,0,0,0.0,0,1,0,0,0,0.0,8.0,8.0,0.0,0.0,0
,Michael Boulware,23,SEA,DB,16,4,5,69,1,63,6.0,2,0,0,0,0,1.0,65.0,49.0,16.0,1.0,0
,Tony Brown,24,SFO,DT,16,4,0,0,0,0,3.0,0,0,0,0,0,1.0,22.0,19.0,3.0,3.0,0
,Quinton Caver,26,KAN,LB,16,4,0,0,0,0,2.0,0,0,0,0,0,0.0,39.0,33.0,6.0,0.0,0
,Vinny Ciurciu,24,CAR,LB,16,4,0,0,0,0,0.0,0,0,0,0,0,0.0,37.0,28.0,9.0,2.0,0
,Troy Edwards,27,JAX,WR,16,4,0,0,0,0,0.0,0,3,0,-24,0,0.0,,,,,0
,Quentin Harris,27,ARI,DB,16,4,1,-1,0,-1,1.0,1,0,1,0,0,1.0,56.0,46.0,10.0,1.0,0
,James Harrison,26,PIT,LB,16,4,0,0,0,0,3.0,0,0,1,18,1,1.0,50.0,39.0,11.0,8.0,0
,Michael Haynes,24,CHI,DE,16,4,1,45,1,45,3.0,0,0,0,0,0,2.0,32.0,26.0,6.0,5.0,0
,Bhawoh Jue,25,GNB,DB,16,4,1,23,0,23,5.0,0,0,0,0,0,0.0,42.0,38.0,4.0,0.0,0
,Paris Lenon,27,GNB,LB,16,4,0,0,0,0,1.0,0,0,0,0,0,0.0,28.0,20.0,8.0,0.0,0
,Jamar Nesbit,28,NOR,G,16,4,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Justin Peelle,25,SDG,TE,16,4,0,0,0,0,0.0,0,1,0,0,0,0.0,4.0,4.0,0.0,0.0,0
,DaShon Polk,27,HOU,LB,16,4,0,0,0,0,0.0,0,0,1,0,0,1.0,37.0,25.0,12.0,1.0,0
,Will Smith,23,NOR,DE,16,4,0,0,0,0,2.0,6,0,1,-1,0,7.5,42.0,32.0,10.0,5.0,0
,Chester Taylor,25,BAL,RB,16,4,0,0,0,0,0.0,0,1,0,0,0,0.0,7.0,6.0,1.0,0.0,0
,Michael Waddell,23,TEN,DB,16,4,1,0,0,0,4.0,0,3,2,33,0,0.0,39.0,36.0,3.0,0.0,0
,Aaron Walker,24,SFO,TE,16,4,0,0,0,0,0.0,0,0,0,0,0,0.0,9.0,8.0,1.0,0.0,0
,Kevin Bentley,25,CLE,LB,16,3,0,0,0,0,0.0,1,0,0,0,0,0.0,63.0,44.0,19.0,2.0,0
,Kelly Campbell,24,MIN,WR,16,3,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0
,Hugh Douglas,33,PHI,DE,16,3,0,0,0,0,1.0,0,0,0,0,0,3.0,15.0,15.0,0.0,5.0,0
,Ben Hartsock,24,IND,TE,16,3,0,0,0,0,0.0,0,0,0,0,0,0.0,6.0,4.0,2.0,0.0,0
,Greg Jones,23,JAX,RB,16,3,0,0,0,0,0.0,0,1,0,0,0,0.0,3.0,2.0,1.0,0.0,0
,Greg Lewis,24,PHI,WR,16,3,0,0,0,0,0.0,0,0,0,0,0,0.0,7.0,6.0,1.0,0.0,0
,Derrick Pope,22,MIA,LB,16,3,0,0,0,0,0.0,1,0,1,1,1,2.0,44.0,29.0,15.0,3.0,0
,Marcellus Rivers,26,NYG,TE,16,3,0,0,0,0,0.0,0,1,2,0,0,0.0,12.0,9.0,3.0,0.0,0
,Stuart Schweigert,23,OAK,DB,16,3,0,0,0,0,3.0,0,0,0,0,0,0.0,52.0,43.0,9.0,0.0,0
,Scott Shanle,25,DAL,LB,16,3,0,0,0,0,1.0,0,0,0,0,0,0.0,47.0,35.0,12.0,1.0,0
,Marcus Spears,33,HOU,T,16,3,0,0,0,0,,0,0,1,0,0,0.0,,,,,0
