Player ID,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty
,Will Demps,25,BAL,FS,16,16,1,0,0,0,7.0,2,0,2,2,0,2.5,87.0,67.0,20.0,3.0,0
,David Diehl,24,NYG,RT,16,16,0,0,0,0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0
,Ryan Diem,25,IND,RT,16,16,0,0,0,0,0.0,0,0,0,0,0,0.0,5.0,3.0,2.0,0.0,0
,Warrick Dunn,29,ATL,RB,16,16,0,0,0,0,0.0,0,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Andre Dyson,25,TEN,LCB,16,16,6,135,0,44,15.0,0,0,0,0,0,0.0,41.0,35.0,6.0,0.0,0
,Donnie Edwards,31,SDG,LILB,16,16,5,49,1,30,14.0,2,0,0,0,0,1.0,152.0,106.0,46.0,2.0,0
,Greg Ellis,29,DAL,LDE,16,16,0,0,0,0,9.0,1,0,0,0,0,9.0,59.0,44.0,15.0,10.0,0
,James Farrior,29,PIT,LILB,16,16,4,113,1,41,12.0,3,0,3,0,0,3.0,95.0,67.0,28.0,9.0,0
,Mario Fatafehi,25,DEN,LDT,16,16,0,0,0,0,3.0,0,0,1,8,0,2.5,21.0,14.0,7.0,4.0,0
,Brett Favre,35,GNB,QB,16,16,0,0,0,0,0.0,0,4,1,-8,0,0.0,0.0,0.0,0.0,0.0,0
,Larry Fitzgerald,21,ARI,WR,16,16,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,London Fletcher,29,BUF,MLB,16,16,0,0,0,0,4.0,2,0,1,0,0,3.5,144.0,94.0,50.0,10.0,0
,Steve Foley,29,SDG,ROLB,16,16,2,4,0,4,12.0,5,0,2,0,0,10.0,65.0,48.0,17.0,10.0,0
,Larry Foote,24,PIT,RILB,16,16,1,1,0,1,2.0,1,0,1,0,0,3.0,70.0,53.0,17.0,8.0,0
,Dwight Freeney,24,IND,RDE,16,16,0,0,0,0,3.0,4,0,0,0,0,16.0,36.0,33.0,3.0,17.0,0
,Scott Fujita,25,KAN,LLB,16,16,0,0,0,0,4.0,0,0,0,0,0,4.5,90.0,67.0,23.0,9.0,0
,Chris Gamble,21,CAR,RCB,16,16,6,15,0,13,14.0,1,1,1,0,0,0.0,75.0,69.0,6.0,3.0,0
,Aaron Glenn,32,HOU,LCB,16,16,5,40,0,23,14.0,0,2,1,0,0,0.0,64.0,56.0,8.0,0.0,0
,La'Roi Glover,30,DAL,RDT,16,16,0,0,0,0,1.0,1,0,0,0,0,7.0,41.0,31.0,10.0,10.0,0
,Mike Goff,28,SDG,RG,16,16,0,0,0,0,0.0,0,0,2,11,0,0.0,0.0,0.0,0.0,0.0,0
,Tony Gonzalez,28,KAN,TE,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Charles Grant,26,NOR,LDE,16,16,1,8,0,8,7.0,3,0,1,0,0,10.5,80.0,66.0,14.0,19.0,0
,Deon Grant,25,JAX,FS,16,16,2,4,0,4,8.0,0,0,1,0,0,1.0,65.0,50.0,15.0,1.0,0
,Michael Green,28,CHI,SS,16,16,2,0,0,0,9.0,2,0,4,3,0,1.5,110.0,86.0,24.0,7.0,0
,Trent Green,34,KAN,QB,16,16,0,0,0,0,0.0,0,11,3,-6,0,0.0,0.0,0.0,0.0,0.0,0
,Robert Griffith,34,CLE,SS,16,16,1,18,0,18,3.0,0,0,0,0,0,1.0,119.0,92.0,27.0,8.0,0
,James Hall,27,DET,RDE,16,16,1,30,0,30,5.0,4,0,1,0,0,11.5,48.0,38.0,10.0,10.0,0
,Ben Hamilton,27,DEN,LG,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
