Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Unnamed: 17_level_0,Unnamed: 18_level_0
Rk,Player,Age,Team,Pos,G,GS,Ret,Yds,PRTD,Lng,Y/Ret,Ret,Yds,KRTD,Lng,Y/Ret,APYd,Awards
1.0,B.J. Sams,24.0,BAL,RB,16.0,1.0,55.0,575.0,2.0,78.0,10.5,59.0,1251.0,0.0,64.0,21.2,1847.0,
2.0,R.W. McQuarters,28.0,CHI,LCB/RCB,16.0,14.0,44.0,435.0,1.0,75.0,9.9,2.0,46.0,0.0,37.0,23.0,569.0,
3.0,Wes Welker,23.0,2TM,WR,15.0,0.0,43.0,464.0,0.0,71.0,10.8,61.0,1415.0,1.0,95.0,23.2,1879.0,
3.0,Wes Welker,23.0,SDG,WR,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,102.0,0.0,33.0,25.5,102.0,
3.0,Wes Welker,23.0,MIA,WR,14.0,0.0,43.0,464.0,0.0,71.0,10.8,57.0,1313.0,1.0,95.0,23.0,1777.0,
4.0,Antwaan Randle El,25.0,PIT,WR,16.0,7.0,42.0,347.0,0.0,60.0,8.3,21.0,527.0,0.0,41.0,25.1,1509.0,
5.0,Karl Williams,33.0,ARI,WR,15.0,2.0,42.0,286.0,0.0,38.0,6.8,1.0,18.0,0.0,18.0,18.0,507.0,
6.0,Allen Rossum,29.0,ATL,DB,16.0,1.0,37.0,457.0,1.0,75.0,12.4,58.0,1250.0,0.0,49.0,21.6,1729.0,PB
7.0,J.J. Moses,25.0,HOU,WR,15.0,0.0,36.0,309.0,0.0,27.0,8.6,59.0,1303.0,0.0,49.0,22.1,1612.0,
8.0,Dennis Northcutt,27.0,CLE,WR,16.0,11.0,36.0,432.0,0.0,44.0,12.0,0.0,0.0,0.0,0.0,,1257.0,
9.0,Nate Clements,25.0,BUF,RCB,16.0,16.0,35.0,327.0,1.0,86.0,9.3,1.0,14.0,0.0,14.0,14.0,418.0,PB
