Player ID,Player,Age,Team,Pos,G,GS,Pnt,Yds,Y/P,RetYds,NetYds,NY/P,Lng,TB,TB%,Pnt20,In20%,Blck
,Dave Zastudil,34.0,ARI,P,16.0,0.0,112.0,5209.0,46.5,415.0,4634.0,41.4,70.0,8.0,7.1,46.0,41.1,0.0
238199.0,Bryan Anger,24.0,JAX,P,16.0,0.0,91.0,4353.0,47.8,495.0,3758.0,40.8,73.0,5.0,5.5,31.0,34.1,1.0
,Reggie Hodges,30.0,CLE,P,16.0,0.0,90.0,3766.0,41.8,343.0,3343.0,37.1,58.0,4.0,4.4,29.0,32.2,0.0
,Donnie Jones,32.0,HOU,P,16.0,0.0,88.0,4150.0,47.2,483.0,3567.0,40.5,66.0,5.0,5.7,28.0,31.8,0.0
189886.0,Robert Malone,24.0,NYJ,P,16.0,0.0,84.0,3848.0,45.8,375.0,3313.0,38.5,61.0,8.0,9.5,27.0,32.1,2.0
107775.0,Dustin Colquitt,30.0,KAN,P,16.0,0.0,83.0,3887.0,46.8,362.0,3385.0,40.8,71.0,7.0,8.4,45.0,54.2,0.0
123206.0,Sam Koch,30.0,BAL,P,16.0,0.0,83.0,3911.0,47.1,383.0,3388.0,40.8,60.0,7.0,8.4,28.0,33.7,0.0
379324.0,Johnny Hekker,22.0,STL,P,16.0,0.0,82.0,3756.0,45.8,402.0,3274.0,39.9,68.0,4.0,4.9,22.0,26.8,0.0
157876.0,Brett Kern,26.0,TEN,P,16.0,0.0,81.0,3855.0,47.6,405.0,3350.0,40.4,71.0,5.0,6.2,30.0,37.0,2.0
,Shane Lechler,36.0,OAK,P,16.0,0.0,81.0,3826.0,47.2,450.0,3196.0,39.0,68.0,9.0,11.1,21.0,25.9,1.0
136005.0,Adam Podlesh,29.0,CHI,P,16.0,0.0,81.0,3399.0,42.0,84.0,3195.0,39.4,64.0,6.0,7.4,34.0,42.0,0.0
,Mike Scifres,32.0,SDG,P,16.0,0.0,81.0,3914.0,48.3,362.0,3412.0,40.6,66.0,7.0,8.6,30.0,37.0,3.0
240428.0,Drew Butler,23.0,PIT,P,16.0,0.0,77.0,3374.0,43.8,306.0,2948.0,37.8,79.0,6.0,7.8,26.0,33.8,1.0
169396.0,Kevin Huber,27.0,CIN,P,16.0,0.0,76.0,3540.0,46.6,210.0,3190.0,42.0,69.0,7.0,9.2,33.0,43.4,0.0
,Michael Koenen,30.0,TAM,P,16.0,0.0,76.0,3440.0,45.3,440.0,2880.0,37.4,64.0,6.0,7.9,22.0,28.9,1.0
381296.0,Brad Nortman,23.0,CAR,P,16.0,0.0,76.0,3267.0,43.0,318.0,2809.0,36.5,63.0,7.0,9.2,20.0,26.3,1.0
170311.0,Thomas Morstead,26.0,NOR,P,16.0,0.0,74.0,3707.0,50.1,391.0,3196.0,43.2,70.0,6.0,8.1,20.0,27.0,0.0
133782.0,Brandon Fields,28.0,MIA,P,16.0,0.0,73.0,3666.0,50.2,484.0,3051.0,41.8,67.0,9.0,12.3,29.0,39.7,0.0
174460.0,Pat McAfee,25.0,IND,P,16.0,0.0,73.0,3500.0,47.9,375.0,2985.0,40.3,64.0,8.0,11.0,26.0,35.6,1.0
105279.0,Chris Kluwe,31.0,MIN,P,16.0,0.0,72.0,3237.0,45.0,341.0,2856.0,39.7,59.0,2.0,2.8,18.0,25.0,0.0
178754.0,Tim Masthay,25.0,GNB,P,16.0,0.0,70.0,3043.0,43.5,179.0,2764.0,38.9,65.0,5.0,7.1,30.0,42.9,1.0
,Saverio Rocca,39.0,WAS,P,16.0,0.0,68.0,2984.0,43.9,320.0,2604.0,37.2,61.0,3.0,4.4,22.0,32.4,2.0
146878.0,Britton Colquitt,27.0,DEN,P,16.0,0.0,67.0,3099.0,46.3,203.0,2822.0,42.1,67.0,4.0,6.0,27.0,40.3,0.0
,Nick Harris,34.0,DET,P,13.0,0.0,67.0,2783.0,41.5,241.0,2522.0,37.6,58.0,1.0,1.5,21.0,31.3,0.0
,Andy Lee,30.0,SFO,P,16.0,0.0,67.0,3226.0,48.1,249.0,2897.0,43.2,66.0,4.0,6.0,36.0,53.7,0.0
476431.0,Shawn Powell,24.0,BUF,P,13.0,0.0,65.0,2860.0,44.0,345.0,2475.0,38.1,62.0,2.0,3.1,23.0,35.4,0.0
,Jon Ryan,31.0,SEA,P,16.0,0.0,65.0,2963.0,45.6,252.0,2651.0,40.8,73.0,3.0,4.6,30.0,46.2,0.0
,Matthew Bosher,25.0,ATL,P,16.0,0.0,60.0,2847.0,47.5,241.0,2526.0,40.7,63.0,4.0,6.7,22.0,36.7,2.0
180834.0,Zoltan Mesko,26.0,NWE,P,16.0,0.0,60.0,2585.0,43.1,154.0,2311.0,37.9,62.0,6.0,10.0,28.0,46.7,1.0
127759.0,Steve Weatherford,30.0,NYG,P,16.0,0.0,58.0,2757.0,47.5,353.0,2284.0,39.4,68.0,6.0,10.3,22.0,37.9,0.0
