Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Unnamed: 17_level_0,Unnamed: 18_level_0
Rk,Player,Age,Team,Pos,G,GS,Ret,Yds,PRTD,Lng,Y/Ret,Ret,Yds,KRTD,Lng,Y/Ret,APYd,Awards
1.0,Jeremy Kerley,27.0,NYJ,WR,16.0,1.0,48.0,411.0,0.0,58.0,8.6,0.0,0.0,0.0,0.0,,563.0,
2.0,Tyler Lockett,23.0,SEA,WR,16.0,8.0,40.0,379.0,1.0,66.0,9.5,33.0,852.0,1.0,105.0,25.8,1915.0,"PB,AP-1,AP ORoY-4"
3.0,Darren Sproles,32.0,PHI,RB,16.0,4.0,38.0,446.0,2.0,89.0,11.7,1.0,20.0,0.0,20.0,20.0,1171.0,PB
4.0,Jarvis Landry,23.0,MIA,WR,16.0,14.0,36.0,356.0,1.0,69.0,9.9,13.0,321.0,0.0,50.0,24.7,1947.0,PB
5.0,Keith Mumphery,23.0,HOU,WR,16.0,3.0,36.0,280.0,0.0,20.0,7.8,14.0,338.0,0.0,41.0,24.1,747.0,
6.0,Tavon Austin,25.0,STL,WR,16.0,15.0,34.0,264.0,1.0,75.0,7.8,3.0,16.0,0.0,7.0,5.3,1187.0,
7.0,Dwayne Harris,28.0,NYG,WR,15.0,6.0,34.0,341.0,1.0,80.0,10.0,22.0,631.0,1.0,100.0,28.7,1380.0,
8.0,Marcus Sherels,28.0,MIN,DB,16.0,0.0,34.0,311.0,1.0,65.0,9.1,2.0,33.0,0.0,21.0,16.5,344.0,
9.0,Patrick Peterson,25.0,ARI,LCB,16.0,16.0,32.0,260.0,0.0,38.0,8.1,2.0,46.0,0.0,24.0,23.0,347.0,"PB,AP-1"
10.0,Jamison Crowder,22.0,WAS,WR,16.0,6.0,30.0,158.0,0.0,16.0,5.3,1.0,13.0,0.0,13.0,13.0,777.0,
11.0,Marc Mariani,28.0,CHI,WR,16.0,5.0,29.0,192.0,0.0,20.0,6.6,16.0,418.0,0.0,47.0,26.1,910.0,
12.0,Bobby Rainey,28.0,TAM,RB,16.0,0.0,29.0,291.0,0.0,58.0,10.0,19.0,469.0,0.0,38.0,24.7,794.0,
13.0,De'Anthony Thomas,22.0,KAN,RB,10.0,1.0,29.0,227.0,0.0,37.0,7.8,6.0,138.0,0.0,30.0,23.0,539.0,
14.0,Travis Benjamin,26.0,CLE,WR,16.0,15.0,28.0,324.0,1.0,78.0,11.6,0.0,0.0,0.0,0.0,,1302.0,
15.0,Marcus Murphy,24.0,NOR,RB,13.0,0.0,28.0,261.0,1.0,74.0,9.3,12.0,300.0,0.0,35.0,25.0,561.0,
16.0,Ted Ginn Jr.,30.0,CAR,WR,15.0,13.0,27.0,277.0,0.0,37.0,10.3,1.0,8.0,0.0,8.0,8.0,1084.0,
17.0,Micah Hyde,24.0,GNB,SS,15.0,7.0,27.0,157.0,0.0,16.0,5.8,8.0,187.0,0.0,30.0,23.4,380.0,
18.0,Brandon Tate,28.0,CIN,WR,16.0,0.0,27.0,171.0,0.0,18.0,6.3,18.0,413.0,0.0,58.0,22.9,643.0,
19.0,Dexter McCluster,26.0,TEN,WR,11.0,2.0,24.0,217.0,0.0,37.0,9.0,13.0,285.0,0.0,32.0,21.9,1009.0,
20.0,Jeremy Ross,27.0,2TM,WR,11.0,0.0,24.0,214.0,0.0,42.0,8.9,19.0,470.0,0.0,46.0,24.7,774.0,
20.0,Jeremy Ross,27.0,BAL,WR,5.0,0.0,10.0,109.0,0.0,42.0,10.9,7.0,205.0,0.0,46.0,29.3,404.0,
20.0,Jeremy Ross,27.0,OAK,WR,6.0,0.0,14.0,105.0,0.0,22.0,7.5,12.0,265.0,0.0,32.0,22.1,370.0,
21.0,Danny Amendola,30.0,NWE,WR,14.0,7.0,23.0,276.0,0.0,82.0,12.0,8.0,172.0,0.0,29.0,21.5,1107.0,
22.0,Kaelin Clay,23.0,BAL,WR,7.0,0.0,23.0,244.0,1.0,82.0,10.6,14.0,343.0,0.0,39.0,24.5,587.0,
23.0,Antonio Brown,27.0,PIT,WR,16.0,16.0,22.0,212.0,1.0,71.0,9.6,0.0,0.0,0.0,0.0,,2074.0,"PB,AP-1,AP OPoY-2"
24.0,Quan Bray,22.0,IND,WR,9.0,0.0,21.0,166.0,0.0,33.0,7.9,21.0,570.0,0.0,60.0,27.1,736.0,
25.0,Golden Tate,27.0,DET,WR,16.0,16.0,20.0,149.0,0.0,23.0,7.5,1.0,26.0,0.0,26.0,26.0,1029.0,
26.0,T.J. Carrie,25.0,OAK,FS/RCB,15.0,14.0,19.0,118.0,0.0,22.0,6.2,0.0,0.0,0.0,0.0,,120.0,
27.0,Bruce Ellington,24.0,SFO,WR,13.0,0.0,19.0,137.0,0.0,36.0,7.2,26.0,665.0,0.0,40.0,25.6,962.0,
28.0,Eric Weems,30.0,ATL,WR,16.0,0.0,19.0,221.0,0.0,41.0,11.6,15.0,403.0,0.0,50.0,26.9,639.0,
29.0,Lucky Whitehead,23.0,DAL,WR,15.0,1.0,19.0,110.0,0.0,28.0,5.8,16.0,452.0,0.0,79.0,28.3,685.0,
30.0,Marcus Thigpen,29.0,2TM,RB,9.0,0.0,19.0,119.0,0.0,16.0,6.3,18.0,330.0,0.0,31.0,18.3,448.0,
30.0,Marcus Thigpen,29.0,OAK,RB,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,3.0,
30.0,Marcus Thigpen,29.0,BUF,RB,8.0,0.0,18.0,118.0,0.0,16.0,6.6,17.0,328.0,0.0,31.0,19.3,445.0,
31.0,Rashad Greene,23.0,JAX,WR,9.0,0.0,18.0,301.0,1.0,73.0,16.7,0.0,0.0,0.0,0.0,,394.0,
32.0,Emmanuel Sanders,28.0,DEN,WR,15.0,15.0,17.0,103.0,0.0,14.0,6.1,1.0,13.0,0.0,13.0,13.0,1280.0,
33.0,Adam Jones,32.0,CIN,RCB,14.0,14.0,16.0,179.0,0.0,35.0,11.2,10.0,235.0,0.0,49.0,23.5,428.0,PB
34.0,Frankie Hammond,25.0,KAN,WR,9.0,0.0,14.0,115.0,0.0,29.0,8.2,0.0,0.0,0.0,0.0,,115.0,
35.0,Cole Beasley,26.0,DAL,WR,16.0,3.0,12.0,69.0,0.0,22.0,5.8,0.0,0.0,0.0,0.0,,605.0,
36.0,Griff Whalen,25.0,IND,WR,14.0,0.0,12.0,85.0,0.0,22.0,7.1,9.0,244.0,0.0,50.0,27.1,534.0,
37.0,Harry Douglas,31.0,TEN,WR,14.0,12.0,11.0,73.0,0.0,18.0,6.6,0.0,0.0,0.0,0.0,,478.0,
38.0,Javontee Herndon,24.0,SDG,WR,8.0,2.0,11.0,81.0,0.0,18.0,7.4,7.0,157.0,0.0,34.0,22.4,446.0,
39.0,Jacoby Jones,31.0,2TM,WR,9.0,0.0,11.0,15.0,0.0,14.0,1.4,18.0,413.0,0.0,36.0,22.9,428.0,
39.0,Jacoby Jones,31.0,SDG,WR,5.0,0.0,5.0,-4.0,0.0,5.0,-0.8,9.0,193.0,0.0,30.0,21.4,189.0,
39.0,Jacoby Jones,31.0,PIT,WR,4.0,0.0,6.0,19.0,0.0,14.0,3.2,9.0,220.0,0.0,36.0,24.4,239.0,
40.0,Julian Edelman,29.0,NWE,WR,9.0,9.0,10.0,81.0,0.0,19.0,8.1,0.0,0.0,0.0,0.0,,796.0,
41.0,Cecil Shorts,28.0,HOU,WR,11.0,4.0,9.0,70.0,0.0,17.0,7.8,0.0,0.0,0.0,0.0,,601.0,
42.0,Amari Cooper,21.0,OAK,WR,16.0,15.0,8.0,41.0,0.0,18.0,5.1,0.0,0.0,0.0,0.0,,1108.0,"PB,AP ORoY-3"
43.0,Jarryd Hayne,27.0,SFO,RB,8.0,1.0,8.0,76.0,0.0,37.0,9.5,0.0,0.0,0.0,0.0,,155.0,
44.0,Devin Hester,33.0,ATL,WR,5.0,0.0,8.0,34.0,0.0,11.0,4.3,9.0,235.0,0.0,35.0,26.1,269.0,
45.0,Keshawn Martin,25.0,NWE,WR,9.0,8.0,8.0,92.0,0.0,21.0,11.5,10.0,257.0,0.0,75.0,25.7,624.0,
46.0,Bryan Walters,28.0,JAX,WR,11.0,1.0,8.0,30.0,0.0,14.0,3.8,4.0,80.0,0.0,28.0,20.0,478.0,
47.0,T.J. Jones,23.0,DET,WR,10.0,0.0,7.0,59.0,0.0,28.0,8.4,5.0,106.0,0.0,34.0,21.2,294.0,
48.0,Leodis McKelvin,30.0,BUF,RCB,9.0,5.0,7.0,21.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,,21.0,
49.0,Jordan Norwood,29.0,DEN,WR,11.0,5.0,6.0,51.0,0.0,14.0,8.5,2.0,29.0,0.0,15.0,14.5,287.0,
50.0,Omar Bolden,27.0,DEN,DB,9.0,0.0,5.0,123.0,1.0,83.0,24.6,15.0,342.0,0.0,41.0,22.8,465.0,
51.0,Nick Marshall,23.0,JAX,DB,13.0,1.0,5.0,30.0,0.0,20.0,6.0,13.0,346.0,0.0,36.0,26.6,376.0,
52.0,Denarius Moore,27.0,BUF,WR,6.0,0.0,5.0,77.0,0.0,27.0,15.4,5.0,70.0,0.0,20.0,14.0,147.0,
53.0,B.J. Daniels,27.0,2TM,QB,8.0,0.0,5.0,25.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,,49.0,
53.0,B.J. Daniels,27.0,SEA,QB,6.0,0.0,1.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,,25.0,
53.0,B.J. Daniels,27.0,HOU,QB,2.0,0.0,4.0,18.0,0.0,11.0,4.5,0.0,0.0,0.0,0.0,,24.0,
54.0,Randall Cobb,25.0,GNB,WR,16.0,15.0,4.0,10.0,0.0,10.0,2.5,0.0,0.0,0.0,0.0,,889.0,
55.0,Brent Grimes,32.0,MIA,LCB,15.0,15.0,4.0,59.0,0.0,28.0,14.8,0.0,0.0,0.0,0.0,,79.0,PB
56.0,T.Y. Hilton,26.0,IND,WR,16.0,15.0,4.0,16.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,,1140.0,PB
57.0,JJ Nelson,23.0,ARI,WR,11.0,2.0,4.0,13.0,0.0,11.0,3.3,0.0,0.0,0.0,0.0,,312.0,
58.0,Keenan Allen,23.0,SDG,WR,8.0,8.0,3.0,5.0,0.0,5.0,1.7,0.0,0.0,0.0,0.0,,730.0,
59.0,Michael Campanaro,24.0,BAL,WR,4.0,0.0,3.0,49.0,0.0,21.0,16.3,3.0,79.0,0.0,29.0,26.3,180.0,
60.0,Perrish Cox,28.0,TEN,LCB,13.0,13.0,3.0,17.0,0.0,9.0,5.7,0.0,0.0,0.0,0.0,,44.0,
61.0,Brittan Golden,27.0,ARI,WR,14.0,0.0,3.0,16.0,0.0,10.0,5.3,0.0,0.0,0.0,0.0,,21.0,
