Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1,Adrian Amos,22,CHI,SS,16,16,0,0,0,0,2,0,0,0,0,0,1.0,67,57,10,2.0,1.0,0,
2,Ezekiel Ansah,26,DET,RDE,16,16,0,0,0,0,1,4,0,2,1,0,14.5,47,39,8,15.0,34.0,0,"PB,AP-2"
3,Stephone Anthony,23,NOR,MLB,16,16,1,5,0,5,5,2,0,1,31,1,1.0,112,70,42,5.0,4.0,0,
4,Geno Atkins,27,CIN,RDT,16,16,0,0,0,0,0,1,0,0,0,0,11.0,42,31,11,17.0,21.0,0,"PB,AP-1"
5,Cliff Avril,29,SEA,RDE,16,16,0,0,0,0,7,2,0,0,0,0,9.0,47,31,16,11.0,27.0,0,
6,Doug Baldwin,27,SEA,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
7,Tim Barnes,27,STL,C,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0.0,0.0,0,
8,Connor Barwin,29,PHI,LOLB,16,16,0,0,0,0,7,1,0,0,0,0,7.0,54,44,10,9.0,16.0,0,
9,Zane Beadles,29,JAX,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
10,Vic Beasley,23,ATL,LDE,16,16,1,0,0,0,3,2,0,0,0,0,4.0,26,20,6,2.0,5.0,0,
11,Michael Bennett,30,SEA,LDE,16,16,0,0,0,0,0,2,0,0,0,0,10.0,52,33,19,18.0,30.0,0,PB
12,Joe Berger,33,MIN,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
13,Antwon Blake,25,PIT,RCB,16,16,2,112,1,70,11,1,0,0,0,0,1.0,77,65,12,5.0,1.0,0,
14,Russell Bodine,23,CIN,C,16,16,0,0,0,0,0,0,2,0,-9,0,0.0,0,0,0,,,0,
15,Blake Bortles,23,JAX,QB,16,16,0,0,0,0,0,0,14,5,-30,0,0.0,0,0,0,0.0,0.0,0,
16,NaVorro Bowman,27,SFO,LILB,16,16,0,0,0,0,2,1,0,0,0,0,2.5,154,116,38,7.0,8.0,0,"PB,AP-1,AP CPoY-4"
17,Tom Brady,38,NWE,QB,16,16,0,0,0,0,0,0,6,2,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP MVP-2,AP OPoY-4"
18,Delvin Breaux,26,NOR,LCB,16,16,3,22,0,22,19,0,0,1,0,0,0.0,45,37,8,2.0,0.0,0,
19,Teddy Bridgewater,23,MIN,QB,16,16,0,0,0,0,0,0,8,1,-2,0,0.0,0,0,0,0.0,0.0,0,PB
20,Michael Brockers,25,STL,RDT,16,16,0,0,0,0,0,0,0,0,0,0,3.0,44,27,17,8.0,6.0,0,
21,Antonio Brown,27,PIT,WR,16,16,0,0,0,0,0,0,3,1,0,0,0.0,1,1,0,0.0,0.0,0,"PB,AP-1,AP OPoY-2"
22,Preston Brown,23,BUF,MLB,16,16,2,46,1,43,4,1,0,1,0,0,0.0,120,66,54,3.0,6.0,0,
23,Brandon Browner,31,NOR,RCB,16,16,1,0,0,0,10,0,0,1,0,0,0.0,76,63,13,0.0,0.0,0,
24,Deone Bucannon,23,ARI,RILB,16,16,1,39,1,39,3,3,0,2,0,0,3.0,112,93,19,11.0,6.0,0,
25,Malcolm Butler,25,NWE,LCB,16,16,2,9,0,9,15,0,0,0,0,0,0.0,67,56,11,1.0,0.0,0,PB
26,Jordan Cameron,27,MIA,TE,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0.0,0.0,0,
27,Calais Campbell,29,ARI,LDE,16,16,0,0,0,0,3,0,0,1,0,0,5.0,61,46,15,16.0,20.0,0,PB
28,Brandon Carr,29,DAL,LCB,16,16,0,0,0,0,6,0,0,1,5,0,0.0,76,60,16,1.0,2.0,0,
29,Derek Carr,24,OAK,QB,16,16,0,0,0,0,0,0,10,2,-13,0,0.0,0,0,0,0.0,0.0,0,PB
30,Jurrell Casey,26,TEN,RDE,16,16,0,0,0,0,3,0,0,0,0,0,7.0,54,34,20,11.0,13.0,0,PB
31,T.J. Clemmings,24,MIN,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
32,Ha Ha Clinton-Dix,23,GNB,FS,16,16,2,2,0,2,3,1,0,0,0,0,3.0,100,83,17,3.0,3.0,0,
33,Landon Collins,21,NYG,FS,16,16,1,0,0,0,9,1,0,0,0,0,0.0,112,84,28,5.0,1.0,0,
34,Kirk Cousins,27,WAS,QB,16,16,0,0,0,0,0,0,9,5,-8,0,0.0,0,0,0,0.0,0.0,0,
35,Fletcher Cox,25,PHI,LDE,16,16,0,0,0,0,2,3,0,2,0,0,9.5,71,50,21,11.0,20.0,0,"PB,AP-2"
36,Tyrone Crawford,26,DAL,LDT,16,16,0,0,0,0,1,0,0,0,0,0,5.0,35,23,12,7.0,9.0,0,
37,Jared Crick,26,HOU,LDE,16,16,0,0,0,0,2,1,0,2,0,0,2.0,48,28,20,3.0,9.0,0,
38,Brian Cushing,28,HOU,LILB,16,16,0,0,0,0,3,1,0,0,0,0,0.0,110,63,47,4.0,2.0,0,
39,Mike Daniels,26,GNB,RDE,16,16,1,6,0,6,2,1,0,0,0,0,4.0,49,27,22,7.0,9.0,0,
40,Karlos Dansby,34,CLE,LILB,16,16,3,93,2,52,6,3,0,0,0,0,0.0,108,62,46,6.0,6.0,0,
41,Lavonte David,25,TAM,RLB,16,16,3,19,1,20,13,2,0,2,0,0,3.0,147,85,62,10.0,5.0,0,PB
42,Demario Davis,26,NYJ,LILB,16,16,0,0,0,0,2,0,0,1,0,0,2.0,90,57,33,7.0,9.0,0,
43,Thomas Davis,32,CAR,RLB,16,16,4,22,0,22,7,4,0,1,0,0,5.5,105,75,30,8.0,12.0,0,"PB,AP-1"
44,Vontae Davis,27,IND,RCB,16,16,4,6,0,6,16,0,0,0,0,0,0.0,48,38,10,1.0,0.0,0,PB
45,Aaron Donald,24,STL,LDT,16,16,0,0,0,0,1,0,0,1,40,0,11.0,69,44,25,22.0,37.0,0,"PB,AP-1,AP DPoY-2"
46,Elvis Dumervil,31,BAL,LOLB,16,16,0,0,0,0,1,1,0,2,0,0,6.0,48,29,19,8.0,21.0,0,PB
47,Carlos Dunlap,26,CIN,LDE,16,16,0,0,0,0,1,2,0,1,21,0,13.5,55,37,18,16.0,34.0,0,PB
48,Larry Fitzgerald,32,ARI,WR,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0,PB
49,Ryan Fitzpatrick,33,NYJ,QB,16,16,0,0,0,0,0,0,5,2,-32,0,0.0,0,0,0,,,0,
