Player ID,Player,Age,Team,Pos,G,GS,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
,David Akers,37.0,SFO,K,16.0,0.0,2.0,2.0,16.0,16.0,14.0,13.0,11.0,6.0,9.0,7.0,52.0,44.0,55.0,84.6,34.0,34.0,100.0,93.0,6077.0,47.0,50.5,65.0
173647.0,Graham Gano,24.0,WAS,K,16.0,0.0,0.0,0.0,15.0,14.0,9.0,5.0,11.0,8.0,6.0,4.0,41.0,31.0,59.0,75.6,26.0,25.0,96.2,73.0,4426.0,32.0,43.8,61.0
122199.0,Mike Nugent,29.0,CIN,K,16.0,0.0,0.0,0.0,14.0,14.0,8.0,5.0,16.0,14.0,0.0,0.0,38.0,33.0,49.0,86.8,34.0,33.0,97.1,80.0,5215.0,36.0,45.0,65.0
,Neil Rackers,35.0,HOU,K,16.0,0.0,0.0,0.0,14.0,14.0,11.0,10.0,8.0,4.0,5.0,4.0,38.0,32.0,54.0,84.2,40.0,39.0,97.5,36.0,2182.0,15.0,41.7,61.0
192523.0,Dan Bailey,23.0,DAL,K,16.0,0.0,1.0,1.0,9.0,8.0,11.0,11.0,12.0,10.0,4.0,2.0,37.0,32.0,51.0,86.5,39.0,39.0,100.0,67.0,4243.0,24.0,35.8,63.0
,Billy Cundiff,31.0,BAL,K,15.0,0.0,1.0,1.0,9.0,9.0,12.0,10.0,9.0,7.0,6.0,1.0,37.0,28.0,51.0,75.7,38.0,38.0,100.0,76.0,4881.0,44.0,57.9,64.0
,Sebastian Janikowski,33.0,OAK,K,15.0,0.0,1.0,1.0,8.0,8.0,5.0,5.0,11.0,10.0,10.0,7.0,35.0,31.0,63.0,88.6,36.0,36.0,100.0,80.0,4968.0,32.0,40.0,62.0
159528.0,Dan Carpenter,26.0,MIA,K,14.0,0.0,0.0,0.0,11.0,10.0,7.0,6.0,12.0,11.0,4.0,2.0,34.0,29.0,58.0,85.3,26.0,26.0,100.0,68.0,4420.0,39.0,57.4,65.0
,John Kasay,42.0,NOR,K,16.0,0.0,0.0,0.0,11.0,11.0,10.0,10.0,8.0,5.0,5.0,2.0,34.0,28.0,53.0,82.4,63.0,63.0,100.0,2.0,18.0,0.0,0.0,9.0
102394.0,Nick Novak,30.0,SDG,K,15.0,0.0,0.0,0.0,11.0,11.0,5.0,4.0,11.0,8.0,7.0,4.0,34.0,27.0,53.0,79.4,42.0,41.0,97.6,86.0,5551.0,30.0,34.9,65.0
140616.0,Stephen Gostkowski,27.0,NWE,K,16.0,0.0,1.0,1.0,13.0,12.0,6.0,5.0,11.0,9.0,2.0,1.0,33.0,28.0,50.0,84.8,59.0,59.0,100.0,103.0,6568.0,41.0,39.8,64.0
,Rob Bironas,33.0,TEN,K,16.0,0.0,0.0,0.0,5.0,5.0,10.0,9.0,10.0,9.0,7.0,6.0,32.0,29.0,53.0,90.6,34.0,34.0,100.0,78.0,4847.0,44.0,56.4,62.0
120324.0,Robbie Gould,29.0,CHI,K,16.0,0.0,0.0,0.0,10.0,10.0,6.0,6.0,10.0,6.0,6.0,6.0,32.0,28.0,57.0,87.5,37.0,37.0,100.0,81.0,5119.0,43.0,53.1,63.0
100363.0,Shaun Suisham,30.0,PIT,K,16.0,0.0,2.0,2.0,8.0,8.0,8.0,6.0,11.0,6.0,2.0,1.0,31.0,23.0,51.0,74.2,36.0,36.0,100.0,72.0,4698.0,28.0,38.9,65.0
240963.0,Stephen Hauschka,26.0,SEA,K,16.0,0.0,2.0,2.0,6.0,5.0,10.0,9.0,8.0,7.0,4.0,2.0,30.0,25.0,52.0,83.3,34.0,34.0,100.0,75.0,4899.0,26.0,34.7,65.0
173684.0,Ryan Succop,25.0,KAN,K,16.0,0.0,1.0,1.0,7.0,7.0,7.0,6.0,12.0,7.0,3.0,3.0,30.0,24.0,54.0,80.0,20.0,20.0,100.0,59.0,3589.0,31.0,52.5,61.0
,Matt Bryant,36.0,ATL,K,16.0,0.0,2.0,2.0,9.0,9.0,9.0,9.0,7.0,5.0,2.0,2.0,29.0,27.0,51.0,93.1,45.0,45.0,100.0,0.0,0.0,0.0,,
,Phil Dawson,36.0,CLE,K,16.0,0.0,0.0,0.0,9.0,7.0,4.0,3.0,8.0,7.0,8.0,7.0,29.0,24.0,54.0,82.8,20.0,20.0,100.0,59.0,3661.0,10.0,16.9,62.0
,Jason Hanson,41.0,DET,K,16.0,0.0,0.0,0.0,9.0,9.0,9.0,8.0,4.0,2.0,7.0,5.0,29.0,24.0,51.0,82.8,54.0,54.0,100.0,96.0,6156.0,45.0,46.9,64.0
162664.0,Connor Barth,25.0,TAM,K,16.0,0.0,0.0,0.0,5.0,5.0,6.0,6.0,14.0,13.0,3.0,2.0,28.0,26.0,55.0,92.9,23.0,23.0,100.0,0.0,0.0,0.0,,
,Josh Brown,32.0,STL,K,16.0,0.0,0.0,0.0,7.0,7.0,7.0,6.0,12.0,8.0,2.0,0.0,28.0,21.0,49.0,75.0,18.0,18.0,100.0,48.0,3072.0,12.0,25.0,64.0
145297.0,Mason Crosby,27.0,GNB,K,16.0,0.0,1.0,1.0,5.0,4.0,14.0,14.0,5.0,3.0,3.0,2.0,28.0,24.0,58.0,85.7,69.0,68.0,98.6,108.0,6892.0,49.0,45.4,64.0
,Ryan Longwell,37.0,MIN,K,16.0,0.0,0.0,0.0,7.0,7.0,8.0,7.0,10.0,6.0,3.0,2.0,28.0,22.0,53.0,78.6,39.0,38.0,97.4,77.0,4878.0,19.0,24.7,63.0
,Olindo Mare,38.0,CAR,K,16.0,0.0,1.0,1.0,7.0,7.0,9.0,6.0,9.0,8.0,2.0,0.0,28.0,22.0,45.0,78.6,45.0,44.0,97.8,84.0,5366.0,53.0,63.1,64.0
192229.0,Alex Henery,24.0,PHI,K,16.0,0.0,0.0,0.0,10.0,10.0,11.0,9.0,4.0,4.0,2.0,1.0,27.0,24.0,51.0,88.9,46.0,46.0,100.0,85.0,5433.0,32.0,37.6,64.0
,Adam Vinatieri,39.0,IND,K,16.0,0.0,0.0,0.0,7.0,7.0,7.0,6.0,10.0,8.0,3.0,2.0,27.0,23.0,53.0,85.2,24.0,24.0,100.0,0.0,0.0,0.0,,
479837.0,Nick Folk,27.0,NYJ,K,16.0,0.0,0.0,0.0,6.0,5.0,6.0,6.0,7.0,5.0,6.0,3.0,25.0,19.0,51.0,76.0,44.0,44.0,100.0,81.0,5094.0,17.0,21.0,63.0
,Matt Prater,27.0,DEN,K,16.0,0.0,0.0,0.0,6.0,5.0,8.0,8.0,7.0,3.0,4.0,3.0,25.0,19.0,59.0,76.0,30.0,30.0,100.0,69.0,4393.0,47.0,68.1,64.0
,Josh Scobee,29.0,JAX,K,16.0,0.0,1.0,1.0,5.0,5.0,5.0,5.0,8.0,7.0,6.0,5.0,25.0,23.0,55.0,92.0,24.0,24.0,100.0,62.0,4097.0,39.0,62.9,66.0
,Jay Feely,35.0,ARI,K,16.0,0.0,0.0,0.0,9.0,9.0,6.0,4.0,7.0,5.0,2.0,1.0,24.0,19.0,51.0,79.2,33.0,33.0,100.0,71.0,4779.0,22.0,31.0,67.0
,Lawrence Tynes,33.0,NYG,K,16.0,0.0,0.0,0.0,12.0,12.0,4.0,3.0,5.0,3.0,3.0,1.0,24.0,19.0,50.0,79.2,43.0,43.0,100.0,79.0,5077.0,34.0,43.0,64.0
,Rian Lindell,34.0,BUF,K,8.0,0.0,0.0,0.0,6.0,6.0,3.0,2.0,6.0,5.0,0.0,0.0,15.0,13.0,49.0,86.7,25.0,25.0,100.0,43.0,2733.0,12.0,27.9,64.0
118966.0,Dave Rayner,29.0,BUF,K,7.0,0.0,0.0,0.0,6.0,5.0,4.0,3.0,1.0,0.0,4.0,2.0,15.0,10.0,56.0,66.7,13.0,13.0,100.0,30.0,1740.0,7.0,23.3,58.0
154134.0,Brandon Coutu,27.0,BUF,K,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,3.0,3.0,100.0,4.0,246.0,0.0,0.0,62.0
,Mike Scifres,31.0,SDG,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,40.0,100.0,3.0,3.0,100.0,4.0,239.0,2.0,50.0,60.0
167802.0,Russell Allen,25.0,JAX,RLB,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,20.0,0.0,0.0,20.0
,Matthew Bosher,24.0,ATL,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,88.0,5671.0,25.0,28.4,64.0
189644.0,David Buehler,24.0,DAL,K,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,18.0,1179.0,9.0,50.0,66.0
146878.0,Britton Colquitt,26.0,DEN,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,66.0,0.0,0.0,66.0
107775.0,Dustin Colquitt,29.0,KAN,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,57.0,0.0,0.0,57.0
123339.0,Ryan Donahue,23.0,DET,P,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,59.0,0.0,0.0,59.0
133782.0,Brandon Fields,27.0,MIA,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,3.0,156.0,0.0,0.0,52.0
191371.0,Brett Hartmann,24.0,HOU,P,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,50.0,3275.0,23.0,46.0,66.0
105279.0,Chris Kluwe,30.0,MIN,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,36.0,0.0,0.0,36.0
123206.0,Sam Koch,29.0,BAL,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,113.0,1.0,50.0,57.0
,Michael Koenen,29.0,TAM,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,69.0,4177.0,37.0,53.6,61.0
