Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1,Mike Adams,30,CLE,SS,16,16,3.0,33.0,0.0,29.0,6,1,0,1,0,0,0.0,64,44,20,0.0,0.0,0.0,
2,Jared Allen,29,MIN,RDE,16,16,1.0,14.0,0.0,14.0,3,4,0,4,6,0,22.0,66,48,18,21.0,32.0,1.0,"PB,AP-1,AP DPoY-2"
3,Tyson Alualu,24,JAX,LDT,16,16,0.0,0.0,0.0,0.0,1,1,0,1,7,0,2.5,40,21,19,3.0,8.0,0.0,
4,James Anderson,28,CAR,LLB,16,16,2.0,5.0,0.0,5.0,9,0,0,3,0,0,1.5,145,98,47,9.0,2.0,0.0,
5,Pat Angerer,24,IND,MLB,16,16,1.0,0.0,0.0,0.0,3,2,0,1,10,0,1.0,148,78,70,9.0,4.0,0.0,
6,Jon Asamoah,23,KAN,RG,16,16,0.0,0.0,0.0,0.0,0,0,0,1,-2,0,0.0,0,0,0,0.0,0.0,0.0,
7,Cliff Avril,25,DET,LDE,16,16,1.0,4.0,1.0,4.0,4,6,0,3,24,1,11.0,36,29,7,7.0,12.0,0.0,
8,Akeem Ayers,22,TEN,LLB,16,16,0.0,0.0,0.0,0.0,1,1,0,1,0,0,2.0,76,50,26,6.0,4.0,0.0,
9,Jason Babin,31,PHI,LDE,16,16,0.0,0.0,0.0,0.0,1,3,0,0,0,0,18.0,40,35,5,17.0,29.0,0.0,"PB,AP-2"
10,Jeff Backus,34,DET,LT,16,16,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,
11,Ronde Barber,36,TAM,RCB,16,16,3.0,12.0,0.0,12.0,9,1,0,1,0,0,1.0,79,67,12,6.0,1.0,1.0,
12,Nick Barnett,30,BUF,RILB,16,16,3.0,80.0,1.0,33.0,5,1,0,0,0,0,3.0,130,78,52,9.0,4.0,0.0,
13,Connor Barwin,25,HOU,ROLB,16,16,0.0,0.0,0.0,0.0,7,1,0,0,0,0,11.5,47,34,13,12.0,28.0,0.0,
14,Jovan Belcher,24,KAN,LILB,16,16,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,87,61,26,2.0,1.0,0.0,
15,Yeremiah Bell,33,MIA,SS,16,16,1.0,20.0,0.0,20.0,4,0,0,1,0,0,2.0,107,81,26,2.0,4.0,0.0,
16,Antoine Bethea,27,IND,FS,16,16,0.0,0.0,0.0,0.0,7,2,0,1,0,0,0.0,139,80,59,2.0,1.0,0.0,
17,Matt Birk,35,BAL,C,16,16,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0.0,
18,Stephen Bowen,27,WAS,RDT,16,16,0.0,0.0,0.0,0.0,1,0,0,1,-1,0,6.0,41,21,20,6.0,10.0,0.0,
19,NaVorro Bowman,23,SFO,LILB,16,16,0.0,0.0,0.0,0.0,8,0,0,3,0,0,2.0,143,111,32,13.0,6.0,0.0,"AP-1,AP DPoY-6"
20,Tom Brady,34,NWE,QB,16,16,0.0,0.0,0.0,0.0,0,0,6,3,-8,0,0.0,0,0,0,0.0,0.0,0.0,PB
21,Tyvon Branch,25,OAK,SS,16,16,1.0,0.0,0.0,0.0,4,0,0,1,0,0,1.0,109,80,29,3.0,1.0,0.0,
22,Drew Brees,32,NOR,QB,16,16,0.0,0.0,0.0,0.0,0,0,1,0,-15,0,0.0,0,0,0,0.0,0.0,0.0,"PB,AP-2,AP MVP-2,AP OPoY-1"
23,Lance Briggs,31,CHI,LLB,16,16,1.0,0.0,0.0,0.0,4,2,0,0,0,0,0.0,105,86,19,9.0,1.0,0.0,PB
24,Ahmad Brooks,27,SFO,LOLB,16,16,0.0,0.0,0.0,0.0,3,1,0,0,0,0,7.0,50,35,15,12.0,14.0,0.0,
25,Levi Brown,27,ARI,LT,16,16,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,
26,Sheldon Brown,32,CLE,RCB,16,16,2.0,0.0,0.0,0.0,12,1,0,1,0,0,0.0,48,38,10,0.0,0.0,0.0,
27,Tarell Brown,26,SFO,RCB,16,16,4.0,15.0,0.0,11.0,15,0,0,0,0,0,0.0,40,36,4,1.0,0.0,0.0,
28,Brandon Browner,27,SEA,RCB,16,16,6.0,220.0,2.0,94.0,23,0,0,0,0,0,0.0,54,51,3,1.0,0.0,0.0,PB
29,Red Bryant,27,SEA,RDE,16,16,2.0,25.0,1.0,20.0,2,0,0,0,0,0,1.0,32,20,12,2.0,6.0,0.0,
30,Kevin Burnett,29,MIA,RILB,16,16,1.0,34.0,1.0,34.0,3,0,0,0,0,0,2.5,106,84,22,10.0,4.0,0.0,
31,Morgan Burnett,22,GNB,FS,16,16,3.0,0.0,0.0,0.0,11,2,0,2,25,0,1.0,106,78,28,1.0,2.0,0.0,
32,Donald Butler,23,SDG,RILB,16,16,1.0,2.0,0.0,2.0,2,2,0,1,37,1,2.0,96,78,18,10.0,4.0,0.0,
33,Jairus Byrd,25,BUF,FS,16,16,3.0,88.0,1.0,37.0,8,3,0,1,0,0,1.0,98,75,23,5.0,1.0,0.0,
34,Calais Campbell,25,ARI,LDE,16,16,1.0,0.0,0.0,0.0,10,2,0,1,0,0,8.0,72,53,19,13.0,17.0,0.0,
35,Chris Canty,29,NYG,RDT,16,16,0.0,0.0,0.0,0.0,1,0,0,0,0,0,4.0,47,31,16,11.0,7.0,1.0,
36,Brandon Carr,25,KAN,RCB,16,16,4.0,17.0,0.0,14.0,15,0,0,0,0,0,0.0,45,39,6,0.0,0.0,0.0,
37,Jamar Chaney,25,PHI,MLB,16,16,3.0,25.0,0.0,14.0,8,0,0,0,0,0,1.0,92,67,25,4.0,1.0,0.0,
38,Chris Chester,28,WAS,RG,16,16,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0.0,
39,Ryan Clark,32,PIT,FS,16,16,1.0,10.0,0.0,10.0,5,0,0,0,0,0,1.0,100,71,29,5.0,1.0,0.0,PB
40,Adrian Clayborn,23,TAM,RDE,16,16,0.0,0.0,0.0,0.0,0,3,0,0,0,0,7.5,42,29,13,7.0,16.0,0.0,
41,Chris Clemons,30,SEA,LDE,16,16,0.0,0.0,0.0,0.0,5,3,0,0,0,0,11.0,51,34,17,12.0,24.0,0.0,
