Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Unnamed: 19_level_0
Rk,Player,Age,Team,Pos,G,GS,Pnt,Yds,Y/P,RetYds,NetYds,NY/P,Lng,TB,TB%,Pnt20,In20%,Blck,Awards
1.0,Donnie Jones,31.0,STL,P,16.0,0.0,105.0,4652.0,44.3,552.0,3920.0,37.0,65.0,9.0,8.6,29.0,27.6,1.0,
2.0,Britton Colquitt,26.0,DEN,P,16.0,0.0,101.0,4783.0,47.4,585.0,4058.0,40.2,66.0,7.0,6.9,33.0,32.7,0.0,
3.0,Jon Ryan,30.0,SEA,P,16.0,0.0,95.0,4431.0,46.6,541.0,3730.0,39.3,77.0,8.0,8.4,34.0,35.8,0.0,
4.0,T.J. Conley,26.0,NYJ,P,16.0,0.0,92.0,3926.0,42.7,241.0,3565.0,38.8,63.0,6.0,6.5,32.0,34.8,0.0,
5.0,Kevin Huber,26.0,CIN,P,16.0,0.0,91.0,4023.0,44.2,273.0,3570.0,39.2,71.0,9.0,9.9,24.0,26.4,0.0,
6.0,Dustin Colquitt,29.0,KAN,P,16.0,0.0,89.0,4084.0,45.9,411.0,3573.0,40.1,68.0,5.0,5.6,27.0,30.3,0.0,
7.0,Adam Podlesh,28.0,CHI,P,16.0,0.0,89.0,3903.0,43.9,223.0,3600.0,40.4,70.0,4.0,4.5,21.0,23.6,0.0,
8.0,Pat McAfee,24.0,IND,P,16.0,0.0,88.0,4102.0,46.6,550.0,3488.0,39.2,64.0,3.0,3.4,21.0,23.9,1.0,
9.0,Dave Zastudil,33.0,ARI,P,15.0,0.0,87.0,3929.0,45.2,565.0,3264.0,37.5,66.0,5.0,5.7,24.0,27.6,0.0,
10.0,Brett Kern,25.0,TEN,P,16.0,0.0,86.0,3747.0,43.6,221.0,3386.0,39.4,64.0,7.0,8.1,31.0,36.0,0.0,
11.0,Steve Weatherford,29.0,NYG,P,16.0,0.0,82.0,3745.0,45.7,407.0,3218.0,39.2,62.0,6.0,7.3,25.0,30.5,0.0,
12.0,Brad Maynard,37.0,CLE,P,15.0,0.0,81.0,3282.0,40.5,288.0,2974.0,36.7,63.0,1.0,1.2,32.0,39.5,0.0,
13.0,Brandon Fields,27.0,MIA,P,16.0,0.0,78.0,3810.0,48.8,463.0,3207.0,41.1,70.0,7.0,9.0,32.0,41.0,0.0,
14.0,Shane Lechler,35.0,OAK,P,16.0,0.0,78.0,3960.0,50.8,593.0,3187.0,40.9,80.0,9.0,11.5,27.0,34.6,0.0,"PB,AP-2"
15.0,Andy Lee,29.0,SFO,P,16.0,0.0,78.0,3970.0,50.9,315.0,3475.0,44.0,68.0,9.0,11.5,28.0,35.9,1.0,"PB,AP-1"
16.0,Chris Kluwe,30.0,MIN,P,16.0,0.0,77.0,3517.0,45.7,532.0,2925.0,38.0,60.0,3.0,3.9,22.0,28.6,0.0,
17.0,Sam Koch,29.0,BAL,P,16.0,0.0,73.0,3393.0,46.5,392.0,2821.0,38.6,63.0,9.0,12.3,21.0,28.8,0.0,
18.0,Nick Harris,33.0,JAX,P,11.0,0.0,72.0,3075.0,42.7,246.0,2729.0,37.9,55.0,5.0,6.9,13.0,18.1,0.0,
19.0,Brian Moorman,35.0,BUF,P,16.0,0.0,72.0,3472.0,48.2,494.0,2778.0,38.1,66.0,10.0,13.9,20.0,27.8,1.0,
20.0,Matthew Bosher,24.0,ATL,P,16.0,0.0,70.0,2990.0,42.7,150.0,2760.0,38.9,59.0,4.0,5.7,27.0,38.6,1.0,
21.0,Michael Koenen,29.0,TAM,P,16.0,0.0,67.0,3023.0,45.1,266.0,2697.0,40.3,65.0,3.0,4.5,24.0,35.8,0.0,
22.0,Jason Baker,33.0,CAR,P,16.0,0.0,66.0,2819.0,42.7,466.0,2253.0,34.1,56.0,5.0,7.6,19.0,28.8,0.0,
23.0,Chas Henry,22.0,PHI,P,16.0,0.0,66.0,2830.0,42.9,176.0,2474.0,36.9,60.0,9.0,13.6,19.0,28.8,1.0,
24.0,Saverio Rocca,38.0,WAS,P,16.0,0.0,66.0,2842.0,43.1,250.0,2572.0,39.0,63.0,1.0,1.5,28.0,42.4,0.0,
25.0,Brett Hartmann,24.0,HOU,P,12.0,0.0,58.0,2573.0,44.4,243.0,2190.0,37.8,69.0,7.0,12.1,15.0,25.9,0.0,
26.0,Mat McBriar,32.0,DAL,P,14.0,0.0,58.0,2542.0,43.8,272.0,2130.0,36.1,68.0,7.0,12.1,21.0,36.2,1.0,
27.0,Zoltan Mesko,25.0,NWE,P,16.0,0.0,57.0,2648.0,46.5,220.0,2368.0,41.5,65.0,3.0,5.3,24.0,42.1,0.0,
28.0,Tim Masthay,24.0,GNB,P,16.0,0.0,55.0,2506.0,45.6,305.0,2121.0,38.6,71.0,4.0,7.3,23.0,41.8,0.0,
29.0,Ryan Donahue,23.0,DET,P,8.0,0.0,49.0,2093.0,42.7,270.0,1743.0,35.6,60.0,4.0,8.2,13.0,26.5,0.0,
30.0,Mike Scifres,31.0,SDG,P,16.0,0.0,47.0,2234.0,47.5,329.0,1865.0,39.7,71.0,2.0,4.3,17.0,36.2,0.0,
