Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Unnamed: 17_level_0,Unnamed: 18_level_0
Rk,Player,Age,Team,Pos,G,GS,Ret,Yds,PRTD,Lng,Y/Ret,Ret,Yds,KRTD,Lng,Y/Ret,APYd,Awards
38.0,Dexter McCluster,21.0,KAN,WR,11.0,7.0,13.0,202.0,1.0,94.0,15.5,26.0,527.0,0.0,36.0,20.3,1009.0,
39.0,Jorrick Calvin,23.0,PHI,DB,12.0,0.0,12.0,125.0,0.0,44.0,10.4,32.0,692.0,0.0,41.0,21.6,817.0,
40.0,Roscoe Parrish,28.0,BUF,WR,8.0,6.0,12.0,131.0,0.0,33.0,10.9,0.0,0.0,0.0,0.0,,558.0,
41.0,C.J. Spiller,23.0,BUF,RB,14.0,1.0,12.0,175.0,0.0,34.0,14.6,44.0,1014.0,1.0,95.0,23.0,1629.0,
42.0,Lance Moore,27.0,NOR,WR,16.0,1.0,11.0,112.0,0.0,72.0,10.2,0.0,0.0,0.0,0.0,,875.0,
43.0,Blair White,23.0,IND,WR,13.0,4.0,10.0,80.0,0.0,18.0,8.0,0.0,0.0,0.0,0.0,,435.0,
44.0,Jerricho Cotchery,28.0,NYJ,WR,14.0,5.0,8.0,66.0,0.0,19.0,8.3,0.0,0.0,0.0,0.0,,496.0,
45.0,Bryan McCann,23.0,DAL,DB,9.0,0.0,8.0,165.0,1.0,97.0,20.6,23.0,507.0,0.0,38.0,22.0,773.0,
46.0,Jerraud Powers,23.0,IND,RCB,10.0,10.0,8.0,63.0,0.0,13.0,7.9,0.0,0.0,0.0,0.0,,74.0,
47.0,Brandon James,23.0,IND,WR,3.0,0.0,7.0,35.0,0.0,14.0,5.0,14.0,229.0,0.0,26.0,16.4,304.0,
48.0,Leodis McKelvin,25.0,BUF,LCB,16.0,14.0,6.0,24.0,0.0,25.0,4.0,14.0,265.0,0.0,49.0,18.9,299.0,
49.0,Kenny Moore,25.0,IND,WR,2.0,0.0,6.0,36.0,0.0,16.0,6.0,5.0,102.0,0.0,27.0,20.4,138.0,
50.0,Aaron Ross,28.0,NYG,DB,15.0,1.0,6.0,37.0,0.0,14.0,6.2,0.0,0.0,0.0,0.0,,37.0,
51.0,Steve Smith Sr.,31.0,CAR,WR,14.0,14.0,6.0,46.0,0.0,32.0,7.7,0.0,0.0,0.0,0.0,,609.0,
