Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1,Kwon Alexander,22,TAM,MLB,16,16,1,38,1,38,7,1,0,1,4,0,3.0,145,108,37,12.0,7.0,0,
2,Lorenzo Alexander,33,BUF,ROLB,16,16,1,28,0,28,6,3,0,0,0,0,12.5,76,56,20,10.0,22.0,0,"PB,AP-2"
3,Robert Alford,28,ATL,LCB,16,16,2,34,1,30,19,0,0,0,0,0,0.0,61,50,11,1.0,0.0,0,
4,Ricardo Allen,25,ATL,SS,16,16,2,3,0,3,3,0,0,0,0,0,0.0,90,61,29,0.0,0.0,0,
5,Geno Atkins,28,CIN,RDT,16,16,0,0,0,0,0,0,0,0,0,0,9.0,32,21,11,13.0,26.0,0,PB
6,Cliff Avril,30,SEA,RDE,16,16,0,0,0,0,3,5,0,0,0,0,11.5,39,20,19,8.0,26.0,0,PB
7,Chris Baker,29,WAS,RDE,16,16,0,0,0,0,2,2,0,0,0,0,3.5,47,29,18,7.0,10.0,0,
8,Anthony Barr,24,MIN,RLB,16,16,0,0,0,0,4,1,0,1,0,0,2.0,70,37,33,3.0,8.0,0,PB
9,Mark Barron,27,LAR,LLB,16,16,2,8,0,7,8,0,0,1,0,0,1.0,118,91,27,7.0,3.0,0,
10,Connor Barwin,30,PHI,RDE,16,16,0,0,0,0,2,1,0,0,0,0,5.0,34,20,14,6.0,10.0,0,
11,Zane Beadles,30,SFO,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
12,Odell Beckham Jr.,24,NYG,WR,16,16,0,0,0,0,1,0,3,1,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-2"
13,Eric Berry,28,KAN,SS,16,16,4,98,2,42,9,1,0,0,0,0,0.0,77,62,15,2.0,0.0,0,"PB,AP-1,AP DPoY-6"
14,Antoine Bethea,32,SFO,SS,16,16,1,0,0,0,3,1,0,1,5,0,0.0,110,95,15,3.0,1.0,0,
15,Blake Bortles,24,JAX,QB,16,16,0,0,0,0,0,0,8,0,-9,0,0.0,0,0,0,0.0,0.0,0,
16,Nigel Bradham,27,PHI,LLB,16,16,1,28,0,28,5,2,0,1,0,0,2.0,102,69,33,10.0,3.0,0,
17,Alan Branch,32,NWE,LDT,16,16,0,0,0,0,3,0,0,0,0,0,1.5,49,26,23,8.0,2.0,0,
18,Drew Brees,37,NOR,QB,16,16,0,0,0,0,0,0,5,1,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP OPoY-6"
19,Tramaine Brock,28,SFO,LCB,16,16,1,39,0,39,14,1,0,0,0,0,0.0,59,49,10,5.0,0.0,0,
20,Ahmad Brooks,32,SFO,LOLB,16,16,0,0,0,0,4,1,0,0,0,0,6.0,53,41,12,10.0,8.0,0,
21,Preston Brown,24,BUF,RILB,16,16,0,0,0,0,1,1,0,2,0,0,1.0,139,79,60,5.0,3.0,0,
22,Trent Brown,23,SFO,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,,,0,
23,Zach Brown,27,BUF,LILB,16,16,1,0,0,0,4,2,0,0,0,0,4.0,149,97,52,11.0,8.0,0,"PB,AP-2"
24,Jermon Bushrod,32,MIA,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
25,Malcolm Butler,26,NWE,LCB,16,16,4,28,0,21,17,1,0,2,2,0,1.0,63,48,15,1.0,1.0,0,AP-2
26,Calais Campbell,30,ARI,LDE,16,16,1,1,0,1,6,2,0,3,53,1,8.0,53,34,19,12.0,21.0,1,AP-2
27,James Carpenter,27,NYJ,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
28,Brandon Carr,30,DAL,LCB,16,16,1,0,0,0,9,0,0,0,0,0,0.0,61,53,8,1.0,1.0,0,
29,Nolan Carroll,29,PHI,RCB,16,16,1,0,0,0,11,1,0,0,0,0,0.0,55,41,14,0.0,0.0,0,
30,Patrick Chung,29,NWE,SS,16,16,1,4,0,4,3,0,0,1,0,0,1.0,91,52,39,1.0,1.0,0,
31,Ha Ha Clinton-Dix,24,GNB,FS,16,16,5,75,0,27,7,1,0,0,0,0,0.5,80,62,18,1.0,1.0,0,"PB,AP-2"
32,Ross Cockrell,25,PIT,RCB,16,16,0,0,0,0,14,0,0,1,0,0,0.0,62,47,15,3.0,1.0,0,
33,Landon Collins,22,NYG,SS,16,16,5,72,1,44,13,0,0,1,6,0,4.0,125,100,25,9.0,5.0,0,"PB,AP-1,AP DPoY-3"
34,Kirk Cousins,28,WAS,QB,16,16,0,0,0,0,0,0,9,5,0,0,0.0,0,0,0,0.0,0.0,0,PB
35,Fletcher Cox,26,PHI,LDT,16,16,0,0,0,0,2,1,0,1,0,0,6.5,43,27,16,9.0,14.0,0,PB
36,Michael Crabtree,29,OAK,WR,16,16,0,0,0,0,0,0,2,1,11,0,0.0,0,0,0,,,0,
37,Isaiah Crowell,23,CLE,RB,16,16,0,0,0,0,0,0,2,1,0,0,0.0,1,1,0,0.0,0.0,0,
38,Johnathan Cyprien,26,JAX,SS,16,16,0,0,0,0,4,1,0,1,0,0,1.0,127,96,31,3.0,1.0,0,
39,Andy Dalton,29,CIN,QB,16,16,0,0,0,0,0,0,9,2,-17,0,0.0,0,0,0,0.0,0.0,0,PB
40,Mike Daniels,27,GNB,RDE,16,16,0,0,0,0,1,0,0,1,0,0,4.0,33,25,8,8.0,11.0,0,
41,Lavonte David,26,TAM,RLB,16,16,1,15,1,15,4,4,0,2,53,0,5.0,87,67,20,17.0,8.0,0,AP-2
42,Thomas Davis,33,CAR,RLB,16,16,3,35,0,31,4,1,0,2,46,1,2.5,106,73,33,5.0,5.0,0,PB
43,David DeCastro,26,PIT,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-2"
44,Aaron Donald,25,LAR,LDT,16,16,0,0,0,0,5,2,0,0,0,0,8.0,47,36,11,17.0,31.0,0,"PB,AP-1,AP DPoY-4"
45,Carlos Dunlap,27,CIN,LDE,16,16,0,0,0,0,15,3,0,0,0,0,8.0,49,30,19,7.0,23.0,0,PB
46,Nick Fairley,28,NOR,RDT,16,16,0,0,0,0,0,0,0,0,0,0,6.5,43,29,14,9.0,22.0,0,
47,Eric Fisher,25,KAN,LT,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
48,Larry Fitzgerald,33,ARI,WR,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,,,0,PB
49,Joe Flacco,31,BAL,QB,16,16,0,0,0,0,0,0,5,2,-2,0,0.0,0,0,0,0.0,0.0,0,
50,Travis Frederick,25,DAL,C,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-1"
51,Doug Free,32,DAL,RT,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0.0,0.0,0,
52,Devonta Freeman,24,ATL,RB,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0.0,0.0,0,PB
53,Pierre Garcon,30,WAS,WR,16,16,0,0,0,0,0,0,0,1,7,0,0.0,0,0,0,0.0,0.0,0,
54,Tashaun Gipson,26,JAX,FS,16,16,1,30,0,30,2,0,0,0,0,0,0.0,41,34,7,0.0,0.0,0,
55,Mark Glowinski,24,SEA,LG,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0.0,0.0,0,
56,Frank Gore,33,IND,RB,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0,
57,Brandon Graham,28,PHI,LDE,16,16,0,0,0,0,1,2,0,1,4,0,5.5,59,41,18,14.0,22.0,0,AP-2
58,Corey Graham,31,BUF,FS,16,16,1,0,0,0,9,0,0,1,0,0,1.0,87,62,25,2.0,1.0,0,
59,Everson Griffen,29,MIN,RDE,16,16,0,0,0,0,1,2,0,3,20,1,8.0,48,36,12,9.0,22.0,0,PB
60,Brent Grimes,33,TAM,RCB,16,16,4,37,1,31,24,1,0,0,0,0,0.0,57,51,6,0.0,0.0,0,
61,Todd Gurley,22,LAR,RB,16,16,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0.0,0.0,0,
62,Johnathan Hankins,24,NYG,RDT,16,16,0,0,0,0,0,1,0,0,0,0,3.0,43,29,14,8.0,10.0,0,
63,Vernon Hargreaves III,21,TAM,LCB,16,16,1,0,0,0,9,1,0,0,0,0,0.0,76,68,8,3.0,0.0,0,
64,Damon Harrison,28,NYG,LDT,16,16,0,0,0,0,1,1,0,0,0,0,2.5,86,55,31,6.0,4.0,0,AP-1
65,Akiem Hicks,27,CHI,LDE,16,16,0,0,0,0,2,2,0,1,0,0,7.0,54,36,18,11.0,17.0,0,
66,Jordan Hicks,24,PHI,MLB,16,16,5,41,0,34,11,0,0,1,0,0,1.0,85,58,27,6.0,5.0,0,
67,Anthony Hitchens,24,DAL,MLB,16,16,0,0,0,0,1,0,0,0,0,0,1.5,78,39,39,4.0,5.0,0,
68,George Iloka,26,CIN,FS,16,16,3,21,0,21,7,0,0,0,0,0,0.0,74,49,25,1.0,0.0,0,
69,Melvin Ingram,27,SDG,LOLB,16,16,0,0,0,0,5,5,0,0,0,0,8.0,60,46,14,10.0,19.0,0,
70,Dontrelle Inman,27,SDG,WR,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
71,Bruce Irvin,29,OAK,LLB,16,16,0,0,0,0,1,6,0,0,0,0,7.0,57,47,10,9.0,25.0,0,
72,Malik Jackson,26,JAX,LDT,16,16,0,0,0,0,4,0,0,1,0,0,6.5,33,28,5,11.0,19.0,0,
73,Ja'Wuan James,24,MIA,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
74,Malcolm Jenkins,29,PHI,SS,16,16,3,98,2,64,9,0,0,1,0,0,1.0,72,47,25,3.0,3.0,0,
75,John Jerry,30,NYG,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
76,David Johnson,25,ARI,RB,16,16,0,0,0,0,0,0,5,1,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-1,AP OPoY-3"
77,Michael Johnson,29,CIN,RDE,16,16,0,0,0,0,3,0,0,0,0,0,3.5,45,32,13,6.0,10.0,0,
78,Adam Jones,33,CIN,RCB,16,16,1,2,0,2,7,1,3,1,0,0,0.0,66,54,12,0.0,1.0,0,
79,Byron Jones,24,DAL,FS,16,16,1,7,0,7,10,1,0,0,0,0,0.0,88,73,15,3.0,0.0,0,
80,Chandler Jones,26,ARI,LOLB,16,16,0,0,0,0,3,4,0,2,0,0,11.0,49,38,11,15.0,21.0,0,
81,DaQuan Jones,25,TEN,LDE,16,16,0,0,0,0,0,0,0,1,0,1,1.5,26,17,9,2.0,3.0,0,
82,Cameron Jordan,27,NOR,RDE,16,16,0,0,0,0,6,1,0,0,0,0,7.5,58,40,18,17.0,24.0,0,
83,Linval Joseph,28,MIN,RDT,16,16,0,0,0,0,0,3,0,0,0,0,4.0,77,37,40,5.0,17.0,0,PB
84,Jason Kelce,29,PHI,C,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0.0,0.0,0,PB
85,Lance Kendricks,28,LAR,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,
86,Ryan Kerrigan,28,WAS,ROLB,16,16,0,0,0,0,2,2,0,0,0,0,11.0,33,26,7,18.0,24.0,0,PB
87,Christian Kirksey,24,CLE,RILB,16,16,0,0,0,0,3,0,0,0,0,0,2.5,148,96,52,11.0,7.0,0,
88,Jarvis Landry,24,MIA,WR,16,16,0,0,0,0,0,0,2,0,0,0,0.0,1,1,0,0.0,0.0,0,PB
89,Nevin Lawson,25,DET,RCB,16,16,0,0,0,0,9,0,0,0,0,0,0.0,57,46,11,0.0,0.0,0,
90,Corey Liuget,26,SDG,RDE/LDE,16,16,0,0,0,0,3,0,0,1,0,0,0.0,36,28,8,10.0,7.0,0,
91,Star Lotulelei,27,CAR,LDT,16,16,0,0,0,0,1,1,0,0,0,0,4.0,26,14,12,5.0,6.0,0,
92,Dwight Lowery,30,SDG,FS,16,16,1,25,0,25,9,1,0,1,36,1,0.0,60,49,11,1.0,0.0,0,
93,Alex Mack,31,ATL,C,16,16,0,0,0,0,0,0,1,0,-2,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-2"
94,Khalil Mack,25,OAK,RDE,16,16,1,6,1,6,3,5,0,3,1,0,11.0,73,54,19,14.0,26.0,0,"PB,AP-1,AP DPoY-1"
95,Eli Manning,35,NYG,QB,16,16,0,0,0,0,0,0,7,0,0,0,0.0,0,0,0,,,0,
96,Zack Martin,26,DAL,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-1"
97,Devin McCourty,29,NWE,FS,16,16,1,0,0,0,7,1,0,1,3,0,0.0,83,67,16,1.0,0.0,0,"PB,AP-2"
98,T.J. McDonald,25,LAR,SS,16,16,2,0,0,0,6,0,0,0,0,0,1.0,64,50,14,6.0,4.0,0,
99,Bradley McDougald,26,TAM,FS,16,16,2,32,0,32,10,0,0,1,6,0,0.0,91,79,12,3.0,0.0,0,
100,Benardrick McKinney,24,HOU,RILB,16,16,0,0,0,0,2,1,0,0,0,0,5.0,129,79,50,8.0,11.0,0,AP-2
101,Rodney McLeod,26,PHI,FS,16,16,3,5,0,5,7,1,0,0,0,0,1.0,83,72,11,3.0,0.0,0,
102,John Miller,23,BUF,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
103,Von Miller,27,DEN,LOLB,16,16,0,0,0,0,3,3,0,0,0,0,13.5,78,62,16,13.0,24.0,0,"PB,AP-1,AP DPoY-2"
104,Jordan Mills,26,BUF,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
