Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1,Jamal Adams,22,NYJ,SS,16,16,0,0,0,0,6,1,0,2,0,0,2.0,83,63,20,9.0,2.0,0,
2,Mike Adams,36,CAR,SS,16,16,2,42,0,40,10,2,1,2,4,0,0.0,69,48,21,1.0,2.0,0,
3,Jahleel Addae,27,LAC,SS,16,16,0,0,0,0,7,0,0,0,0,0,0.5,96,66,30,9.0,1.0,0,
4,Mario Addison,30,CAR,RDE,16,16,0,0,0,0,1,2,0,0,0,0,11.0,44,27,17,10.0,15.0,0,
5,Robert Alford,29,ATL,LCB,16,16,1,0,0,0,20,0,0,0,0,0,0.0,68,60,8,0.0,0.0,0,
6,Kiko Alonso,27,MIA,LOLB,16,16,0,0,0,0,1,2,0,0,0,0,1.0,115,79,36,6.0,5.0,0,
7,C.J. Anderson,26,DEN,RB,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
8,Anthony Barr,25,MIN,RLB,16,16,0,0,0,0,6,0,0,0,0,0,1.0,75,52,23,9.0,4.0,0,PB
9,Michael Bennett,32,SEA,LDE,16,16,0,0,0,0,1,0,0,0,0,0,8.5,40,25,15,14.0,24.0,0,PB
10,Russell Bodine,25,CIN,C,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,,,0,
11,Blake Bortles,25,JAX,QB,16,16,0,0,0,0,0,0,9,3,-6,0,0.0,0,0,0,0.0,0.0,0,
12,Joey Bosa,22,LAC,LDE,16,16,0,0,0,0,1,4,0,1,1,0,12.5,70,54,16,11.0,21.0,0,PB
13,A.J. Bouye,26,JAX,RCB,16,16,6,70,0,51,18,0,0,0,0,0,0.0,56,53,3,0.0,0.0,0,"PB,AP-2"
14,James Bradberry,24,CAR,LCB,16,16,2,3,0,3,10,1,0,0,0,0,1.0,85,66,19,2.0,1.0,0,
15,Tom Brady,40,NWE,QB,16,16,0,0,0,0,0,0,7,2,-24,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-1,AP MVP-1,AP OPoY-3"
16,Drew Brees,38,NOR,QB,16,16,0,0,0,0,0,0,5,3,-12,0,0.0,0,0,0,0.0,0.0,0,PB
17,Justin Britt,26,SEA,C,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0.0,0.0,0,
18,Preston Brown,25,BUF,MLB,16,16,0,0,0,0,3,0,0,0,0,0,0.0,144,84,60,7.0,2.0,0,
19,Dez Bryant,29,DAL,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,
20,DeForest Buckner,23,SFO,RDT,16,16,0,0,0,0,5,1,0,0,0,0,3.0,61,45,16,5.0,22.0,0,
21,Artie Burns,22,PIT,RCB,16,16,1,0,0,0,13,0,0,2,0,0,0.0,54,47,7,2.0,1.0,0,
22,Kevin Byard,24,TEN,FS,16,16,8,130,0,33,16,0,0,2,6,0,0.0,87,62,25,3.0,3.0,0,"PB,AP-1"
23,Calais Campbell,31,JAX,RDE,16,16,0,0,0,0,3,3,0,1,10,1,14.5,67,47,20,14.0,30.0,0,"PB,AP-1,AP DPoY-2"
24,De'Vondre Campbell,24,ATL,RLB,16,16,0,0,0,0,4,1,0,0,0,0,2.0,92,61,31,3.0,6.0,0,
25,James Carpenter,28,NYJ,LG,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0.0,0.0,0,
26,Brandon Carr,31,BAL,LCB,16,16,4,57,0,33,12,0,0,0,0,0,0.0,56,50,6,2.0,0.0,0,
27,T.J. Carrie,27,OAK,RCB,16,16,0,0,0,0,9,0,0,2,0,0,0.0,84,70,14,3.0,1.0,0,
