Player ID,Player,Age,Team,Pos,G,GS,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
,Jason Myers,32.0,SEA,K,17.0,0.0,0.0,0.0,8.0,8.0,12.0,11.0,14.0,12.0,8.0,4.0,42.0,35.0,55.0,83.3,33.0,33.0,100.0,86.0,5430.0,55.0,64.0,63
4249087.0,Matt Gay,29.0,IND,K,17.0,0.0,0.0,0.0,9.0,9.0,10.0,9.0,9.0,7.0,13.0,8.0,41.0,33.0,57.0,80.5,36.0,35.0,97.2,92.0,5898.0,72.0,78.3,64
,Brandon Aubrey,28.0,DAL,K,17.0,0.0,0.0,0.0,9.0,9.0,15.0,13.0,4.0,4.0,10.0,10.0,38.0,36.0,60.0,94.7,52.0,49.0,94.2,109.0,7068.0,99.0,90.8,65
506126.0,Cairo Santos,32.0,CHI,K,17.0,0.0,0.0,0.0,9.0,9.0,11.0,11.0,10.0,8.0,8.0,7.0,38.0,35.0,55.0,92.1,33.0,31.0,93.9,76.0,4830.0,60.0,78.9,64
,Greg Zuerlein,36.0,NYJ,K,16.0,0.0,0.0,0.0,8.0,8.0,10.0,9.0,14.0,13.0,6.0,5.0,38.0,35.0,55.0,92.1,16.0,15.0,93.8,64.0,4150.0,58.0,90.6,65
4259619.0,Blake Grupe,25.0,NOR,K,17.0,0.0,0.0,0.0,12.0,10.0,6.0,6.0,10.0,8.0,9.0,6.0,37.0,30.0,55.0,81.1,40.0,40.0,100.0,91.0,5828.0,76.0,83.5,64
549297.0,Younghoe Koo,29.0,ATL,K,17.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,11.0,9.0,6.0,3.0,37.0,32.0,54.0,86.5,28.0,27.0,96.4,3.0,192.0,2.0,66.7,64
482164.0,Brandon McManus,32.0,JAX,K,17.0,0.0,0.0,0.0,4.0,4.0,10.0,10.0,13.0,11.0,10.0,5.0,37.0,30.0,56.0,81.1,35.0,35.0,100.0,86.0,5421.0,65.0,75.6,63
377938.0,Justin Tucker,34.0,BAL,K,17.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,12.0,11.0,5.0,1.0,37.0,32.0,50.0,86.5,52.0,51.0,98.1,101.0,6445.0,80.0,79.2,64
480761.0,Dustin Hopkins,33.0,CLE,K,15.0,0.0,0.0,0.0,8.0,8.0,7.0,7.0,13.0,10.0,8.0,8.0,36.0,33.0,58.0,91.7,26.0,24.0,92.3,77.0,4890.0,50.0,64.9,64
