Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Unnamed: 17_level_0,Unnamed: 18_level_0
Rk,Player,Age,Team,Pos,G,GS,Ret,Yds,PRTD,Lng,Y/Ret,Ret,Yds,KRTD,Lng,Y/Ret,APYd,Awards
1.0,Xavier Gipson,23.0,NYJ,WR,17.0,0.0,33.0,266.0,0.0,40.0,8.1,17.0,489.0,0.0,45.0,28.8,799.0,
2.0,Jaelon Darden,25.0,2TM,WR,12.0,1.0,32.0,309.0,0.0,28.0,9.7,11.0,296.0,0.0,37.0,26.9,611.0,
2.0,Jaelon Darden,25.0,CLE,WR,7.0,1.0,22.0,234.0,0.0,28.0,10.6,4.0,97.0,0.0,28.0,24.3,337.0,
2.0,Jaelon Darden,25.0,SEA,WR,5.0,0.0,10.0,75.0,0.0,17.0,7.5,7.0,199.0,0.0,37.0,28.4,274.0,
3.0,Kalif Raymond,30.0,DET,WR,12.0,2.0,30.0,413.0,1.0,90.0,13.8,1.0,26.0,0.0,26.0,26.0,654.0,AP-2
4.0,Ihmir Smith-Marsette,25.0,NYG,WR,15.0,0.0,29.0,228.0,0.0,25.0,7.9,11.0,381.0,1.0,100.0,34.6,609.0,
5.0,Calvin Austin III,25.0,PIT,WR,17.0,8.0,28.0,289.0,1.0,73.0,10.3,0.0,0.0,0.0,0.0,,837.0,
6.0,Jacob Cowing,23.0,SFO,WR,15.0,0.0,28.0,245.0,0.0,30.0,8.8,1.0,32.0,0.0,32.0,32.0,364.0,
7.0,Jha'Quan Jackson,24.0,TEN,WR,12.0,0.0,28.0,215.0,0.0,20.0,7.7,16.0,412.0,0.0,34.0,25.8,630.0,
8.0,Brandon Codrington,24.0,BUF,DB,17.0,0.0,27.0,313.0,0.0,29.0,11.6,11.0,306.0,0.0,53.0,27.8,619.0,
9.0,Marcus Jones,26.0,NWE,CB,14.0,9.0,26.0,386.0,0.0,62.0,14.8,0.0,0.0,0.0,0.0,,461.0,
10.0,Marvin Mims,22.0,DEN,WR,17.0,2.0,26.0,408.0,0.0,61.0,15.7,7.0,194.0,0.0,38.0,27.7,1147.0,"PB,AP-1"
11.0,Brandon Powell,29.0,MIN,WR,17.0,1.0,23.0,164.0,0.0,15.0,7.1,0.0,0.0,0.0,0.0,,242.0,
12.0,Cooper DeJean,21.0,PHI,DB,16.0,9.0,21.0,211.0,0.0,31.0,10.0,0.0,0.0,0.0,0.0,,211.0,AP DRoY-4
13.0,Greg Dortch,26.0,ARI,WR,17.0,4.0,21.0,202.0,0.0,27.0,9.6,7.0,186.0,0.0,31.0,26.6,761.0,
14.0,Steven Sims,27.0,2TM,WR,9.0,0.0,21.0,122.0,0.0,26.0,5.8,7.0,195.0,0.0,37.0,27.9,317.0,
14.0,Steven Sims,27.0,HOU,WR,7.0,0.0,16.0,99.0,0.0,26.0,6.2,7.0,195.0,0.0,37.0,27.9,294.0,
14.0,Steven Sims,27.0,BAL,WR,2.0,0.0,5.0,23.0,0.0,8.0,4.6,0.0,0.0,0.0,0.0,,23.0,
15.0,Mecole Hardman,26.0,KAN,WR,12.0,0.0,20.0,203.0,0.0,55.0,10.2,5.0,132.0,0.0,32.0,26.4,487.0,
16.0,Avery Williams,26.0,ATL,RB,17.0,0.0,20.0,185.0,0.0,28.0,9.3,15.0,408.0,0.0,38.0,27.2,593.0,
17.0,Derius Davis,24.0,LAC,WR,15.0,2.0,19.0,235.0,0.0,53.0,12.4,19.0,524.0,0.0,56.0,27.6,910.0,
18.0,Devin Duvernay,27.0,JAX,WR,13.0,1.0,19.0,167.0,0.0,53.0,8.8,14.0,351.0,0.0,34.0,25.1,600.0,
19.0,James Proche,28.0,CLE,WR,9.0,0.0,19.0,172.0,0.0,18.0,9.1,1.0,19.0,0.0,19.0,19.0,212.0,
20.0,KaVontae Turpin,28.0,DAL,WR,17.0,2.0,18.0,187.0,1.0,60.0,10.4,27.0,904.0,1.0,99.0,33.5,1603.0,"PB,AP-1"
21.0,Malik Washington,23.0,MIA,WR,14.0,3.0,18.0,134.0,0.0,19.0,7.4,14.0,430.0,0.0,67.0,30.7,812.0,
22.0,Raheem Blackshear,25.0,CAR,RB,16.0,1.0,17.0,145.0,0.0,16.0,8.5,31.0,791.0,0.0,43.0,25.5,1016.0,
23.0,DeAndre Carter,31.0,CHI,WR,13.0,0.0,17.0,158.0,0.0,38.0,9.3,15.0,479.0,0.0,67.0,31.9,709.0,
24.0,Trey Palmer,23.0,TAM,WR,15.0,3.0,17.0,136.0,0.0,17.0,8.0,1.0,14.0,0.0,14.0,14.0,322.0,
25.0,Olamide Zaccheaus,27.0,WAS,WR,17.0,6.0,17.0,179.0,0.0,24.0,10.5,0.0,0.0,0.0,0.0,,693.0,
26.0,Josh Downs,23.0,IND,WR,14.0,8.0,16.0,161.0,0.0,23.0,10.1,0.0,0.0,0.0,0.0,,976.0,
27.0,Xavier Smith,27.0,LAR,WR,15.0,0.0,16.0,149.0,0.0,38.0,9.3,6.0,155.0,0.0,34.0,25.8,346.0,
28.0,Dee Williams,25.0,2TM,DB,13.0,0.0,15.0,111.0,0.0,23.0,7.4,10.0,277.0,0.0,39.0,27.7,388.0,
28.0,Dee Williams,25.0,SEA,CB,12.0,0.0,15.0,111.0,0.0,23.0,7.4,9.0,254.0,0.0,39.0,28.2,365.0,
28.0,Dee Williams,25.0,NYG,DB,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,23.0,0.0,23.0,23.0,23.0,
29.0,Robert Woods,32.0,HOU,WR,15.0,4.0,15.0,144.0,0.0,36.0,9.6,5.0,144.0,0.0,31.0,28.8,491.0,
30.0,Charlie Jones,26.0,CIN,WR,8.0,0.0,14.0,99.0,0.0,23.0,7.1,5.0,200.0,1.0,100.0,40.0,304.0,
31.0,Jayden Reed,24.0,GNB,WR,17.0,10.0,14.0,110.0,0.0,16.0,7.9,0.0,0.0,0.0,0.0,,1130.0,
32.0,Nikko Remigio,25.0,KAN,WR,5.0,1.0,11.0,104.0,0.0,25.0,9.5,11.0,295.0,0.0,36.0,26.8,447.0,
33.0,Isaiah Williams,23.0,2TM,WR,8.0,0.0,11.0,93.0,0.0,18.0,8.5,5.0,169.0,0.0,43.0,33.8,268.0,
33.0,Isaiah Williams,23.0,DET,WR,2.0,0.0,0.0,0.0,0.0,0.0,,1.0,36.0,0.0,36.0,36.0,42.0,
33.0,Isaiah Williams,23.0,CIN,WR,6.0,0.0,11.0,93.0,0.0,18.0,8.5,4.0,133.0,0.0,43.0,33.3,226.0,
34.0,Ameer Abdullah,31.0,LVR,RB,16.0,3.0,10.0,91.0,0.0,19.0,9.1,9.0,296.0,0.0,68.0,32.9,959.0,
35.0,Anthony Gould,23.0,IND,WR,8.0,0.0,10.0,95.0,0.0,36.0,9.5,7.0,206.0,0.0,40.0,29.4,324.0,
36.0,Rashid Shaheed,26.0,NOR,WR,6.0,5.0,9.0,143.0,1.0,54.0,15.9,6.0,171.0,0.0,38.0,28.5,692.0,
37.0,Jamison Crowder,31.0,WAS,WR,6.0,1.0,8.0,81.0,0.0,23.0,10.1,0.0,0.0,0.0,0.0,,153.0,
38.0,Deonte Harty,27.0,BAL,WR,5.0,0.0,8.0,85.0,0.0,16.0,10.6,4.0,98.0,0.0,31.0,24.5,183.0,
39.0,Trenton Irwin,29.0,CIN,WR,7.0,2.0,8.0,56.0,0.0,17.0,7.0,0.0,0.0,0.0,0.0,,71.0,
