Player ID,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
3115922.0,Nick Allegretti,28,WAS,LG,17,17,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0
135964.0,Josh Allen,28,BUF,QB,17,17,0,0,0,0,0,0,5,1,0,0,0.0,0,0,0,0,0,0
3127287.0,Budda Baker,28,ARI,FS,17,17,0,0,0,0,5,1,0,0,0,0,2.0,164,95,69,10,3,0
3919512.0,Jessie Bates III,27,ATL,SS,17,17,4,55,1,55,10,4,0,1,0,0,1.0,102,62,40,2,1,0
,Matthew Bergeron,24,ATL,LG,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,Joel Bitonio,33,CLE,LG,17,17,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0
,Bradley Bozeman,30,LAC,C,17,17,0,0,0,0,0,0,1,0,-3,0,0.0,0,0,0,0,0,0
,Jake Brendel,32,SFO,C,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
4040537.0,Aaron Brewer,27,MIA,C,17,17,0,0,0,0,0,0,1,1,-22,0,0.0,0,0,0,0,0,0
4043130.0,Jordyn Brooks,27,MIA,RILB,17,17,0,0,0,0,6,0,0,2,23,0,3.0,143,86,57,11,6,0
,Jonathan Bullard,31,MIN,RDE,17,17,0,0,0,0,3,0,0,0,0,0,1.0,41,21,20,7,3,0
4035631.0,Brian Burns,26,NYG,LOLB,17,17,0,0,0,0,8,2,0,0,0,0,8.5,71,42,29,17,18,0
3915511.0,Joe Burrow,28,CIN,QB,17,17,0,0,0,0,0,0,11,2,-3,0,0.0,0,0,0,0,0,0
512368.0,Kevin Byard,31,CHI,SS,17,17,1,0,0,0,7,1,0,2,0,0,2.0,130,80,50,5,2,0
4035861.0,Camryn Bynum,26,MIN,FS,17,17,3,3,0,3,10,0,0,2,0,0,0.0,96,54,42,2,0,0
161106.0,Calais Campbell,38,MIA,NT,17,17,0,0,0,0,5,1,0,0,0,0,5.0,52,35,17,12,12,0
4569465.0,Jack Campbell,24,DET,MLB,17,17,0,0,0,0,5,1,0,0,0,0,1.5,131,69,62,5,5,0
4043169.0,Jeremy Chinn,26,WAS,FS,17,17,1,0,0,0,5,1,0,2,0,0,2.0,117,73,44,7,3,0
3122752.0,Kenny Clark,29,GNB,RDT,17,17,0,0,0,0,2,0,0,2,0,0,1.0,37,20,17,4,5,0
