Player ID,Player,Age,Team,Pos,G,GS,Pnt,Yds,Y/P,RetYds,NetYds,NY/P,Lng,TB,TB%,Pnt20,In20%,Blck
4039396.0,Corey Bojorquez,28.0,CLE,P,17.0,0.0,89.0,4387.0,49.3,601.0,3655.0,41.1,84.0,7.0,7.9,36.0,40.4,0.0
4686889.0,Tory Taylor,27.0,CHI,P,17.0,0.0,82.0,3911.0,47.7,452.0,3379.0,41.2,68.0,4.0,4.9,34.0,41.5,0.0
514471.0,Riley Dixon,31.0,DEN,P,17.0,0.0,77.0,3597.0,46.7,261.0,3236.0,42.0,65.0,5.0,6.5,33.0,42.9,0.0
3929851.0,Michael Dickson,28.0,SEA,P,17.0,0.0,76.0,3756.0,49.4,284.0,3292.0,43.3,68.0,9.0,11.8,31.0,40.8,0.0
3915398.0,Tommy Townsend,28.0,HOU,P,17.0,0.0,76.0,3649.0,48.0,125.0,3384.0,43.9,69.0,7.0,9.2,39.0,51.3,1.0
4571597.0,Matthew Hayball,27.0,NOR,P,17.0,0.0,75.0,3303.0,44.0,213.0,3030.0,40.4,64.0,3.0,4.0,41.0,54.7,0.0
379324.0,Johnny Hekker,34.0,CAR,P,17.0,0.0,73.0,3338.0,45.7,204.0,3068.0,41.5,65.0,3.0,4.1,24.0,32.9,1.0
4256051.0,Ryan Stonehouse,25.0,TEN,P,17.0,0.0,73.0,3691.0,50.6,701.0,2872.0,38.3,75.0,7.0,9.6,22.0,30.1,2.0
3126368.0,JK Scott,29.0,LAC,P,17.0,0.0,72.0,3362.0,46.7,268.0,3014.0,41.9,67.0,4.0,5.6,28.0,38.9,0.0
4393519.0,Bryce Baringer,25.0,NWE,P,17.0,0.0,70.0,3486.0,49.8,418.0,2908.0,41.5,75.0,8.0,11.4,31.0,44.3,0.0
559659.0,Logan Cooke,29.0,JAX,P,17.0,0.0,68.0,3359.0,49.4,251.0,3048.0,44.8,73.0,3.0,4.4,34.0,50.0,0.0
3914922.0,Rigoberto Sanchez,30.0,IND,P,17.0,0.0,68.0,3382.0,49.7,406.0,2896.0,42.6,65.0,4.0,5.9,27.0,39.7,0.0
,AJ Cole III,29.0,LVR,P,17.0,0.0,65.0,3304.0,50.8,294.0,2850.0,42.5,71.0,8.0,12.3,27.0,41.5,2.0
3125280.0,Corliss Waitman,29.0,PIT,P,16.0,0.0,65.0,3015.0,46.4,201.0,2694.0,41.4,71.0,5.0,7.7,27.0,41.5,0.0
170311.0,Thomas Morstead,38.0,NYJ,P,17.0,0.0,63.0,2972.0,47.2,269.0,2563.0,40.7,75.0,7.0,11.1,19.0,30.2,0.0
238199.0,Bryan Anger,36.0,DAL,P,17.0,0.0,62.0,3005.0,48.5,362.0,2583.0,41.7,62.0,3.0,4.8,24.0,38.7,0.0
4361496.0,Matt Araiza,24.0,KAN,P,17.0,0.0,62.0,3027.0,48.8,271.0,2575.0,41.5,72.0,9.0,14.5,25.0,40.3,0.0
,Jake Bailey,27.0,MIA,P,17.0,0.0,56.0,2639.0,47.1,238.0,2321.0,40.7,64.0,5.0,8.9,22.0,39.3,1.0
3936185.0,Jamie Gillan,27.0,NYG,P,13.0,0.0,56.0,2448.0,43.7,141.0,2267.0,40.5,67.0,2.0,3.6,27.0,48.2,0.0
4248789.0,Daniel Whelan,25.0,GNB,P,17.0,0.0,56.0,2582.0,46.1,262.0,2220.0,39.6,74.0,5.0,8.9,22.0,39.3,0.0
4361823.0,Ryan Wright,24.0,MIN,P,17.0,0.0,56.0,2604.0,46.5,196.0,2310.0,40.5,66.0,5.0,8.9,27.0,48.2,1.0
,Ethan Evans,23.0,LAR,P,16.0,0.0,55.0,2530.0,46.0,205.0,2285.0,41.5,68.0,2.0,3.6,30.0,54.5,0.0
4260224.0,Jordan Stout,26.0,BAL,P,17.0,0.0,55.0,2551.0,46.4,164.0,2265.0,41.2,70.0,6.0,10.9,22.0,40.0,0.0
